field_id,bucket,role,n_valid,R_pre,e_tv,p_minus_pre,p_stay_pre,p_plus_pre,p_minus_obs,p_stay_obs,p_plus_obs,activity_abs_err,a0_abs_err,stay_abs_err,block_tv
cent_al_f00_n17_p16,high_occupancy_high_risk,active_learning,32,0.28540107661335956,0.3827160491700583,0.5771604936145008,0.05555555555555745,0.3672839508299417,0.25,0.0,0.75,0.05555555555555747,0.7098765427845591,0.05555555555555745,0.22857142857142862
cent_al_f01_n17_p16,high_occupancy_high_risk,active_learning,32,0.3063873452415051,0.29066105858108504,0.14683894141891501,0.1666441618652808,0.6865168967158043,0.4375,0.0,0.5625,0.16664416186528075,0.41467795529688933,0.1666441618652808,0.11428571428571427
cent_al_f02_n17_p16,high_occupancy_high_risk,active_learning,32,0.3118574445443107,0.7601836205571748,0.14606637944282516,0.1666608442573671,0.6872727762998077,0.90625,0.0,0.09375,0.16666084425736716,1.3537063968569825,0.1666608442573671,0.05714285714285709
cent_al_f03_n9_p8,high_occupancy_high_risk,active_learning,32,0.2670548481015882,0.5077159335145961,0.5771603779306048,0.05555555558399125,0.3672840664854039,0.125,0.0,0.875,0.05555555558399128,0.9598763114452009,0.05555555558399125,0.11428571428571425
cent_al_f04_n9_p8,high_occupancy_high_risk,active_learning,32,0.31230618867617815,0.7289336263151706,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.875,0.0,0.125,0.16666084425742045,1.2912064083729207,0.16666084425742045,0.11428571428571425
cent_al_f05_n9_p8,high_occupancy_high_risk,active_learning,32,0.31230618867617815,0.6664336263151706,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.8125,0.0,0.1875,0.16666084425742045,1.1662064083729207,0.16666084425742045,0.22857142857142854
cent_al_f06_n9_p8,high_occupancy_high_risk,active_learning,32,0.2670548481015882,0.3827159335145961,0.5771603779306048,0.05555555558399125,0.3672840664854039,0.25,0.0,0.75,0.05555555558399128,0.7098763114452009,0.05555555558399125,0.0
cent_al_f07_n9_p8,high_occupancy_high_risk,active_learning,32,0.31230618867617815,0.6976836263151706,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.84375,0.0,0.15625,0.16666084425742045,1.2287064083729207,0.16666084425742045,0.17142857142857137
cent_al_f08_n9_p8,high_occupancy_high_risk,active_learning,32,0.311450537066379,0.21535986798983364,0.2778598679888929,9.407603858931445e-13,0.7221401320101664,0.0625,0.0,0.9375,9.408029910673577e-13,0.43071973597872654,9.407603858931445e-13,0.11428571428571424
cent_al_f09_n9_p8,high_occupancy_high_risk,active_learning,32,0.31230618867617815,0.6664336263151706,0.14606637368482941,0.16666084425742045,0.6872727820577501,0.8125,0.03125,0.15625,0.13541084425742045,1.1974564083729207,0.13541084425742045,0.057142857142857155
cent_al_f10_n9_p8,high_occupancy_high_risk,active_learning,31,0.25931426630721366,0.17583829853779553,0.28471158559972326,0.0201589710025884,0.6951294433976883,0.12903225806451613,0.0,0.8709677419354839,0.020158971002588455,0.33151762607300267,0.0201589710025884,0.10909090909090907
cent_al_f11_n17_p16,high_occupancy_high_risk,active_learning,31,0.30515987998696625,0.62900309156699,0.5731147219673475,0.05588836959964252,0.37099690843301,0.0,0.0,1.0,0.05588836959964261,1.2021178135343376,0.05588836959964252,0.0034632034632034285
cent_al_f12_n17_p16,high_occupancy_high_risk,active_learning,32,0.32305455047111964,0.5940203250840577,0.15597967491594233,0.16607976371058383,0.6779405613734738,0.75,0.0,0.25,0.16607976371058386,1.0219608864575314,0.16607976371058383,0.34285714285714286
cent_al_f13_n17_p16,high_occupancy_high_risk,active_learning,32,0.31087167056481463,0.7912641892963115,0.05248581070368847,0.05555546684000764,0.8919587224563038,0.84375,0.0,0.15625,0.05555546684000767,1.5269729117526154,0.05555546684000764,0.05714285714285716
cent_al_f14_n17_p16,high_occupancy_high_risk,active_learning,32,0.2918700461761089,0.004278480501599846,0.24572151949840015,5.274779965178156e-19,0.7542784805015998,0.25,0.0,0.75,0.0,0.008556961003199692,5.274779965178156e-19,0.1142857142857143
cent_al_f15_n9_p8,high_occupancy_high_risk,active_learning,31,0.30009602903574656,0.07418531363844405,0.7967824282970398,0.03530625965166941,0.16791131205129076,0.8709677419354839,0.0,0.12903225806451613,0.03530625965166945,0.11306436762521865,0.03530625965166941,0.010389610389610398
cent_al_f16_n9_p8,model_disagreement,active_learning,25,0.36543923276628754,0.523654420156946,0.7636382057508491,1.6214406096906707e-05,0.23634557984305407,0.24,0.0,0.76,1.621440609689273e-05,1.047292625907795,1.6214406096906707e-05,0.2529644268774704
cent_al_f17_n9_p8,model_disagreement,active_learning,28,0.338080081668029,0.6916234915845417,0.24935934251259045,0.6916234915845417,0.05901716590286782,0.6071428571428571,0.0,0.39285714285714285,0.6916234915845417,0.02394353767599161,0.6916234915845417,0.014629049111807686
cent_al_f18_n9_p8,model_disagreement,active_learning,22,0.32899877846998926,0.5988433523964158,0.6814037778429551,0.05380321091709703,0.26479301123994775,0.13636363636363635,0.0,0.8636363636363636,0.053803210917097166,1.1438834938757347,0.05380321091709703,0.3119868637110016
cent_al_f19_n9_p8,model_disagreement,active_learning,30,0.3535448863838194,0.7612933886701172,0.7228075263403171,0.03848586232980013,0.23870661132988277,0.0,0.0,1.0,0.03848586232980011,1.4841009150104343,0.03848586232980013,0.007373271889400939
cent_al_f20_n9_p8,model_disagreement,active_learning,32,0.37301769502575266,0.15824027630751422,0.32269262657375414,0.11679764973376007,0.5605097236924858,0.28125,0.0,0.71875,0.11679764973376017,0.1996829028812684,0.11679764973376007,0.05714285714285716
cent_al_f21_n9_p8,model_disagreement,active_learning,31,0.3355605415660828,0.6408523337220591,0.490761839637949,0.2146066231163682,0.29463153724568286,0.06451612903225806,0.0,0.9354838709677419,0.21460662311636813,1.06709804432775,0.2146066231163682,0.11255411255411255
cent_al_f22_n9_p8,model_disagreement,active_learning,32,0.36975697094347965,0.7597963076171761,0.05270369238282392,0.05555540753035448,0.8917409000868216,0.8125,0.0,0.1875,0.055555407530354484,1.4640372077039978,0.05555540753035448,0.0
cent_al_f23_n9_p8,model_disagreement,active_learning,32,0.3055455001740441,0.3522072424088444,0.5330774145544722,0.06912982785437219,0.39779275759115557,0.25,0.0,0.75,0.06912982785437216,0.6352846569633166,0.06912982785437219,0.1142857142857143
cent_al_f24_n9_p8,k0_or_drift,active_learning,32,0.28662747335466,0.2546891521992345,0.35252563399595305,0.02716351820328148,0.6203108478007655,0.125,0.0,0.875,0.027163518203281445,0.48221478619518754,0.02716351820328148,0.11428571428571425
cent_al_f25_n9_p8,k0_or_drift,active_learning,32,0.3552083186558595,0.23111635050400128,0.22390939001924284,0.038456960484758454,0.7376336494959987,0.03125,0.0,0.96875,0.03845696048475844,0.42377574052324407,0.038456960484758454,0.057142857142857155
cent_al_f26_n9_p8,k0_or_drift,active_learning,32,0.33899097466735345,0.6745506692232883,0.2629493307767117,0.13620849274922367,0.6008421764740647,0.9375,0.0,0.0625,0.13620849274922364,1.2128928456973531,0.13620849274922367,0.0
cent_al_f27_n9_p8,k0_or_drift,active_learning,32,0.35253150132564837,0.5727386981319009,0.05226130186809903,0.038423275372817374,0.9093154227590835,0.625,0.0,0.375,0.03842327537281742,1.1070541208909845,0.038423275372817374,0.1142857142857143
cent_al_f28_n9_p8,k0_or_drift,active_learning,27,0.38058434865125595,0.7482928402565983,0.563643008954022,0.1035590115952536,0.3327979794507244,0.037037037037037035,0.8518518518518519,0.1111111111111111,0.7482928402565983,0.3049191035773716,0.7482928402565983,0.30976430976430974
cent_al_f29_n17_p16,k0_or_drift,active_learning,31,0.34279228778677934,0.6127804148569511,0.7156161191205652,0.02619655380090196,0.2581873270785328,0.12903225806451613,0.0,0.8709677419354839,0.02619655380090191,1.199364275913,0.02619655380090196,0.10909090909090907
cent_ctrl_unimodal_positive_polar,control,centers_unimodal_positive_polar,32,0.2802840078395839,0.7932505505821025,0.4336039173536147,0.20674944941789763,0.3596466332284877,0.0,1.0,0.0,0.7932505505821024,0.07395728412512698,0.7932505505821024,0.0
cent_ctrl_unimodal_sign_reversed,control,centers_sign_reversed_anchor,32,0.29800736833116326,0.6851093309281853,0.38681125872512634,0.3148906690718148,0.298298072203059,0.0,1.0,0.0,0.6851093309281853,0.08851318652206736,0.6851093309281853,0.0
cent_ctrl_exact_antipodal,control,exact_antipodal,21,0.3443438859433958,0.17995357792109293,0.3082332902127618,0.41804881601633104,0.27371789377090716,0.42857142857142855,0.23809523809523808,0.3333333333333333,0.1799535779210929,0.06072269879624059,0.17995357792109296,0.42831215970961883
cent_ctrl_small_imbalance,control,small_imbalance,27,0.29635325832564613,0.10445579330888947,0.17852986738296353,0.12446984959823276,0.6970002830188037,0.07407407407407407,0.14814814814814814,0.7777777777777778,0.023678298549915322,0.18523328806786354,0.023678298549915378,0.14015572858731926
cent_ctrl_sparse_unimodal,control,sparse_unimodal,32,0.2374570322011587,0.06727928098920877,0.031208331145617867,0.9327207190107912,0.036070949843590897,0.0,1.0,0.0,0.06727928098920877,0.004862618697973029,0.06727928098920877,0.0
cent_ctrl_sparse_antipodal,control,sparse_antipodal,8,0.36038532079436536,0.32716616479517835,0.1643712117356608,0.6728338352048217,0.16279495305951755,0.0,1.0,0.0,0.32716616479517835,0.0015762586761432495,0.32716616479517835,0.0
