field_id,bucket,role,peer_count,bin_sparsity,obs_stay,obs_a0,obs_A,disc_n_occupied_bins,disc_n_zero_bins,disc_max_zero_run,disc_max_bin_mass,disc_top2_peak_gap,disc_peak_bin_distance,disc_antipodal_pairing,disc_focal_bin_mass,disc_bin_boundary_proximity,n_peer_neighbors_available,k_used,nearest_emd,mean_emd_k,nearest_canonical,mean_canonical_k,neighbor_mean_stay,neighbor_mean_a0,neighbor_mean_activity,neighbor_stay_std,neighbor_a0_std,neighbor_response_mean_tv,frac_neighbors_high_stay,frac_neighbors_active,diagnosis,diagnosis_refined,pred_peer_specific_global_p_stay,pred_peer_specific_global_a0,pred_peer_specific_global_A,pred_peer_specific_canonical_emd_p_stay,pred_peer_specific_canonical_emd_a0,pred_peer_specific_canonical_emd_A,pred_peer_specific_activity_direction_p_stay,pred_peer_specific_activity_direction_a0,pred_peer_specific_activity_direction_A,pred_peer16_global_p_stay,pred_peer16_global_a0,pred_peer16_global_A,pred_peer16_canonical_emd_p_stay,pred_peer16_canonical_emd_a0,pred_peer16_canonical_emd_A,pred_peer16_activity_direction_p_stay,pred_peer16_activity_direction_a0,pred_peer16_activity_direction_A,pred_peer16_discrete_emd_p_stay,pred_peer16_discrete_emd_a0,pred_peer16_discrete_emd_A
cent_al_f00_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0.0,0.5,1.0,2.0,22.0,22.0,0.9375,0.875,1.0,0.0,0.9375,1.0,1430,16,0.014973958333333334,0.0957302517361111,2.546427757066882,10.819755862402989,0.1015625,-0.1484375,0.8984375,0.21295333078810955,0.4945380380655769,0.39895833333333336,0.0625,0.875,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.05286875345321797,-0.21028984124013922,0.9471312465467818,0.05555555555555559,-0.20987654317557414,0.9444444444444445,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.05286875345321797,-0.21028984124013922,0.9471312465467818,0.05555555555555559,-0.20987654317557414,0.9444444444444445,0.052631578947371194,-0.21052631578945424,0.9473684210526286
cent_al_f01_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0.0,0.125,1.0,2.0,22.0,22.0,0.9375,0.875,1.0,0.0,1.0,1.0,1430,16,0.024739583333333332,0.07682291666666667,4.557952270517375,9.138062432074886,0.1015625,-0.0859375,0.8984375,0.21295333078810955,0.5091328987540974,0.41458333333333336,0.0625,0.875,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.17968935175345077,0.5147877172529878,0.8203106482465494,0.1666666651515622,0.5423095299840659,0.8333333348484377,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.17968935175345077,0.5147877172529878,0.8203106482465494,0.1666666651515622,0.5423095299840659,0.8333333348484377,0.05266838508414165,-0.22426529843647253,0.9473316149158584
cent_al_f02_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0.0,-0.8125,1.0,1.0,23.0,23.0,1.0,1.0,11.0,0.0,1.0,1.0,1430,16,0.029296875,0.07994249131944445,5.498901168539859,9.778510679153392,0.1015625,-0.0859375,0.8984375,0.21295333078810955,0.5091328987540974,0.41458333333333336,0.0625,0.875,neighbors_active_feature_gap,neighbors_active_feature_gap,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.1694676675250466,0.5202041107441424,0.8305323324749534,0.1253016535076096,0.5692434284537257,0.8746983464923904,0.19532503246505234,-0.09655488503552062,0.8046749675349476,0.1694676675250466,0.5202041107441424,0.8305323324749534,0.1253016535076096,0.5692434284537257,0.8746983464923904,0.007829746802123786,-0.04673489740061722,0.14093540944631516
cent_al_f03_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,0.75,1.0,2.0,22.0,22.0,0.875,0.75,1.0,0.0,1.0,1.0,82,16,0.04079861111111111,0.08387586805555555,9.530925463253864,10.686638379988477,0.328125,-0.015625,0.671875,0.422324863026741,0.310715390380722,0.5347222222222222,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.15745077799805907,0.6791368412765332,0.8425492220019409,1.5896309389644025e-11,0.5949564214825435,0.9999999999841037,,,,,,,,,,,,
cent_al_f04_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,-0.75,1.0,1.0,23.0,23.0,1.0,1.0,11.0,0.0,1.0,1.0,82,16,0.041666666666666664,0.08897569444444443,12.162606648105502,13.25507392177985,0.328125,0.13020833333333331,0.671875,0.422324863026741,0.42078047316531003,0.5770833333333333,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.05899904617086274,0.8322239366189992,0.9410009538291371,3.797630130379998e-24,0.4910016005854474,1.0,,,,,,,,,,,,
cent_al_f05_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,-0.625,1.0,1.0,23.0,23.0,1.0,1.0,11.0,0.0,1.0,1.0,82,16,0.041666666666666664,0.08897569444444443,12.162606648105502,13.25507392177985,0.328125,0.13020833333333331,0.671875,0.422324863026741,0.42078047316531003,0.5770833333333333,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.05899904617086274,0.8322239366189992,0.9410009538291371,3.797630130379998e-24,0.4910016005854474,1.0,,,,,,,,,,,,
cent_al_f06_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,0.5,1.0,2.0,22.0,22.0,0.875,0.75,1.0,0.0,1.0,1.0,82,16,0.04079861111111111,0.08387586805555555,9.530925463253864,10.686638379988477,0.328125,-0.015625,0.671875,0.422324863026741,0.310715390380722,0.5347222222222222,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.15745077799805907,0.6791368412765332,0.8425492220019409,1.5896309389644025e-11,0.5949564214825435,0.9999999999841037,,,,,,,,,,,,
cent_al_f07_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,-0.6875,1.0,1.0,23.0,23.0,1.0,1.0,11.0,0.0,1.0,1.0,82,16,0.041666666666666664,0.08897569444444443,12.162606648105502,13.25507392177985,0.328125,0.13020833333333331,0.671875,0.422324863026741,0.42078047316531003,0.5770833333333333,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.05899904617086274,0.8322239366189992,0.9410009538291371,3.797630130379998e-24,0.4910016005854474,1.0,,,,,,,,,,,,
cent_al_f08_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,0.875,1.0,2.0,22.0,21.0,0.875,0.75,2.0,0.0,0.0,1.0,82,16,0.049479166666666664,0.09966362847222222,11.006448688787113,10.127753810657595,0.09895833333333333,0.4427083333333333,0.9010416666666666,0.26552285617772675,0.5823792420727427,0.45416666666666666,0.125,0.875,neighbors_active_feature_gap,neighbors_active_feature_gap,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.05276274552574305,0.8401883592032142,0.9472372544742571,3.356187172620579e-17,-0.4577657953269845,1.0,,,,,,,,,,,,
cent_al_f09_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.03125,-0.65625,0.96875,1.0,23.0,23.0,1.0,1.0,11.0,0.0,1.0,1.0,82,16,0.041666666666666664,0.08897569444444443,12.162606648105502,13.25507392177985,0.328125,0.13020833333333331,0.671875,0.422324863026741,0.42078047316531003,0.5770833333333333,0.375,0.625,local_noncompressibility,local_noncompressibility,0.10523532522474881,0.058170280274986774,0.8947646747752511,0.05899904617086274,0.8322239366189992,0.9410009538291371,3.797630130379998e-24,0.4910016005854474,1.0,,,,,,,,,,,,
