profile,profile_family,source_family,acquisition_block,epsilon_level,sparse_realization,offset_group,offset_index,p_retard,p_stay,p_advance,activity,g,a0,abs_z1,antipodal_balance,n_trials
kappa_2,kappa_2,transmutation,block_1,na,na,g0,0,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.15032180197843992,24
kappa_2,kappa_2,transmutation,block_1,na,na,g0,1,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.1614793059938444,24
kappa_2,kappa_2,transmutation,block_1,na,na,g0,2,0.9583333333333334,0.0,0.041666666666666664,1.0,-0.9166666666666667,0.0,0.6977746579640078,0.19344487806435262,24
kappa_2,kappa_2,transmutation,block_1,na,na,g0,3,1.0,0.0,0.0,1.0,-1.0,0.0,0.6977746579640078,0.2655271464647839,24
kappa_2,kappa_2,transmutation,block_1,na,na,g0,4,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.33966074379424005,24
kappa_2,kappa_2,transmutation,block_1,na,na,g0,5,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.4898721808935804,24
kappa_2,kappa_2,transmutation,block_1,na,na,g1,6,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.6271868890518262,24
kappa_2,kappa_2,transmutation,block_1,na,na,g1,7,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.7598028344531051,24
kappa_2,kappa_2,transmutation,block_1,na,na,g1,8,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.8639722093998917,24
kappa_2,kappa_2,transmutation,block_1,na,na,g1,9,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.8867141082796194,24
kappa_2,kappa_2,transmutation,block_1,na,na,g1,10,1.0,0.0,0.0,1.0,-1.0,0.0,0.697774657964008,0.7561766711912077,24
kappa_2,kappa_2,transmutation,block_1,na,na,g1,11,1.0,0.0,0.0,1.0,-1.0,0.0,0.6977746579640081,0.6336292632419254,24
kappa_2,kappa_2,transmutation,block_1,na,na,g2,12,0.75,0.0,0.25,1.0,-0.5,0.0,0.6977746579640081,0.4868701211416798,24
kappa_2,kappa_2,transmutation,block_1,na,na,g2,13,0.8333333333333334,0.0,0.16666666666666666,1.0,-0.6666666666666667,0.0,0.697774657964008,0.35867198130857436,24
kappa_2,kappa_2,transmutation,block_1,na,na,g2,14,0.875,0.0,0.125,1.0,-0.75,0.0,0.697774657964008,0.24985493306881423,24
kappa_2,kappa_2,transmutation,block_1,na,na,g2,15,0.9166666666666666,0.0,0.08333333333333333,1.0,-0.8333333333333333,0.0,0.697774657964008,0.20050745422021832,24
