block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_1,intervals_24_decimal6,kappa_2,2.0,2,1.2490484439563059,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,4,2.4333911185487738,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,6,3.2856494816662116,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,8,4.047935398176006,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,12,4.866066723303898,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,2,1.3479354594871493,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,4,2.7370070987678448,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,6,3.8130377005680307,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,8,4.645016332994494,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,12,5.006871642348736,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,2,1.3603266531162301,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,4,2.7853585352898116,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,6,3.9841884989572485,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,8,4.944030463538303,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,12,5.885932029542529,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,2,1.3700063653902397,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,4,2.8323448416716306,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,6,4.079314776079183,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,8,5.271968599882238,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,12,7.05167002255885,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_12,12.0,2,1.2806200451658287,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_12,12.0,4,2.3806635782949224,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_12,12.0,6,2.961490430045523,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_12,12.0,8,3.1341951765964597,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_12,12.0,12,3.106816289244621,2,diagnostic_only_not_primary
block_1,moments_m1_m3,kappa_2,2.0,2,0.8331815741497403,2,diagnostic_only_not_primary
block_1,moments_m1_m3,kappa_2,2.0,4,0.16515110411750866,2,diagnostic_only_not_primary
block_1,moments_m1_m3,kappa_2,2.0,6,-0.6407947341527807,2,diagnostic_only_not_primary
block_1,moments_m1_m3,kappa_2,2.0,8,-0.24142174513281361,2,diagnostic_only_not_primary
