block,profile,concentration,representation_a,representation_b,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_1,kappa_2,2.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.7492505650424389,0.6368449907891933,0.6226598147529022,0.11512115637134095,0.1724537037037037,0.11769876876200581,3.498487218554325
block_1,kappa_2,2.0,intervals_24_decimal6,centers_24_standard,between_representation,0.033938969417903316,0.02683161128410999,0.018265635654706857,0.01728195983546294,0.009259259259259257,0.003378448407360446,0.08702265561392923
block_1,kappa_2,2.0,moments_m1_m3,centers_24_standard,between_representation,0.7695399512756332,0.6588593519879652,0.6408938205375709,0.1318256863505603,0.1724537037037037,0.11769876903104098,3.5075723041342277
block_1,kappa_4,4.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.7809562209703141,0.6808969209447014,0.6622498009449427,0.14021986058934593,0.17708333333333337,0.11950734702160519,3.555441563464238
block_1,kappa_4,4.0,intervals_24_decimal6,centers_24_standard,between_representation,0.17926368145093674,0.08659400772118776,0.039860013998809375,0.06967062987885192,0.03587962962962962,0.02240948600451947,0.6560002864976741
block_1,kappa_4,4.0,moments_m1_m3,centers_24_standard,between_representation,0.8356328454885006,0.7383673582797778,0.7002319921551049,0.20893375633536462,0.1689814814814815,0.11635194874329494,3.4750875484881365
block_1,kappa_6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.7937698622458323,0.697187995354149,0.6727309629342698,0.17015250708722213,0.1736111111111111,0.1180618195925497,3.506160308889196
block_1,kappa_6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.11175171495185093,0.05363894666661394,0.03803073671574096,0.030502648448556446,0.02199074074074074,0.009718865458705355,0.22674354883462344
block_1,kappa_6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.8371443164207845,0.7438971134551288,0.7106681761411401,0.20065504714054644,0.17129629629629628,0.11723439771555448,3.498122600867202
block_1,kappa_9,9.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8113174037373625,0.7379836020083399,0.7022153213692939,0.19919618891090898,0.17824074074074076,0.11677377193368914,3.299863931018298
block_1,kappa_9,9.0,intervals_24_decimal6,centers_24_standard,between_representation,0.381789222432406,0.1494861679342052,0.04212800258336546,0.11934617427562323,0.08101851851851853,0.04857408642913793,1.4053980020423067
block_1,kappa_9,9.0,moments_m1_m3,centers_24_standard,between_representation,0.8427259798891984,0.7436898829364799,0.7385223939773841,0.08248913769965191,0.20949074074074076,0.13752873130318422,3.9213303084347846
block_1,kappa_12,12.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.6605643925139124,0.5681660442252939,0.5313888664169828,0.17370601840789654,0.15625000000000003,0.10306851879419067,3.049782894483873
block_1,kappa_12,12.0,intervals_24_decimal6,centers_24_standard,between_representation,0.438862933828131,0.279378923169834,0.238581089843821,0.13079249708831325,0.08101851851851853,0.05278858251741866,1.4454216192341147
block_1,kappa_12,12.0,moments_m1_m3,centers_24_standard,between_representation,0.825961564287665,0.7718362062001272,0.7651736704046028,0.09384061906085882,0.20717592592592593,0.1357189093430714,3.8883388874314133
block_2,kappa_2,2.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.7643700986855851,0.6677747643548531,0.6584565303604673,0.09578688656261951,0.17939814814814814,0.12056850177756001,3.570576174120037
