block,representation,profile,concentration,estimator,a0
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,fourier_M2,0.1883692573414021
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,fourier_M4,0.19190043099071724
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,fourier_M6,0.19314271520259643
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,fourier_M8,0.19537173041714473
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,fourier_M12,0.19558266652625966
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,unweighted_mean_g,0.18981481481481485
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,density_weighted_mean_g,0.1930393865343671
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,mirror_even_mean_g,0.18981481481481485
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,fourier_M2,0.6526374240261652
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,fourier_M4,0.6630801242193897
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,fourier_M6,0.6644917528702832
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,fourier_M8,0.6689440966356206
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,fourier_M12,0.6749578630642943
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,unweighted_mean_g,0.6574074074074074
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,density_weighted_mean_g,0.6684464186912986
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,mirror_even_mean_g,0.6574074074074073
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,fourier_M2,0.6778778772203242
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,fourier_M4,0.6939028416835322
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,fourier_M6,0.6945889897740322
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,fourier_M8,0.6827911912144203
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,fourier_M12,0.6773754913106658
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,unweighted_mean_g,0.6805555555555555
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,density_weighted_mean_g,0.6831071585287477
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,mirror_even_mean_g,0.6805555555555556
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,fourier_M2,0.6764035126839882
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,fourier_M4,0.6889985048112292
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,fourier_M6,0.6885894792383516
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,fourier_M8,0.6948763953641214
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,fourier_M12,0.6913417706540916
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,unweighted_mean_g,0.6805555555555556
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,density_weighted_mean_g,0.6870445390091845
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,mirror_even_mean_g,0.6805555555555557
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,fourier_M2,0.18762659372172974
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,fourier_M4,0.20224748967578723
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,fourier_M6,0.1925226091028002
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,fourier_M8,0.1877796251798434
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,fourier_M12,0.20227336904548876
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,unweighted_mean_g,0.18981481481481483
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,density_weighted_mean_g,0.19245607263395473
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,mirror_even_mean_g,0.18981481481481483
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,fourier_M2,0.5341123499002872
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,fourier_M4,0.5407529873226893
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,fourier_M6,0.5383448804435674
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,fourier_M8,0.5331500223549736
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,fourier_M12,0.5296864146083844
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,unweighted_mean_g,0.537037037037037
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,density_weighted_mean_g,0.5310867513188542
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,mirror_even_mean_g,0.5370370370370371
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,fourier_M2,0.6037148800536087
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,fourier_M4,0.603937583727862
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,fourier_M6,0.5994119647106935
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,fourier_M8,0.5807660013415996
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,fourier_M12,0.5719123693142432
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,unweighted_mean_g,0.6064814814814815
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,density_weighted_mean_g,0.5871239979896093
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,mirror_even_mean_g,0.6064814814814815
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,fourier_M2,0.6441812477141287
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,fourier_M4,0.6530167504367483
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,fourier_M6,0.6511096732297149
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,fourier_M8,0.6474325861348029
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,fourier_M12,0.6362575542553475
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,unweighted_mean_g,0.6481481481481483
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,density_weighted_mean_g,0.6406455020972329
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,mirror_even_mean_g,0.6481481481481483
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,fourier_M2,-0.15898341870670613
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,fourier_M4,-0.15660067848109335
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,fourier_M6,-0.1554839708397344
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,fourier_M8,-0.1655579663707481
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,fourier_M12,-0.1742831540878405
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,unweighted_mean_g,-0.15740740740740738
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,density_weighted_mean_g,-0.1640137967864549
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,mirror_even_mean_g,-0.1574074074074074
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,fourier_M2,-0.17789553388762203
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,fourier_M4,-0.1964086811587667
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,fourier_M6,-0.20516643470738477
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,fourier_M8,-0.20294259036612416
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,fourier_M12,-0.1893596752893033
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,unweighted_mean_g,-0.17592592592592593
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,density_weighted_mean_g,-0.19967519307629542
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,mirror_even_mean_g,-0.1759259259259259
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,fourier_M2,-0.07467567250176668
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,fourier_M4,-0.0814376769980186
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,fourier_M6,-0.08546527131895995
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,fourier_M8,-0.07200139081109418
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,fourier_M12,-0.05914071110767523
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,unweighted_mean_g,-0.07407407407407408
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,density_weighted_mean_g,-0.0685646879960574
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,mirror_even_mean_g,-0.07407407407407407
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,fourier_M2,-0.06900121283288152
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,fourier_M4,-0.07286194810665124
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,fourier_M6,-0.07572050433365615
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,fourier_M8,-0.08026581252398816
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,fourier_M12,-0.07890178463195152
