block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,feature_axis,feature_value
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,0.19314271520259643,-0.2128716193010525,-0.11283729491665331,0.24092858159205607,nan,nan,0,-152.0731876711321,-0.06186099066262002,-0.07975146854194554,0.10093106013689586,nan,nan,0,-127.79973559751616,0.8287037037037037,0.1712962962962963,0.4420348335023727,nats,0,0,0,0.00721340918485755,0.18981481481481485,0.1930393865343671,0.18981481481481485,-1.8392427359870496,3.042338057832403,1,19,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,0.6644917528702832,-0.15746339988791985,-0.12928819844428152,0.20374042446512886,-2.454136584632636,-140.61166864810042,1,-140.61166864810042,0.007729275612231951,-0.2963181212339087,0.29641891078857174,-1.544717856439095,-88.50581371245555,1,-88.50581371245555,0.925925925925926,0.07407407407407407,0.322875503944216,nats,0,0,0,0.02232043903812908,0.6574074074074074,0.6684464186912986,0.6574074074074073,-1.127810396434117,1.5674198977031786,0,4,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,0.6945889897740322,-0.15555511167276515,0.023411660500160414,0.15730702023400356,nan,nan,0,171.4409970149807,0.04038583109900502,-0.18319246654507934,0.1875912981788531,nan,nan,0,-77.56767725532539,0.9583333333333335,0.04166666666666667,0.2035795963349143,nats,0,0,0,0.017213498463366395,0.6805555555555555,0.6831071585287477,0.6805555555555556,1.126303777716109,2.1861000872382377,1,9,precision,2.0
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,0.6885894792383516,-0.16162611860724246,0.01593955413487807,0.16241019549911612,nan,nan,0,174.36770763769147,0.08989568604285476,-0.2820057812297866,0.2959873223909054,-1.2622072643303237,-72.31914911688105,1,-72.31914911688105,0.9768518518518517,0.02314814814814815,0.2312415860675534,nats,0,0,0,0.01847288268013314,0.6805555555555556,0.6870445390091845,0.6805555555555557,-0.2543688661630888,1.091179725203474,1,6,precision,2.0
feature_block_1,intervals_n24_d3_o0,kappa_2,2.0,0.1925226091028002,0.22553089654489697,-0.025385793603637987,0.22695511409358354,-0.11208836928496836,-6.422190492532496,1,-6.422190492532496,0.012380452654838656,-0.143012222534543,0.14354710516833263,nan,nan,0,-85.0522857783392,0.9768518518518517,0.023148148148148147,0.4183392185185131,nats,0,0,0,0.01464677532375902,0.18981481481481483,0.19245607263395473,0.18981481481481483,-1.2335490406024276,2.5093571924873004,1,14,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_6,6.0,0.5383448804435674,-0.1766843370709103,-0.15927065878453997,0.23787496235595795,-2.4079815107610947,-137.96717771214654,1,-137.96717771214654,0.09760096005650494,-0.17302202484810722,0.19865187763142464,nan,nan,0,-60.57284701020522,0.9629629629629629,0.037037037037037035,0.36865101597205385,nats,0,0,0,0.01106657271430489,0.537037037037037,0.5310867513188542,0.5370370370370371,-0.44530864310864193,0.8848658960622533,1,8,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,0.5994119647106935,-0.33835548212552585,0.049430106852530326,0.34194702476823746,2.996529553346949,171.68849659300184,1,171.68849659300184,0.17280497072708262,-0.1978403424606242,0.26268300099725705,-0.8528410829143466,-48.86419464635876,1,-48.86419464635876,0.9861111111111112,0.013888888888888888,0.2869018757682776,nats,0,0,0,0.03202521441361883,0.6064814814814815,0.5871239979896093,0.6064814814814815,-0.5523494465319997,1.5215581752065517,1,6,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,0.6511096732297149,-0.2567717738456392,-0.06573989636973078,0.2650537262868399,-2.890951844896445,-165.63933948812527,1,-165.63933948812527,0.22748692838573775,-0.2614256677607959,0.34654535395898156,-0.8547037679035724,-48.97091863480377,1,-48.97091863480377,0.9814814814814815,0.018518518518518517,0.24176730326860593,nats,0,0,0,0.01675919618140087,0.6481481481481483,0.6406455020972329,0.6481481481481483,-1.0265005754976329,3.3726910901770846,1,8,precision,3.0
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,-0.1554839708397344,0.7484767331710519,0.05968462048622347,0.7508526313605051,0.07957307528792196,4.559201376874676,1,4.559201376874676,0.16258655926611312,-0.12135667696719564,0.20288379013246374,nan,nan,0,-36.73812817481849,0.9722222222222222,0.027777777777777776,0.3400276169471654,nats,0,0,0,0.018799183248106116,-0.15740740740740738,-0.1640137967864549,-0.1574074074074074,0.889852759040205,3.7533833380050714,1,11,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,-0.20516643470738477,0.22025102972086832,0.12854815782966483,0.2550198913310553,0.5283060941409599,30.26970948531815,1,30.26970948531815,0.07642873123993094,-0.15513909255252284,0.17294360062449793,nan,nan,0,-63.77299878045607,0.9537037037037037,0.046296296296296294,0.4065474627324909,nats,0,0,0,0.027270900819762744,-0.17592592592592593,-0.19967519307629542,-0.1759259259259259,3.218548298596423,4.370242542308041,0,18,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,-0.08546527131895995,0.13042619097810798,0.07333961555284439,0.14963184989331954,nan,nan,0,29.34937112738519,0.2193017994401836,-0.056029534392148556,0.22634616842770605,nan,nan,0,-14.331938427182994,0.9444444444444446,0.05555555555555555,0.5176438353103086,nats,0,0,0,0.026324560211284723,-0.07407407407407408,-0.0685646879960574,-0.07407407407407407,1.7528902653334701,2.1170840111750584,0,17,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,-0.07572050433365615,0.1765383334396775,0.04258376983342781,0.1816016537008546,nan,nan,0,13.561561305023499,-0.10093862019694393,0.01965338900410701,0.10283414193063338,nan,nan,0,168.98200118070466,0.9675925925925927,0.03240740740740741,0.5505721829190244,nats,0,0,0,0.011264599691106644,-0.06944444444444448,-0.07730191669932789,-0.06944444444444446,0.2756812893834317,2.439697542024752,1,16,precision,4.0
