block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,2,-0.35456373937705676,2,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,4,-1.2555663007708018,4,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,6,-1.8392427359870496,4,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,8,-1.308755030373264,4,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_2,2.0,12,1.2030953218453535,8,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,2,-0.1440963623943482,0,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,4,-0.6936999443291507,2,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,6,-1.127810396434117,2,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,8,-1.7115162600975267,2,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_6,6.0,12,-0.7196817868980423,2,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,2,-0.005392106289442644,0,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,4,-0.017781083214054916,0,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,6,1.126303777716109,2,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,8,0.33891740469351844,4,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_9,9.0,12,-1.0597963095221288,4,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,2,0.02467726857451988,0,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,4,0.0033498593614703226,0,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,6,-0.2543688661630888,0,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,8,-0.7916630891969223,4,diagnostic_only_not_primary
feature_block_1,intervals_n24_d2_o0,kappa_12,12.0,12,0.29951663600655165,4,diagnostic_only_not_primary
