block,profile,concentration,representation,origin_shift_bins,harmonic,observed_a,observed_b,null_a,null_b,residual_magnitude,phase_residual,phase_residual_degrees,max_coordinate_phase_degrees
feature_block_1,kappa_2,2.0,centers_n24_d6_o0,0.0,1,0.7435918989733065,0.3638985226952053,0.7435918989733065,0.3638985226952053,0.0,0.0,0.0,0.0
feature_block_1,kappa_2,2.0,centers_n24_d6_o0,0.0,2,-0.09048058505051612,0.06826259998494873,-0.09048058505051612,0.06826259998494873,0.0,0.0,0.0,0.0
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.125,0.125,1,0.6099857960976285,0.03314210325328249,0.7312873446553366,0.38803333179693167,0.3750491298213057,-0.43356076020230994,-24.84120172207591,1.8749999999999998
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.125,0.125,2,-0.24470680258536034,0.14372023332253686,-0.09475144682090805,0.062198731121570594,0.1706820554233678,0.049848961161067074,2.8561350876407032,3.7499999999999996
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.25,0.25,1,0.2984465223121263,0.4436282234349747,0.7181997095319593,0.4117526250877947,0.42096174642263984,0.45803587841020654,26.243522698472177,3.7499999999999996
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.25,0.25,2,0.031181002192995324,0.08780514243716538,-0.09861656834950613,0.055868517742606975,0.13366883449636538,-1.396581476623303,-80.0182243566637,7.499999999999999
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.375,0.375,1,0.39975319147876515,0.2555166148055243,0.7043430081706742,0.4350310033544351,0.35355391686205384,0.01544563820857725,0.884969881237482,5.625
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.375,0.375,2,-0.11505681848144106,0.09592087414757054,-0.1020593985925406,0.04929906679357862,0.04839964715492377,-0.24495427159141991,-14.034845935889681,11.25
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.5,0.5,1,0.49813566763881245,-0.03873203885200552,0.689732078674371,0.45784353952634516,0.5322560377896152,-0.663612613478521,-38.02220198396566,7.499999999999999
feature_block_1,kappa_2,2.0,centers_n24_d6_o0.5,0.5,2,-0.181043729538265,0.1110892242002037,-0.10506519482235788,0.04251850967200975,0.10234588720844318,-0.16582242730263275,-9.500925233055769,14.999999999999998
feature_block_1,kappa_6,6.0,centers_n24_d6_o0,0.0,1,0.09361588119053146,0.23149855390648977,0.09361588119053146,0.23149855390648977,0.0,0.0,0.0,0.0
feature_block_1,kappa_6,6.0,centers_n24_d6_o0,0.0,2,-0.12573179821618796,0.16443303946230833,-0.12573179821618796,0.16443303946230833,0.0,0.0,0.0,0.0
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.125,0.125,1,-0.09546896833274199,0.2937860198531864,0.08599133771694314,0.23443763245163154,0.1909190240882517,0.6657574007524438,38.14508924271481,1.8749999999999998
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.125,0.125,2,0.12295778872403278,0.27083621239563094,-0.13621703211451724,0.1558577226556382,0.2835341969843922,-1.1444235028254492,-65.57063668747628,3.7499999999999996
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.25,0.25,1,0.056007676941718966,0.16373403255529245,0.07827471256507937,0.23712566930792173,0.0766951968553565,-0.010752388967236293,-0.6160665075056696,3.7499999999999996
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.25,0.25,2,-0.1850864186865116,0.1466633791671115,-0.14611896376891295,0.1466149991528437,0.03896748495067219,0.11700007826593994,6.70361068733867,7.499999999999999
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.375,0.375,1,-0.12961839028634406,0.2819636584737236,0.07047426889043315,0.23955978605816666,0.20453645311354343,0.7170012404901129,41.081144985728024,5.625
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.375,0.375,2,-0.038880430015168804,0.1610129316986197,-0.15539519158785875,0.13674444771493258,0.11901533085786581,-0.6122153235106529,-35.07735419039673,11.25
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.5,0.5,1,-0.0020892639688512276,-0.2596144391081164,0.06259835960347111,0.24173737618918215,0.5055077955336901,-2.8962539448572295,-165.94312743843471,7.499999999999999
feature_block_1,kappa_6,6.0,centers_n24_d6_o0.5,0.5,2,-0.37652463053428925,0.0051165266787404325,-0.16400599333972152,0.12628833555851657,0.24463601211234887,0.6426049729740053,36.818552845528835,14.999999999999998
feature_block_1,kappa_9,9.0,centers_n24_d6_o0,0.0,1,-0.12613976101605606,0.1564659038643293,-0.12613976101605606,0.1564659038643293,0.0,0.0,0.0,0.0
