block,representation,profile,imbalance,realization,count_a,count_b,a0,a1,b1,R1,phi1_degrees,R2,activity,mean_entropy
block_1,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r00_k6,8_8,0,8,8,-0.17915874535451928,0.03699124461634685,-0.091620996130551,0.09880667543349918,-68.01400084206428,0.022603322346003037,0.6180555555555556,0.5218436766704961
block_1,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r01_k6,8_8,1,8,8,0.12155143851826433,0.08017081582035147,0.0009989875161014186,0.08017703963952551,0.7139107381322669,0.2542995463732364,0.6805555555555556,0.6206620360562352
block_1,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r02_k6,8_8,2,8,8,-0.09093693534768335,-0.2005108578468824,-0.08759187063310586,0.21880799783257338,-156.4022001757976,0.2780763364562745,0.625,0.49551046178846725
block_1,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r03_k6,8_8,3,8,8,-0.07383068676825891,0.10681851800782816,-0.03603384392260566,0.11273257602497785,-18.641156795821367,0.06694950247109696,0.6527777777777778,0.591780903532904
block_1,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r04_k6,8_8,4,8,8,-0.033326646791907444,-0.030915488933942494,-0.0842819065454896,0.08977308743140877,-110.14356786834742,0.19387563684326076,0.5416666666666666,0.4172201495722668
block_1,intervals_24_decimal6,sparse_peer16_antipodal_8_8_r05_k6,8_8,5,8,8,-0.04183100871767876,0.03617521724879998,0.011939725323808721,0.03809466345573714,18.265608854679087,0.17863893065243025,0.6944444444444444,0.5291110120005593
block_1,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r00_k6,9_7,0,9,7,0.07146712323191047,-0.06877450060230428,0.1585764302288989,0.1728479567632698,113.44634807757585,0.3162814763810243,0.9027777777777778,0.505137505962911
block_1,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r01_k6,9_7,1,9,7,-0.1532718660451411,-0.11672716223340893,0.20999756825696772,0.24025862955761731,119.0674969390141,0.2906355636918065,0.9097222222222222,0.4965962118121967
block_1,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r02_k6,9_7,2,9,7,0.07672967589030527,-0.2417247932837681,0.06751506731889181,0.2509764132406767,164.39465855252126,0.3416038282542288,0.8888888888888888,0.48224974994899195
block_1,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r03_k6,9_7,3,9,7,0.17760750504025102,0.030205985590056734,0.14236922589128037,0.14553830439560966,78.02138248918763,0.42290427918430684,0.8819444444444444,0.45827624391134364
block_1,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r04_k6,9_7,4,9,7,0.04429926671508627,-0.05720646204886086,0.5240203485412228,0.5271336689924221,96.23021660804366,0.17643197094595725,0.9236111111111112,0.5351043885099714
block_1,intervals_24_decimal6,sparse_peer16_antipodal_9_7_r05_k6,9_7,5,9,7,0.23702083508083005,-0.27323721425805264,0.0456213388352305,0.27701964156467296,170.5209887133177,0.45040479710038095,0.9375,0.4484609909399783
block_1,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r00_k6,10_6,0,10,6,0.05123814817344131,-0.1544164483378416,0.3580463178385995,0.3899251277297383,113.32933188444102,0.42081583238271414,0.9861111111111112,0.40032577006775993
block_1,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r01_k6,10_6,1,10,6,0.015589827341712315,-0.25111726857140215,0.4414030369655364,0.5078351342878518,119.63584989213076,0.36609784009813856,0.9791666666666666,0.4317548202323931
block_1,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r02_k6,10_6,2,10,6,-0.005824741582634193,-0.04295566028811393,0.36469036267710286,0.36721145050276505,96.71772612557545,0.40481064219767027,0.9722222222222222,0.39560635237899894
block_1,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r03_k6,10_6,3,10,6,0.09013270115516087,-0.2178987674144775,0.42700625042870205,0.4793894145117599,117.03495219797674,0.30104245698331117,0.9930555555555556,0.4317548202323931
block_1,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r04_k6,10_6,4,10,6,0.0695901347562521,-0.08590911695977463,0.21889862146296485,0.2351531051361955,111.42805857522622,0.5427216115101823,0.9513888888888888,0.44246761443056626
block_1,intervals_24_decimal6,sparse_peer16_antipodal_10_6_r05_k6,10_6,5,10,6,0.15445794315825623,-0.36523214031127493,0.09813602859772032,0.37818672164063005,164.96014141163212,0.19816816214354166,0.9236111111111112,0.5049492971659894
block_1,moments_m1_m3,sparse_peer16_antipodal_8_8_r00_k6,8_8,0,8,8,0.015916415022561487,0.014609296627950909,0.0006193897950344686,0.014622420855715057,2.4277130808002982,0.06053335918697594,0.05555555555555555,0.0697490180654863
block_1,moments_m1_m3,sparse_peer16_antipodal_8_8_r01_k6,8_8,1,8,8,0.020968180129827985,-0.012712367726699942,-0.010919686953011178,0.01675839659306954,-139.33803588226706,0.03577444798898272,0.020833333333333332,0.046861262051567355
block_1,moments_m1_m3,sparse_peer16_antipodal_8_8_r02_k6,8_8,2,8,8,-0.017398986784764148,0.011648949232811982,-0.01663906779786434,0.020311489246496846,-55.00427820512394,0.08378629644212808,0.041666666666666664,0.08173577108431052
block_1,moments_m1_m3,sparse_peer16_antipodal_8_8_r03_k6,8_8,3,8,8,0.007073704757771733,-0.002558178559903073,-0.015426621357113517,0.015637292733721483,-99.4156087474513,0.03159150092270879,0.04861111111111111,0.1093429447869905
block_1,moments_m1_m3,sparse_peer16_antipodal_8_8_r04_k6,8_8,4,8,8,-0.0005111171950065842,-0.0006855645910463235,0.026094457520202986,0.026103461687718255,91.50495268302356,0.03020824032316292,0.041666666666666664,0.07338268573051789
block_1,moments_m1_m3,sparse_peer16_antipodal_8_8_r05_k6,8_8,5,8,8,-0.009378433518555898,-0.06310061925591876,0.02588314695858282,0.06820282579893608,157.69712654103103,0.06829119176453555,0.0763888888888889,0.13586436846594102
block_1,moments_m1_m3,sparse_peer16_antipodal_9_7_r00_k6,9_7,0,9,7,-0.11715104262787396,0.898864063844542,0.3688291180009148,0.9715922619887715,22.309717172324067,0.29253712980556607,1.0,0.14785112148476526
block_1,moments_m1_m3,sparse_peer16_antipodal_9_7_r01_k6,9_7,1,9,7,-0.07923443956122676,1.1032303761355662,0.24711503325519896,1.1305676019101825,12.625413014933999,0.2534674009053179,0.9930555555555556,0.13350465962156052
block_1,moments_m1_m3,sparse_peer16_antipodal_9_7_r02_k6,9_7,2,9,7,-0.1026224407610111,1.0558953852165267,0.2999739790307814,1.0976791209716603,15.859552001649572,0.2367592843051017,0.9652777777777778,0.1839995893381595
block_1,moments_m1_m3,sparse_peer16_antipodal_9_7_r03_k6,9_7,3,9,7,-0.046958084268741096,1.097949000623486,0.22609907539637375,1.1209874218140035,11.636174727158403,0.20863623691841812,0.9930555555555556,0.14549141264038473
block_1,moments_m1_m3,sparse_peer16_antipodal_9_7_r04_k6,9_7,4,9,7,-0.08636029340150932,1.1341483303193847,0.2572921127470569,1.1629667520819726,12.78174064555592,0.22758846540857622,1.0,0.1442174538197337
block_1,moments_m1_m3,sparse_peer16_antipodal_9_7_r05_k6,9_7,5,9,7,-0.038689417499789214,0.9693719505081972,0.47855763410088253,1.0810640071653024,26.274541226707925,0.20965520939519244,0.9930555555555556,0.14785112148476523
block_1,moments_m1_m3,sparse_peer16_antipodal_10_6_r00_k6,10_6,0,10,6,-0.022266019341366558,1.0740619256472612,0.3229550256834818,1.1215654099245933,16.735279429782416,0.2382764854209884,1.0,0.15983787450358944
block_1,moments_m1_m3,sparse_peer16_antipodal_10_6_r01_k6,10_6,1,10,6,0.044677819884882244,0.9540408905589384,0.0766869646439899,0.957118023759244,4.595623634385601,0.37877452561803243,1.0,0.1947123835363326
block_1,moments_m1_m3,sparse_peer16_antipodal_10_6_r02_k6,10_6,2,10,6,0.08515859183644331,1.0130406928639057,-0.03422636480473509,1.0136187100906973,-1.9350462615387496,0.19528264046645197,1.0,0.1707388774986842
