block,representation,profile,concentration,estimator,a0
block_1,intervals_24_decimal6,unimodal_k9,9.0,fourier_M2,0.1731610529927722
block_1,intervals_24_decimal6,unimodal_k9,9.0,fourier_M4,0.17498849490631277
block_1,intervals_24_decimal6,unimodal_k9,9.0,fourier_M6,0.1736860807791402
block_1,intervals_24_decimal6,unimodal_k9,9.0,fourier_M8,0.16472579043386656
block_1,intervals_24_decimal6,unimodal_k9,9.0,fourier_M12,0.14990086675068676
block_1,intervals_24_decimal6,unimodal_k9,9.0,unweighted_mean_g,0.1712962962962963
block_1,intervals_24_decimal6,unimodal_k9,9.0,density_weighted_mean_g,0.1606173263613217
block_1,intervals_24_decimal6,unimodal_k9,9.0,mirror_even_mean_g,0.1712962962962963
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,fourier_M2,-0.1472809390128477
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,fourier_M4,-0.14453603637965895
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,fourier_M6,-0.1499372567330582
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,fourier_M8,-0.1523446776641052
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,fourier_M12,-0.1474964252494514
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,unweighted_mean_g,-0.1481481481481481
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,density_weighted_mean_g,-0.14843917363191855
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,mirror_even_mean_g,-0.1481481481481481
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,fourier_M2,0.16809175144120503
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,fourier_M4,0.17746145993720946
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,fourier_M6,0.17790554694081534
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,fourier_M8,0.1790529029063831
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,fourier_M12,0.1673709735638437
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,unweighted_mean_g,0.1689814814814815
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,density_weighted_mean_g,0.17279121169734246
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,mirror_even_mean_g,0.1689814814814815
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,fourier_M2,-0.012453813653468546
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,fourier_M4,-0.005723053087935899
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,fourier_M6,-0.0031129809016228753
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,fourier_M8,0.0012767238354036738
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,fourier_M12,-0.0039500295324124655
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,unweighted_mean_g,-0.009259259259259264
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,density_weighted_mean_g,-0.00597288162095489
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,mirror_even_mean_g,-0.009259259259259262
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,fourier_M2,0.3075319382307325
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,fourier_M4,0.31355961546994116
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,fourier_M6,0.3117569965912851
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,fourier_M8,0.31166114229794495
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,fourier_M12,0.31865228421056657
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,unweighted_mean_g,0.3125
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,density_weighted_mean_g,0.311633233188943
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,mirror_even_mean_g,0.31249999999999994
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,fourier_M2,0.019872650083698082
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,fourier_M4,0.023732234946892063
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,fourier_M6,0.023874003908218578
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,fourier_M8,0.022850477842383282
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,fourier_M12,0.014767188131335327
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,unweighted_mean_g,0.020833333333333332
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,density_weighted_mean_g,0.018788760113722398
block_1,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,mirror_even_mean_g,0.02083333333333333
block_1,moments_m1_m3,unimodal_k9,9.0,fourier_M2,0.006536131438821692
block_1,moments_m1_m3,unimodal_k9,9.0,fourier_M4,-0.0073100158075214885
block_1,moments_m1_m3,unimodal_k9,9.0,fourier_M6,-0.012193106331036528
block_1,moments_m1_m3,unimodal_k9,9.0,fourier_M8,-0.011037173009353538
block_1,moments_m1_m3,unimodal_k9,9.0,fourier_M12,-0.012745828151403522
block_1,moments_m1_m3,unimodal_k9,9.0,unweighted_mean_g,0.004629629629629636
block_1,moments_m1_m3,unimodal_k9,9.0,density_weighted_mean_g,-0.009280462961072293
block_1,moments_m1_m3,unimodal_k9,9.0,mirror_even_mean_g,0.004629629629629638
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,fourier_M2,0.055661620504541126
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,fourier_M4,0.06119835056869194
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,fourier_M6,0.06069794866954388
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,fourier_M8,0.06171363510555173
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,fourier_M12,0.06145077692992287
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,unweighted_mean_g,0.055555555555555546
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,density_weighted_mean_g,0.05900498298770893
block_1,moments_m1_m3,bimodal_equal_sep2_k6,6.0,mirror_even_mean_g,0.05555555555555555
block_1,moments_m1_m3,antipodal_equal_k6,6.0,fourier_M2,0.026157497271100415
block_1,moments_m1_m3,antipodal_equal_k6,6.0,fourier_M4,0.02080653402538131
block_1,moments_m1_m3,antipodal_equal_k6,6.0,fourier_M6,0.020854904407540956
block_1,moments_m1_m3,antipodal_equal_k6,6.0,fourier_M8,0.01956902474842836
block_1,moments_m1_m3,antipodal_equal_k6,6.0,fourier_M12,0.024075607755033954
block_1,moments_m1_m3,antipodal_equal_k6,6.0,unweighted_mean_g,0.025462962962962965
block_1,moments_m1_m3,antipodal_equal_k6,6.0,density_weighted_mean_g,0.022705954753106782
block_1,moments_m1_m3,antipodal_equal_k6,6.0,mirror_even_mean_g,0.025462962962962965
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,fourier_M2,0.0010164895098746158
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,fourier_M4,0.014266532935800139
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,fourier_M6,0.01350050233542702
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,fourier_M8,0.014714202090291898
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,fourier_M12,0.018971217244121368
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,unweighted_mean_g,0.009259259259259262
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,density_weighted_mean_g,0.018886151350916616
block_1,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,mirror_even_mean_g,0.009259259259259276
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,fourier_M2,0.14507518739389735
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,fourier_M4,0.14414195913742164
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,fourier_M6,0.1441851410730867
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,fourier_M8,0.14760448634912168
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,fourier_M12,0.1443128233113962
block_1,moments_m1_m3,sparse_N8_unimodal_k6,6.0,unweighted_mean_g,0.1435185185185185
