block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_1,intervals_24_decimal6,unimodal_k9,9.0,2,0.8690681184663127,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,unimodal_k9,9.0,4,0.5808516768570415,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,unimodal_k9,9.0,6,1.3192513183612302,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,unimodal_k9,9.0,8,-0.9611080782757182,10,diagnostic_only_not_primary
block_1,intervals_24_decimal6,unimodal_k9,9.0,12,-2.0216416977254243,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,2,-0.2503647015571829,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,4,-2.2402151035355873,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,6,-1.8971586966185099,8,diagnostic_only_not_primary
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,8,-0.9466566443412545,8,diagnostic_only_not_primary
block_1,intervals_24_decimal6,bimodal_equal_sep2_k6,6.0,12,-1.602470613014735,8,diagnostic_only_not_primary
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,2,0.3530506182564723,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,4,0.37473960848008686,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,6,0.15090996536809895,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,8,-0.10206680983955362,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,antipodal_equal_k6,6.0,12,1.1496546593181236,10,diagnostic_only_not_primary
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,2,-0.03142351902631052,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,4,-1.5964654640044023,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,6,-0.6061118762764597,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,8,-0.389389167166376,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,12,-2.415431043733357,12,diagnostic_only_not_primary
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,2,0.368416082540086,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,4,0.18155304127518143,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,6,0.5499778095145249,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,8,1.1941617950252326,6,diagnostic_only_not_primary
