block,representation,profile,concentration,offset_index,offset_radians,g,activity,entropy,p_retard,p_stay,p_advance
block_1,intervals_24_decimal6,unimodal_k9,9.0,0,-3.060726315293831,0.16666666666666669,0.6666666666666667,1.0775563270668007,0.25,0.3333333333333333,0.4166666666666667
block_1,intervals_24_decimal6,unimodal_k9,9.0,1,-2.92640177655781,0.8333333333333333,1.0,0.2868359830561607,0.08333333333333333,0.0,0.9166666666666666
block_1,intervals_24_decimal6,unimodal_k9,9.0,2,-2.746279632217894,0.75,0.9166666666666667,0.5660857389596289,0.08333333333333333,0.08333333333333333,0.8333333333333334
block_1,intervals_24_decimal6,unimodal_k9,9.0,3,-2.518873672395674,0.5,1.0,0.5623351446188083,0.25,0.0,0.75
block_1,intervals_24_decimal6,unimodal_k9,9.0,4,-2.360717942934366,0.0,1.0,0.6931471805599453,0.5,0.0,0.5
block_1,intervals_24_decimal6,unimodal_k9,9.0,5,-2.125472971056087,0.0,1.0,0.6931471805599453,0.5,0.0,0.5
block_1,intervals_24_decimal6,unimodal_k9,9.0,6,-1.955683617054956,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
block_1,intervals_24_decimal6,unimodal_k9,9.0,7,-1.81130581486731,1.0,1.0,-0.0,0.0,0.0,1.0
block_1,intervals_24_decimal6,unimodal_k9,9.0,8,-1.70513797996314,0.6666666666666667,1.0,0.45056120886630463,0.16666666666666666,0.0,0.8333333333333334
block_1,intervals_24_decimal6,unimodal_k9,9.0,9,-1.459132129739855,-0.6666666666666667,1.0,0.45056120886630463,0.8333333333333334,0.0,0.16666666666666666
block_1,intervals_24_decimal6,unimodal_k9,9.0,10,-1.326501968991361,-0.3333333333333333,1.0,0.6365141682948128,0.6666666666666666,0.0,0.3333333333333333
block_1,intervals_24_decimal6,unimodal_k9,9.0,11,-1.193267876314604,0.0,1.0,0.6931471805599453,0.5,0.0,0.5
block_1,intervals_24_decimal6,unimodal_k9,9.0,12,-1.01205578829373,0.3333333333333333,1.0,0.6365141682948128,0.3333333333333333,0.0,0.6666666666666666
block_1,intervals_24_decimal6,unimodal_k9,9.0,13,-0.815390451126862,-0.16666666666666669,1.0,0.6791932659915256,0.5833333333333334,0.0,0.4166666666666667
block_1,intervals_24_decimal6,unimodal_k9,9.0,14,-0.582253411155328,0.3333333333333333,1.0,0.6365141682948128,0.3333333333333333,0.0,0.6666666666666666
block_1,intervals_24_decimal6,unimodal_k9,9.0,15,-0.424110634258503,-0.16666666666666669,1.0,0.6791932659915256,0.5833333333333334,0.0,0.4166666666666667
block_1,intervals_24_decimal6,unimodal_k9,9.0,16,-0.252363301580937,0.0,1.0,0.6931471805599453,0.5,0.0,0.5
block_1,intervals_24_decimal6,unimodal_k9,9.0,17,-0.126277469898986,-0.16666666666666669,0.6666666666666667,1.077556327066801,0.4166666666666667,0.3333333333333333,0.25
block_1,intervals_24_decimal6,unimodal_k9,9.0,18,0.126277469898986,-0.5833333333333334,0.9166666666666666,0.7214636866925115,0.75,0.08333333333333333,0.16666666666666666
block_1,intervals_24_decimal6,unimodal_k9,9.0,19,0.252363301580937,0.16666666666666669,0.8333333333333333,1.0114042647073518,0.3333333333333333,0.16666666666666666,0.5
block_1,intervals_24_decimal6,unimodal_k9,9.0,20,0.424110634258503,1.0,1.0,-0.0,0.0,0.0,1.0
block_1,intervals_24_decimal6,unimodal_k9,9.0,21,0.582253411155328,1.0,1.0,-0.0,0.0,0.0,1.0
block_1,intervals_24_decimal6,unimodal_k9,9.0,22,0.815390451126862,1.0,1.0,-0.0,0.0,0.0,1.0
block_1,intervals_24_decimal6,unimodal_k9,9.0,23,1.01205578829373,0.5,1.0,0.5623351446188083,0.25,0.0,0.75
block_1,intervals_24_decimal6,unimodal_k9,9.0,24,1.193267876314604,0.16666666666666669,1.0,0.6791932659915256,0.4166666666666667,0.0,0.5833333333333334
block_1,intervals_24_decimal6,unimodal_k9,9.0,25,1.326501968991361,1.0,1.0,-0.0,0.0,0.0,1.0
block_1,intervals_24_decimal6,unimodal_k9,9.0,26,1.459132129739855,0.16666666666666669,1.0,0.6791932659915256,0.4166666666666667,0.0,0.5833333333333334
