block,profile,concentration,representation_a,representation_b,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_1,unimodal_k9,9.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9838200022783788,1.0189775584776122,1.0016322969970195,0.022292018588047458,0.423611111111111,0.18781522577921766,3.5806501339394257
block_1,unimodal_k9,9.0,intervals_24_decimal6,centers_24_standard,between_representation,0.9770042233828519,0.8355786301925309,0.08299970736611031,0.6873352852322149,0.4282407407407407,0.16190297762211361,2.3126031052823195
block_1,unimodal_k9,9.0,moments_m1_m3,centers_24_standard,between_representation,1.1374218064704935,1.2548616856054782,1.0137409265817863,0.6837441816207112,0.4930555555555556,0.23249691840943287,4.513192469833932
block_1,bimodal_equal_sep2_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,1.019737673673332,1.044309398450691,0.9613311877848585,0.34936696656896615,0.4166666666666667,0.18988876016468545,3.8873372083968007
block_1,bimodal_equal_sep2_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.6361135552419424,0.6120475137091852,0.6016642887795952,0.07457017839659136,0.24074074074074073,0.07877298654696752,1.1125693850403138
block_1,bimodal_equal_sep2_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.7390296694523799,0.659235418291049,0.48938259394301065,0.4231284756479843,0.26620370370370366,0.1092101441056717,2.08202458371527
block_1,antipodal_equal_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.36849987279910296,0.22809389931228544,0.07861396980170195,0.14553956965507958,0.5347222222222223,0.25394525135624574,5.254872841914537
block_1,antipodal_equal_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.4288325349840374,0.23109256097817527,0.14533542795024704,0.1785361384436796,0.37962962962962954,0.13994302583964208,2.3412340896730175
block_1,antipodal_equal_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.29129246712570034,0.1856985242841346,0.0815502481077509,0.0953579510948516,0.32407407407407407,0.14494708256851427,3.2207844808840402
block_1,asymmetric_w075_sep2_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8318006458680993,0.7623121584902018,0.6472638555945972,0.4023596903238933,0.3333333333333333,0.1311688993950826,2.654779302176263
block_1,asymmetric_w075_sep2_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.730199740092807,0.5049161377065016,0.3693693714460589,0.09247691088799087,0.2962962962962962,0.09853324401979127,1.6460839885425342
block_1,asymmetric_w075_sep2_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.7618018397419717,0.6171366944550193,0.31191739005373287,0.4028855615272444,0.2847222222222222,0.11811410996023704,1.9733328722943797
block_1,sparse_N8_unimodal_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9714032184402913,1.070403341831056,0.8343325961213907,0.6492858434392521,0.4629629629629629,0.2281587024008543,5.044613848073116
block_1,sparse_N8_unimodal_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.850910265731151,0.8960409821031049,0.8234502269893875,0.17005486923781885,0.375,0.1495247026134279,2.5927858487871633
block_1,sparse_N8_unimodal_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,1.352906928881032,1.7392512214887434,1.6525509179413902,0.5233317294121549,0.6550925925925927,0.36493015113224586,8.787342181192292
block_1,sparse_N16_antipodal_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.3428264333526771,0.10220103596094123,0.034639615769595865,0.0894700964109836,0.6134259259259258,0.34698076251110677,9.074976091049145
block_1,sparse_N16_antipodal_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.508267659108122,0.29276619327138853,0.07218380380460418,0.2286054690267476,0.3449074074074075,0.13142197552778417,2.4419434667209137
block_1,sparse_N16_antipodal_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.40797367801108736,0.2118686616632634,0.08845129743192927,0.1393553804349859,0.5555555555555555,0.30508131547775175,7.223130040403547
block_2,unimodal_k9,9.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9674580806001146,1.0713685135853663,1.0405945752724706,0.10427653084036811,0.4212962962962963,0.1800047788149435,3.162989176078737
block_2,unimodal_k9,9.0,intervals_24_decimal6,centers_24_standard,between_representation,0.9213305849178932,0.7793745432470542,0.16507309397731326,0.6141489279034867,0.41203703703703703,0.14885046715552064,2.1625521862741337
block_2,unimodal_k9,9.0,moments_m1_m3,centers_24_standard,between_representation,1.16004623594907,1.375449557286498,1.2055176168623443,0.6253814011001405,0.5046296296296295,0.23506402976533136,4.907159722790293
block_2,bimodal_equal_sep2_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9877553200572525,1.0702133106916474,0.9399556128783955,0.4924186895703432,0.39120370370370366,0.17158611269092927,3.3761160532400143
block_2,bimodal_equal_sep2_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.7137466732015703,0.7216682300222068,0.715742560727687,0.08566523071185646,0.27314814814814814,0.08564750970061166,1.0508190057268731
block_2,bimodal_equal_sep2_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.7358593164234287,0.5895796954366394,0.4120035688089393,0.4084983161495392,0.275462962962963,0.10989074417388837,2.150530907321085
block_2,antipodal_equal_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.39434936732298015,0.28704648744434097,0.13221324363149778,0.17141359215701335,0.5138888888888888,0.24905498293855194,5.26748165610038
block_2,antipodal_equal_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.38946038791061943,0.23869224121034724,0.14158133691014066,0.18564057089524524,0.3472222222222222,0.1399550199751688,2.389737357272208
block_2,antipodal_equal_k6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.2487082218773377,0.15390452741581284,0.05854015550375304,0.03135673376658312,0.31481481481481477,0.14290220103267318,2.913987018114031
block_2,asymmetric_w075_sep2_k6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8121428518146161,0.8375339659887013,0.7008039550848821,0.45860848008264427,0.32175925925925924,0.12916430969551748,2.9034118424810833
block_2,asymmetric_w075_sep2_k6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.8105110111679332,0.581055172292404,0.38303936119847304,0.22288247115386514,0.33564814814814814,0.11352269764306627,1.5059935297252565
