block,representation,profile,concentration,estimator,a0
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M2,0.15093938410091556
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M4,0.1495137132916197
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M6,0.1508095654447381
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M8,0.15318543462374434
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M12,0.14663793269759146
block_1,intervals_24_decimal6,kappa_2,2.0,unweighted_mean_g,0.15162037037037035
block_1,intervals_24_decimal6,kappa_2,2.0,density_weighted_mean_g,0.14607056089062656
block_1,intervals_24_decimal6,kappa_2,2.0,mirror_even_mean_g,0.15162037037037035
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M2,0.1096305566721978
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M4,0.10189480369372989
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M6,0.10300311338842758
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M8,0.10008204914861363
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M12,0.11381669629773385
block_1,intervals_24_decimal6,kappa_4,4.0,unweighted_mean_g,0.10995370370370372
block_1,intervals_24_decimal6,kappa_4,4.0,density_weighted_mean_g,0.11257638307007388
block_1,intervals_24_decimal6,kappa_4,4.0,mirror_even_mean_g,0.10995370370370372
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M2,0.21011936261009662
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M4,0.2183709048795912
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M6,0.21723707597991682
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M8,0.20997316572834082
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M12,0.20149058495996963
block_1,intervals_24_decimal6,kappa_6,6.0,unweighted_mean_g,0.21180555555555558
block_1,intervals_24_decimal6,kappa_6,6.0,density_weighted_mean_g,0.2150810774287111
block_1,intervals_24_decimal6,kappa_6,6.0,mirror_even_mean_g,0.21180555555555558
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M2,0.2080884343920785
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M4,0.21488347711457437
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M6,0.2122510055540524
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M8,0.20947206682460223
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M12,0.2090380999849728
block_1,intervals_24_decimal6,kappa_9,9.0,unweighted_mean_g,0.2071759259259259
block_1,intervals_24_decimal6,kappa_9,9.0,density_weighted_mean_g,0.20877175235294287
block_1,intervals_24_decimal6,kappa_9,9.0,mirror_even_mean_g,0.20717592592592593
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M2,0.15224119923631746
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M4,0.14118427871616693
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M6,0.14202113337968092
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M8,0.1469443236798854
