block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_1,intervals_24_decimal6,kappa_2,2.0,2,0.8448532265443841,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,4,1.1422777262054729,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,6,0.7551487852580432,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,8,-0.17770062959286137,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_2,2.0,12,2.5737706855441886,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,2,0.2143920778718392,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,4,-0.3852485464081534,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,6,-1.21145020743417,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,8,-0.8674060284663155,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_4,4.0,12,-0.737761073977252,12,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,2,0.41775428442387424,2,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,4,1.1360814293136956,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,6,1.896387922238337,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,8,1.301913821733849,8,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_6,6.0,12,-2.2005905647432638,14,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,2,0.9703141433924293,4,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,4,0.545478439452383,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,6,1.303077225451566,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,8,-0.4839428293021504,6,diagnostic_only_not_primary
block_1,intervals_24_decimal6,kappa_9,9.0,12,-3.3585816226167564,10,diagnostic_only_not_primary
