field_id,dTV_orig_reformat,dTV_orig_pad,dTV_reformat_pad,p_orig,p_reformat,p_pad
mrc_replay_f00,0.0,0.625,0.625,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.375, 0.0, 0.625]"
mrc_replay_f01,0.5625,0.8125,0.25,"[1.0, 0.0, 0.0]","[0.4375, 0.0, 0.5625]","[0.1875, 0.0, 0.8125]"
mrc_replay_f02,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f03,0.375,0.125,0.5,"[0.375, 0.0, 0.625]","[0.0, 0.0, 1.0]","[0.5, 0.0, 0.5]"
mrc_replay_f04,0.0,0.1875,0.1875,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.1875, 0.0, 0.8125]"
mrc_replay_f05,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f06,0.0,0.9375,0.9375,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0625, 0.0, 0.9375]"
mrc_replay_f07,0.0,0.25,0.25,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.75, 0.0, 0.25]"
mrc_replay_f08,0.8125,0.25,0.5625,"[0.8125, 0.0, 0.1875]","[0.0, 0.0, 1.0]","[0.5625, 0.0, 0.4375]"
mrc_replay_f09,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
mrc_replay_f10,0.125,0.8125,0.6875,"[1.0, 0.0, 0.0]","[0.875, 0.0, 0.125]","[0.1875, 0.0, 0.8125]"
mrc_replay_f11,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f12,0.0,1.0,1.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]"
mrc_replay_f13,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f14,0.0625,1.0,0.9375,"[1.0, 0.0, 0.0]","[0.9375, 0.0, 0.0625]","[0.0, 0.0, 1.0]"
mrc_replay_f15,0.25,0.1875,0.0625,"[0.3125, 0.0, 0.6875]","[0.0625, 0.0, 0.9375]","[0.125, 0.0, 0.875]"
mrc_replay_f16,0.1875,0.6875,0.875,"[0.6875, 0.0, 0.3125]","[0.875, 0.0, 0.125]","[0.0, 0.0, 1.0]"
mrc_replay_f17,0.8125,0.6875,0.125,"[0.1875, 0.8125, 0.0]","[0.5625, 0.0, 0.4375]","[0.4375, 0.125, 0.4375]"
mrc_replay_f18,0.0625,0.625,0.6875,"[0.9375, 0.0, 0.0625]","[1.0, 0.0, 0.0]","[0.3125, 0.0, 0.6875]"
mrc_replay_f19,0.0,0.875,0.875,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.125, 0.0, 0.875]"
mrc_replay_f20,0.0,0.6875,0.6875,"[0.8125, 0.0, 0.1875]","[0.8125, 0.0, 0.1875]","[0.125, 0.0, 0.875]"
mrc_replay_f21,0.0625,0.9375,0.875,"[0.9375, 0.0, 0.0625]","[0.875, 0.0, 0.125]","[0.0, 0.0, 1.0]"
mrc_replay_f22,0.0625,0.0,0.0625,"[0.0, 0.0, 1.0]","[0.0625, 0.0, 0.9375]","[0.0, 0.0, 1.0]"
mrc_replay_f23,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f24,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f25,1.0,1.0,0.0,"[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f26,0.0,0.125,0.125,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.125, 0.0, 0.875]"
mrc_replay_f27,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f28,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f29,0.0625,0.5625,0.625,"[0.0625, 0.0, 0.9375]","[0.0, 0.0, 1.0]","[0.625, 0.0, 0.375]"
mrc_replay_f30,0.0,0.375,0.375,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.625, 0.0, 0.375]"
mrc_replay_f31,0.0,0.75,0.75,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.25, 0.0, 0.75]"
mrc_replay_f32,0.75,0.5625,0.1875,"[0.9375, 0.0, 0.0625]","[0.1875, 0.0, 0.8125]","[0.375, 0.0, 0.625]"
mrc_replay_f33,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
mrc_replay_f34,0.0,0.125,0.125,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.125, 0.0, 0.875]"
mrc_replay_f35,0.0,0.0625,0.0625,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0625, 0.0, 0.9375]"
mrc_replay_f36,0.0625,0.0,0.0625,"[0.0, 0.0, 1.0]","[0.0625, 0.0, 0.9375]","[0.0, 0.0, 1.0]"
mrc_replay_f37,0.0,0.125,0.125,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.125, 0.0, 0.875]"
mrc_replay_f38,0.375,1.0,0.625,"[1.0, 0.0, 0.0]","[0.625, 0.0, 0.375]","[0.0, 0.0, 1.0]"
mrc_replay_f39,0.0,0.125,0.125,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.875, 0.0, 0.125]"
mrc_replay_f40,0.0,0.9375,0.9375,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0625, 0.0, 0.9375]"
