representation,profile,profile_family,source_family,acquisition_block,run_dir,offset_index,offset_radians,epsilon_level,sparse_realization,offset_group,count_retard,count_stay,count_advance,estimated_eps,unresolved_near_zero,peer_count,bin_sparsity,physical_hash,prompt_hash
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,0,-3.060726315293831,na,na,g0,1,11,0,-0.5,False,8,0.20833333333333334,18035b236e432c8f9730bf4260b8542c8662154bc5a4cb8b10dd9fe87361d8d8,404e6958eaa7638cfbea200017af2fe8aa414cb67782b72959fbef4bb442901f
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,1,-2.92640177655781,na,na,g0,1,10,1,-0.5,False,8,0.25,62d5c18e7c9d3866161e8a28f241c8e4f7d5aba256ddd9cd2bf63784657e3d77,ecc66be55f38c64692821d0452242513c38487a52a85e54a82fcef92c35edba5
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,2,-2.746279632217894,na,na,g0,8,1,3,-0.5,False,8,0.20833333333333334,bba16e105645555e806083c3aba5f9ae8c0c100a13662d6150f1c9eca66a49e3,346b980cdd58ef3ca11198b8acb0799bfdb6f459cfc8663211f819c84cec33dc
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,3,-2.518873672395674,na,na,g0,4,0,8,-0.5,False,8,0.20833333333333334,c15f3cefc918eddd40a73c7acedc5d19d1db9ed0e1420b9d437624e1513b22ea,120d5ad389f14fe0e119999ab28a459e5b3fc982c43df6ff26c4bfd5ab471202
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,4,-2.360717942934366,na,na,g0,8,0,4,-0.5,False,8,0.25,0415850a901e4dff9573807014cbd928a39e48d2cf7a30500b31f9c05dae1422,40d282cab5a112ab3e16f3913147f5e2340ccb6bc87f0607a1c6504c51732ca7
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,5,-2.125472971056087,na,na,g0,1,0,11,-0.375,False,8,0.25,0413ea896f8d3ea262ac3faaddf120832eda25fec711c1754264d122223e071e,5e5ff5e22430e32a6cdd77d0bb556193081a4a50df1bc474d160ea5e69f4cb9e
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,6,-1.955683617054956,na,na,g1,0,0,12,-0.375,False,8,0.20833333333333334,3413575ecf66083ed92f765fe225ae53e7d0497cd1f8e67428a9936b98392537,f3bd71b77de5d8cf2c717b5520b32ab8550b70c7166a75ebfd2fe697e6d13dab
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,7,-1.81130581486731,na,na,g1,0,0,12,-0.25,False,8,0.25,eb03d94678b2bd540bc3cda2e02ea08a39aeda8ecceda72377da54971ba532c3,b748b6153487ee91e8118f00a3cefc0a313c28656840f4db663ddc7aa9281365
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,8,-1.70513797996314,na,na,g1,5,0,7,-0.125,False,8,0.20833333333333334,dc47794427d782d93de20aba53cbfc18b05ac759a8b96a08c6bca629d06f3306,cd9c3708d73002bf4c4f1f88a7f5708788c78257be2ad225c583a28c9dcfe54b
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,9,-1.459132129739855,na,na,g1,2,0,10,0.125,False,8,0.20833333333333334,a864ca818142b81b930610e7ff4c6094cbeb3755793d3b28542b4e76d7531f85,0bd9b7bdd3cde2ebce04b87febac56728e44659ea063ca3b7cadfc31b9d3a682
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,10,-1.326501968991361,na,na,g1,5,0,7,0.25,False,8,0.25,5af1f05410f3dd5a0b8b4313aa97b41da6f74fdd1eccf756d7b45bebb796422d,3900f8a20ca1cabc3a0c5f8c97e2ae4b9fe36c44e1ee6651a9a30b90b6b36301
intervals_24_decimal6,sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,stimulus_manifold,block_1,<PROJECT_ROOT>\runs\stimulus_manifold\stimulus-manifold-v0.1-block1_799847a0e9dc\20260723T130740Z,11,-1.193267876314604,na,na,g1,5,0,7,0.375,False,8,0.20833333333333334,856d4bce65221a8b9f451796de40c8ed71df65b57c638c793426035d64503df6,4446fa10fb27d6e1dff62c72a11b681e0a33206251a8e6a3fe057c2e85accf25
