scope,profile,profile_family,coarse_family,peer_count,d_NN,n_local,V_local,mean_p_stay_local,mean_a0_local,frac_neighbors_high_stay,frac_neighbors_active,diagnosis,model_disagreement,tv_hat_local_peer16_global,tv_hat_local_peer16_activity_direction,tv_hat_local_peer16_hellinger,tv_hat_local_peer16_canonical_emd,tv_hat_local_peer16_canonical_emd_plus_discrete,tv_hat_local_peer16_direct_native_emd,bias_peer16_global,bias_peer16_activity_direction,bias_peer16_hellinger,bias_peer16_canonical_emd,bias_peer16_canonical_emd_plus_discrete,bias_peer16_direct_native_emd
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.47430555555555554,0.34375,0.20833333333333331,0.1875,0.4375,local_noncompressible,0.12180812574664712,0.17150419817686446,0.18856767907285776,0.09217901026854665,0.08778131932212012,0.14783649125982362,0.06039095934550644,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.36041666666666666,0.27083333333333337,0.3541666666666667,0.125,0.6875,local_noncompressible,0.07782755517910023,0.20796253151019783,0.19174751962214442,0.13070064193542566,0.09624560036177239,0.09790039686318801,0.14076206481722658,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.5166666666666667,0.22916666666666666,0.20833333333333331,0.25,0.75,local_noncompressible,0.0703327455820698,0.11421253151019785,0.09564192834496037,0.036839424044378385,0.013779453547416942,0.08792815028756772,0.009684881920565325,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.32083333333333336,0.15625,0.5833333333333333,0.0,0.8125,active_feature_gap,0.10880945510556375,0.29516262763221546,0.197055645477884,0.2657001748420642,0.2806476054840342,0.3168076999153925,0.14754513219140036,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.4340277777777778,0.125,0.010416666666666671,0.0,0.875,local_noncompressible,0.08685559782600663,0.06115842945535099,0.053839759690088675,0.011266659966175457,0.010981739058289454,0.1468050903411245,0.06691952935238984,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.4423611111111111,0.171875,-0.15104166666666669,0.0625,0.875,local_noncompressible,0.07544476069808743,0.09412080182313554,0.23181810013096624,0.22242525502195323,0.1175027664460066,0.17740276066611155,0.11305816327687729,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.3548611111111111,0.6666666666666666,-0.020833333333333332,0.8125,0.1875,local_noncompressible,0.11507239155187643,0.48050823721131564,0.03213577061499641,0.18797824914939937,0.19289003817470282,0.07344888667296061,0.18536501230283714,model_bias_vs_local_stay,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.34791666666666665,0.6875,-0.020833333333333332,0.625,0.1875,supported,0.14111732145740336,0.501341570544649,0.08078938598058671,0.17414493533307385,0.20824475717602986,0.07108851797126048,0.09595071341084026,model_bias_vs_local_stay,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.27291666666666664,0.7760416666666667,-0.078125,0.75,0.0625,supported,0.03027184612594827,0.5898832372113157,0.1386799212215486,0.1472771289487462,0.14589252733921954,0.20040153966310426,0.1308381935116992,model_bias_vs_local_stay,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.32083333333333336,0.734375,-0.15104166666666666,0.75,0.1875,supported,0.054875940054452045,0.548216570544649,0.11318856406826211,0.1557900019015509,0.18866321739748373,0.20770250400354842,0.142829185202193,model_bias_vs_local_stay,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.3958333333333333,0.6927083333333333,-0.02604166666666666,0.75,0.125,local_noncompressible,0.07336795973834143,0.5065499038779823,0.009482303162184486,0.09696738816032284,0.11514878177553114,0.09279327734573922,0.1612660371859686,model_bias_vs_local_stay,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.47986111111111107,0.375,0.17708333333333334,0.25,0.6875,local_noncompressible,0.0783073894375815,0.188841570544649,0.06942157263098703,0.09336426804580127,0.08600301618299669,0.0866702669148421,0.08641555831298245,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.4673611111111111,0.3125,0.16666666666666669,0.3125,0.625,local_noncompressible,0.07881289368366355,0.1350458648435312,0.14567768149271096,0.13035318302692683,0.13456769912444394,0.15609239096960034,0.04556111027443169,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.3722222222222222,0.17708333333333331,-0.07291666666666666,0.0625,0.8125,local_noncompressible,0.07982481220404648,0.05245413515646882,0.008068429083090939,0.05171415930626344,0.05742977225486831,0.17386979997310797,0.03779348593267262,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.4131944444444445,0.07291666666666666,-0.15625,0.0,0.9375,local_noncompressible,0.0576186268533345,0.14620413515646888,0.09151152921884903,0.03662216342726086,0.07083065156247359,0.13437736851514803,0.04787899320920248,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.36388888888888893,0.125,-0.42708333333333337,0.0,0.8125,local_noncompressible,0.07942467680362228,0.2555791351564689,0.10661643860947002,0.15200866504872118,0.13785377559996032,0.21903102304522654,0.08663899907760175,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.3569444444444444,0.0625,-0.3125,0.0625,0.9375,local_noncompressible,0.10740213153513112,0.22953746848980217,0.1475580843737383,0.15120815777614469,0.1716566639275162,0.2734126317139963,0.10878158133498217,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.41111111111111115,0.16145833333333331,-0.296875,0.125,0.8125,local_noncompressible,0.09101799277942349,0.1722458018231355,0.23009431485036883,0.10311826779896623,0.11701098396485485,0.17849865174000684,0.08405354987833892,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.4618055555555555,0.33333333333333337,0.20833333333333331,0.125,0.4375,local_noncompressible,0.12180812574664712,0.1662958648435312,0.19377601240619113,0.09738734360187999,0.08257298598878683,0.14262815792649036,0.05046902850378325,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.36041666666666666,0.27083333333333337,0.3541666666666667,0.125,0.6875,local_noncompressible,0.07782755517910023,0.20796253151019783,0.19174751962214442,0.13070064193542566,0.09624560036177239,0.09790039686318801,0.14076206481722658,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.5263888888888889,0.22395833333333331,0.18229166666666669,0.25,0.75,local_noncompressible,0.0703327455820698,0.09858753151019786,0.08001692834496038,0.03163109071104503,0.010318190278289466,0.07751148362090107,0.016983822620043207,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
peer16_only,sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,sparse_antipodal,16,0.0,16,0.2604166666666667,0.078125,0.578125,0.0,0.9375,active_feature_gap,0.06368745534034434,0.3316209609655488,0.1544831023231009,0.2154456295984725,0.2290917077174343,0.2665236877890067,0.21104985335285875,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed,aligned_or_mixed
