profile_family,peer_count,n_rows,mean_p_minus,mean_p_stay,mean_p_plus,mean_A,mean_a0,mean_C1,mean_C2,mean_bin_sparsity,mean_n_occupied,mean_max_zero_run,mean_focal_mass
al_f00_n17_p16,16,2,0.625,0.375,0.0,0.625,-0.625,0.625,0.375,0.16666666666666666,4.0,19.0,0.9375
al_f01_n17_p16,16,2,0.75,0.25,0.0,0.75,-0.75,0.75,0.25,0.2916666666666667,7.0,17.0,0.75
al_f02_n17_p16,16,2,0.9375,0.0,0.0625,1.0,-0.875,0.875,0.0,0.4583333333333333,11.0,7.0,0.0625
al_f03_n17_p16,16,2,0.5,0.125,0.375,0.875,-0.125,0.25,0.125,0.5416666666666666,13.0,3.0,0.125
al_f04_n17_p16,16,2,0.0,0.5625,0.4375,0.4375,0.4375,0.4375,0.5625,0.16666666666666666,4.0,18.0,0.875
al_f05_n17_p16,16,2,0.25,0.0,0.75,1.0,0.5,0.5,0.0,0.4583333333333333,11.0,5.0,0.25
al_f06_n17_p16,16,2,0.8125,0.0,0.1875,1.0,-0.625,0.625,0.0,0.5,12.0,5.0,0.125
al_f07_n17_p16,16,2,0.625,0.0,0.375,1.0,-0.25,0.25,0.0,0.625,15.0,2.0,0.125
al_f08_n17_p16,16,2,0.25,0.375,0.375,0.625,0.125,0.125,0.375,0.5,12.0,6.0,0.0625
al_f09_n17_p16,16,2,0.3125,0.0,0.6875,1.0,0.375,0.375,0.0,0.4166666666666667,10.0,6.0,0.125
al_f10_n9_p8,8,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2916666666666667,7.0,6.0,0.125
al_f11_n17_p16,16,2,0.5,0.0625,0.4375,0.9375,-0.0625,0.0625,0.0625,0.4166666666666667,10.0,6.0,0.0625
al_f12_n17_p16,16,2,0.3125,0.0,0.6875,1.0,0.375,0.375,0.0,0.4166666666666667,10.0,8.0,0.375
al_f13_n17_p16,16,2,0.625,0.0,0.375,1.0,-0.25,0.25,0.0,0.4166666666666667,10.0,6.0,0.3125
al_f14_n9_p8,8,2,0.4375,0.0,0.5625,1.0,0.125,0.375,0.0,0.2916666666666667,7.0,7.0,0.25
al_f15_n17_p16,16,2,0.8125,0.0,0.1875,1.0,-0.625,0.625,0.0,0.3333333333333333,8.0,7.0,0.0
al_f16_n17_p16,16,2,0.875,0.0,0.125,1.0,-0.75,0.75,0.0,0.4583333333333333,11.0,5.0,0.25
al_f17_n17_p16,16,2,0.3125,0.0625,0.625,0.9375,0.3125,0.3125,0.0625,0.375,9.0,6.0,0.375
al_f18_n17_p16,16,2,0.5,0.0,0.5,1.0,0.0,0.25,0.0,0.4166666666666667,10.0,6.0,0.0625
al_f19_n17_p16,16,2,0.9375,0.0,0.0625,1.0,-0.875,0.875,0.0,0.375,9.0,8.0,0.0625
al_f20_n17_p16,16,2,0.625,0.0625,0.3125,0.9375,-0.3125,0.4375,0.0625,0.4166666666666667,10.0,6.0,0.0625
al_f21_n9_p8,8,2,0.0625,0.0,0.9375,1.0,0.875,0.875,0.0,0.16666666666666666,4.0,10.0,0.375
al_f22_n17_p16,16,2,0.3125,0.0,0.6875,1.0,0.375,0.375,0.0,0.3333333333333333,8.0,8.0,0.0
al_f23_n9_p8,8,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,4.0,18.0,0.125
al_f24_n17_p16,16,2,0.25,0.0625,0.6875,0.9375,0.4375,0.4375,0.0625,0.4583333333333333,11.0,4.0,0.25
al_f25_n17_p16,16,2,0.375,0.0,0.625,1.0,0.25,0.5,0.0,0.375,9.0,6.0,0.3125
al_f26_n17_p16,16,2,0.125,0.3125,0.5625,0.6875,0.4375,0.4375,0.3125,0.5,12.0,3.0,0.0625
al_f27_n17_p16,16,2,0.0625,0.0,0.9375,1.0,0.875,0.875,0.0,0.125,3.0,21.0,0.875
al_f28_n17_p16,16,2,0.3125,0.0,0.6875,1.0,0.375,0.375,0.0,0.125,3.0,21.0,0.9375
al_f29_n17_p16,16,2,0.0625,0.0,0.9375,1.0,0.875,0.875,0.0,0.16666666666666666,4.0,20.0,0.4375
al_f30_n17_p16,16,2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.25,6.0,16.0,0.0625
al_f31_n17_p16,16,2,0.3125,0.0,0.6875,1.0,0.375,0.375,0.0,0.25,6.0,18.0,0.75
antipodal_equal_k6,240,72,0.18865740740740738,0.4456018518518518,0.3657407407407407,0.5543981481481483,0.17708333333333334,0.28587962962962965,0.4456018518518518,1.0,24.0,0.0,0.12505991472446215
antipodal_weps_m020_k6,240,72,0.5405092592592593,0.019675925925925923,0.4398148148148148,0.9803240740740742,-0.10069444444444443,0.4409722222222222,0.019675925925925923,1.0,24.0,0.0,0.12510873988538662
antipodal_weps_m050_k6,240,72,0.568287037037037,0.006944444444444444,0.42476851851851855,0.9930555555555556,-0.1435185185185185,0.4652777777777778,0.006944444444444444,1.0,24.0,0.0,0.1251819776267734
antipodal_weps_m100_k6,240,72,0.537037037037037,0.024305555555555556,0.4386574074074074,0.9756944444444444,-0.09837962962962962,0.4918981481481482,0.024305555555555556,1.0,24.0,0.0,0.12530404052908473
