profile,profile_family,peer_count,nearest_emd,neighbor_mean_stay,neighbor_mean_activity,neighbor_response_mean_tv,frac_neighbors_high_stay,diagnosis
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.24479166666666666,0.7552083333333334,0.5479166666666667,0.25,local_noncompressibility_risk
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.0,1.0,0.21388888888888888,0.0,neighbors_active_feature_gap_risk
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.0,1.0,0.21527777777777776,0.0,neighbors_active_feature_gap_risk
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.09375,0.90625,0.36319444444444443,0.125,neighbors_active_feature_gap_risk
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.0,1.0,0.1965277777777778,0.0,neighbors_active_feature_gap_risk
sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,16,0.0,0.15625,0.84375,0.32083333333333336,0.0,neighbors_active_feature_gap_risk
sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,16,0.0,0.6927083333333333,0.30729166666666663,0.3958333333333333,0.75,local_noncompressibility_risk
sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,16,0.0,0.22395833333333331,0.7760416666666667,0.5263888888888889,0.25,local_noncompressibility_risk
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.015625,0.984375,0.25486111111111115,0.0,neighbors_active_feature_gap_risk
sparse_N8_unimodal_k6,sparse_N8_unimodal_k6,8,0.0,0.28125,0.71875,0.5451388888888888,0.25,local_noncompressibility_risk
sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,16,0.0,0.125,0.875,0.4409722222222222,0.0,neighbors_active_feature_gap_risk
sparse_N16_antipodal_k6,sparse_N16_antipodal_k6,16,0.0,0.046875,0.953125,0.34236111111111106,0.0625,neighbors_active_feature_gap_risk
sparse_peer16_antipodal_8_8_r00_k6,sparse_peer16_antipodal_8_8_rXX_k6,16,0.0,0.3125,0.6875,0.5239583333333333,0.25,local_noncompressibility_risk
sparse_peer16_antipodal_8_8_r01_k6,sparse_peer16_antipodal_8_8_rXX_k6,16,0.0,0.109375,0.890625,0.37569444444444444,0.0625,neighbors_active_feature_gap_risk
sparse_peer16_antipodal_8_8_r02_k6,sparse_peer16_antipodal_8_8_rXX_k6,16,0.0,0.1875,0.8125,0.2805555555555556,0.0,neighbors_active_feature_gap_risk
