representation,profile,profile_family,source_family,acquisition_block,run_dir,offset_index,offset_radians,epsilon_level,sparse_realization,offset_group,count_retard,count_stay,count_advance,estimated_eps,unresolved_near_zero,peer_count,bin_sparsity,physical_hash,prompt_hash
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,0,-3.060726315293831,na,na,g0,9,0,15,-0.42483909901078,False,240,1.0,e32d5d40da2b30dd2fa2b854e2f7adc3e365df855eaa3d175c6a8e8041ebbd63,6fbd92bd4038a3f9f0629e4e708ec7ee8b27ccbd6bf7872f04d127411a0204c1
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,1,-2.92640177655781,na,na,g0,9,0,15,-0.4192603470030778,False,240,1.0,aa4423f1755bc3b1b372468d7f816730913935506d41c78c06e06599c307c148,d6ece9ef59e0286b2b8e125ab182d2e545f23ddb58f53a4cb09ea8872aadf19e
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,2,-2.746279632217894,na,na,g0,9,0,15,-0.40327756096782363,False,240,1.0,a3e00ec9155592d0d728bb406045700315a962eb1a13bdcdcd878448ae91885e,2cfcb464a5ab129ad46f908febb24a47ca7e25036c63d98a27f629ac55307937
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,3,-2.518873672395674,na,na,g0,4,0,20,-0.36723642676760804,False,240,1.0,15d9a3f10c985d85cc2c7ec3976e2819ee676da3a0326a5d2fbbed4f0b063c74,0757e621bfe888474dd111e4049c15c927c055142659e7dcd3ed713a4258f499
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,4,-2.360717942934366,na,na,g0,17,0,7,-0.33016962810288003,False,240,1.0,93bbc582740c3539eabccc3a3da293b930a98541e024d3cd767d0fd4da9e8a63,c13da9d37a4288be475b2dd29ae39d96f53c94bbf606114a7da5805c077ddabd
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,5,-2.125472971056087,na,na,g0,24,0,0,-0.25506390955320984,False,240,1.0,39f3206a5e3ded6d40a5d03045ee4e6e6d956cd796c34161dc5f7e193eb3d4e7,37c0744d09423f8c2162d14b3872c1a13c0dedfc30154ce6cdbd98415e48f67e
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,6,-1.955683617054956,na,na,g1,20,0,4,-0.1864065554740868,False,240,1.0,fbb818cc32cd1e3fb1b2944e915740b02ae0c2afc5617514605dfcf042383407,d4bd4b97017154acc49eec5b7dd4f06b746fd21c2dc2507288ee2484a1b9b519
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,7,-1.81130581486731,na,na,g1,17,0,7,-0.12009858277344748,False,240,1.0,d36789d29780c7a9c309ebc6a303b6927178dc7d3ee0a51ba66687e20459a887,70f77aea03fa602a2d9db68e9ebe887056d4c61736ffb4df293d75794694c69a
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,8,-1.70513797996314,na,na,g1,23,0,1,-0.06801389530005408,False,240,1.0,946330bb4dda7d6f78f355a5020e7faf8048349e80efda3020e0f6bb43e99f58,3861d5cfc1934759fe7a69bcd78daeb74b206e26b03311b06300d3512e8912a1
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,9,-1.459132129739855,na,na,g1,22,0,2,0.05664294586019025,False,240,1.0,78c72de14d5f11657c3dbe66e216507497de9cbb78d0fa661f2dcd0c975ca3fa,56463f9e77fa2991a728cefc269084e19be0551c5cbc8102257ce6a2a77d0faa
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,10,-1.326501968991361,na,na,g1,14,0,10,0.12191166440439616,False,240,1.0,ffdb7585dfb88a0f5f6d3afd891c2668fba4198968c7512713cc2bb8490aebb1,7c20444e564569556d0914bc8c6a32133879994226cc5ee48e3b62310375387d
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,11,-1.193267876314604,na,na,g1,14,0,10,0.18318536837903732,False,240,1.0,694e1ede6347c92abfaa69c0381ed53c3a36ac104519f1152b067665c07a86b9,f4f4864ca163a4eb14dbcb9fca4082a90f7440de7870e80d1a9c742b25f181fa
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,12,-1.01205578829373,na,na,g2,12,0,12,0.25656493942916014,False,240,1.0,6037a3c7f203a07bbb62bf1234dda88ba69971a7826860c58241cfa4a4fef386,dfbbf4e06eddf45d1a2d5b5abeaf89ab83182a6ebac812155cb4dfe2eb9b7f51
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,13,-0.815390451126862,na,na,g2,20,0,4,0.3206640093457127,False,240,1.0,c5abeb06b3deddee9d0bf27c380b7eac93b475668fd08e8637d98733afb27a8f,11dd0ce5dbaeb93884b60888bf750376eb759b2d79846480a245f92c4f19fad4
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,14,-0.582253411155328,na,na,g2,17,0,7,0.37507253346559266,False,240,1.0,7a4340e4dd580f92583b18752a885acd796d1126f33b14c35641c868519653c1,0308dea03676964a9bf0639c575ccea9455544908f102d10952e04438ea2372d
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,15,-0.424110634258503,na,na,g2,19,0,5,0.39974627288989106,False,240,1.0,08af02ef946bf3aa9050bc22110f54f3ff6199691bc7d338fc7ac4953876316f,8c76cf988ec0fb40b4df847787784862c4bc1eb60b8dae57289582f474044cca
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,16,-0.252363301580937,na,na,g2,8,0,16,0.41678780723479725,False,240,1.0,373234f83b31270fef528adee6475aafae80d66f92a0ab012550e22a137694d3,0af3552f573983e149eaae7259887263f2bfd3a2138837b80039d11d4e7403a4
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,17,-0.126277469898986,na,na,g2,10,5,9,0.4235295172030781,False,240,1.0,0a192799335d6eef78f20132c126f6677213d82688ce921fe5f447a930f06a83,d367fc2797d3e4ed249c04d6cc7c4bb2cc4641be81e0d7be2baecdf0fe47254e
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,18,0.126277469898986,na,na,g3,1,7,16,0.42352951720307785,False,240,1.0,7d162692d378e7b45bd1e25d6c60b97579ef30f700d1f1f7870c198bb77a27c4,d0fe6f2853be7b2e6675355dde404eec77374b4c531b2886deb0c88e182864ce
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,19,0.252363301580937,na,na,g3,5,2,17,0.41678780723479725,False,240,1.0,65491e2f62956fe6b6d16b14f3b994dd41d44d322d7dcf6a627b3515d01a510f,7e41481d49892f1934912298177b992c38511782c3fc5bb90b2cc139b91b839b
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,20,0.424110634258503,na,na,g3,17,0,7,0.39974627288989084,False,240,1.0,edd113cc1da793cc56e2c09d2f9a4bb33bbd8e0f7b4204f86515234751aaf4e9,5502bd7f9b0461adcb724a6cdaeaa392508e204e305a140474e4c4187ee04bde
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,21,0.582253411155328,na,na,g3,2,0,22,0.3750725334655929,False,240,1.0,5b747f870168e34f1eb3f49ac9acb884ba67016e79f85f6e1425472679da0bd1,5e904cd94f9128efd312fbbcdddbb35826ecb54d466a65bf7114aa0b62c63f9c
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,22,0.815390451126862,na,na,g3,6,0,18,0.3206640093457127,False,240,1.0,8f416185a5292e2bfe567d72fbf38c0418a076aa35d3a8ac493f296501c82d39,941d6c2eff1c55fd1590adba1e8fcb71666534e04b5854ee399b0d12556ecbd0
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,23,1.01205578829373,na,na,g3,1,0,23,0.2565649394291599,False,240,1.0,eab8faec4b2a1c0485eac99dd36e183911be959f1ba1909734bcf32cc975a688,08dbe67431be3fd5522a752b05b2f0434b473a2f5dfe33bd9c3416ea953a84dd
