representation,coupling,mean_final_r1,mean_final_r2,mean_final_Q2,mean_final_Q2_given_r1,lock_frac,sustained_lock_frac,n
moments_m1_m3,-0.15,0.029686548748200006,0.11020644118941299,0.08051989244121299,0.10921244509569034,0.0,0.0,6
centers_24_standard,-0.15,0.04570594096999867,0.11709033580079435,0.07138439483079569,0.11471145483438223,0.0,0.0,6
intervals_24_decimal6,-0.15,0.12068718906699705,0.11753682525888769,-0.0031503638081093743,0.09965814460741716,0.0,0.0,6
moments_m1_m3,0.0,0.22494314947454083,0.22859509650698454,0.003651947032443708,0.1701645970873805,0.0,0.0,6
centers_24_standard,0.0,0.22494314947454083,0.22859509650698454,0.003651947032443708,0.1701645970873805,0.0,0.0,6
intervals_24_decimal6,0.0,0.22494314947454083,0.22859509650698454,0.003651947032443708,0.1701645970873805,0.0,0.0,6
moments_m1_m3,0.08,0.9986607307981764,0.9946507617486416,-0.0040099690495346745,-0.0026725455464552774,1.0,1.0,6
centers_24_standard,0.08,0.709729201747369,0.6062436888391259,-0.10348551290824319,0.10049369125143727,0.0,0.0,6
intervals_24_decimal6,0.08,0.38210101382936584,0.5103747209482229,0.12827370711885705,0.3275739432107673,0.0,0.0,6
moments_m1_m3,0.15,0.9955204237068797,0.9821623617832381,-0.013358061923641548,-0.008899655059432335,1.0,1.0,6
centers_24_standard,0.15,0.7265308846840103,0.6164023495181986,-0.11012853516581168,0.0798431379493882,0.0,0.0,6
intervals_24_decimal6,0.15,0.5069328271768462,0.7197498423713254,0.2128170151944794,0.37296365164138773,0.0,0.0,6
