coupling,contrast,contrast_role,n_seeds,n_finite_note,delta_final_r1_n_finite,delta_final_r1_mean,delta_final_r1_ci_low,delta_final_r1_ci_high,delta_mean_r1_n_finite,delta_mean_r1_mean,delta_mean_r1_ci_low,delta_mean_r1_ci_high,delta_final_r2_n_finite,delta_final_r2_mean,delta_final_r2_ci_low,delta_final_r2_ci_high,delta_mean_r2_n_finite,delta_mean_r2_mean,delta_mean_r2_ci_low,delta_mean_r2_ci_high,delta_final_r3_n_finite,delta_final_r3_mean,delta_final_r3_ci_low,delta_final_r3_ci_high,delta_mean_r3_n_finite,delta_mean_r3_mean,delta_mean_r3_ci_low,delta_mean_r3_ci_high,delta_final_Q2_n_finite,delta_final_Q2_mean,delta_final_Q2_ci_low,delta_final_Q2_ci_high,delta_mean_Q2_n_finite,delta_mean_Q2_mean,delta_mean_Q2_ci_low,delta_mean_Q2_ci_high,delta_final_Q2_given_r1_n_finite,delta_final_Q2_given_r1_mean,delta_final_Q2_given_r1_ci_low,delta_final_Q2_given_r1_ci_high,delta_mean_Q2_given_r1_n_finite,delta_mean_Q2_given_r1_mean,delta_mean_Q2_given_r1_ci_low,delta_mean_Q2_given_r1_ci_high,delta_mean_activity_n_finite,delta_mean_activity_mean,delta_mean_activity_ci_low,delta_mean_activity_ci_high,delta_mean_tau_social_n_finite,delta_mean_tau_social_mean,delta_mean_tau_social_ci_low,delta_mean_tau_social_ci_high,delta_t_r1_gt_0.5_first_passage_n_finite,delta_t_r1_gt_0.5_first_passage_mean,delta_t_r1_gt_0.5_first_passage_ci_low,delta_t_r1_gt_0.5_first_passage_ci_high,delta_t_r1_gt_0.9_first_passage_n_finite,delta_t_r1_gt_0.9_first_passage_mean,delta_t_r1_gt_0.9_first_passage_ci_low,delta_t_r1_gt_0.9_first_passage_ci_high,delta_t_r1_gt_0.9_sustained_n_finite,delta_t_r1_gt_0.9_sustained_mean,delta_t_r1_gt_0.9_sustained_ci_low,delta_t_r1_gt_0.9_sustained_ci_high,delta_omega_coll_n_finite,delta_omega_coll_mean,delta_omega_coll_ci_low,delta_omega_coll_ci_high,delta_locking_n_finite,delta_locking_mean,delta_locking_ci_low,delta_locking_ci_high,delta_sustained_lock_n_finite,delta_sustained_lock_mean,delta_sustained_lock_ci_low,delta_sustained_lock_ci_high
-0.15,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,0.016019392221798674,0.0004021612096803083,0.02991513348222839,6,0.018138011959018457,0.013916331960898818,0.022173059839596106,6,0.006883894611381368,-0.040121580372917534,0.05185909530897728,6,0.01520421239059379,0.0037545391469218322,0.024208609856980784,6,0.02608222916886969,-0.06827388747803292,0.11968171223273769,6,-0.017457434899708912,-0.03628299088037506,0.0013591335044821767,6,-0.009135497610417306,-0.05666446573016345,0.0369830769378568,6,-0.0029337995684246645,-0.016052918278185786,0.008419409202743809,6,0.005499009738691894,-0.04159843093985162,0.05344678858057677,6,0.013543941074629598,0.0022968063039968123,0.02285036782315828,6,-0.11009803921568624,-0.11588235294117644,-0.10196078431372546,6,0.30205882352941177,0.28725490196078435,0.3205882352941177,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,6,-0.04530882352941177,-0.048090441176470586,-0.04300000000000003,6,0.0,0.0,0.0,6,0.0,0.0,0.0
-0.15,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,0.07498124809699837,0.032130095600653254,0.11154343413642684,6,0.09266550087049515,0.0688487810591586,0.11416489357928139,6,0.00044648945809330765,-0.04517079369929473,0.0525007474362981,6,-0.005334019548069111,-0.021442535480592457,0.010410475986134446,6,0.04923678380336024,-0.05361191466742981,0.16108548042626528,6,0.05006930606180943,0.0232051844484321,0.07972795992559222,6,-0.07453475863890506,-0.14202889213891615,-0.005351867428335912,6,-0.09799952041856426,-0.12053526851943258,-0.07891081813668974,6,-0.015053310226965079,-0.06547767959954354,0.03879441308067623,6,-0.0245718846857526,-0.04021946443958749,-0.010700590682758124,6,-0.02078431372549024,-0.035784313725490256,-0.009705882352941212,6,0.09490196078431372,0.0792156862745098,0.11392156862745097,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,6,-0.014235294117647061,-0.01666250000000001,-0.011882352941176464,6,0.0,0.0,0.0,6,0.0,0.0,0.0
-0.15,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,0.09100064031879705,0.05072748339065434,0.13100696053383296,6,0.11080351282951362,0.08788756342485586,0.13037652525173357,6,0.007330384069474675,-0.033009524332545566,0.041091887442551926,6,0.00987019284252468,-0.0043731141237050184,0.026063734427202886,6,0.07531901297222991,-0.0014874323232001163,0.16514594557265758,6,0.03261187116210051,-0.0005138424020632489,0.06467704344138502,6,-0.08367025624932238,-0.1702291459788128,-0.014213370546001657,6,-0.10093331998698894,-0.12278465492561796,-0.0802833639396248,6,-0.00955430048827319,-0.06064183438201934,0.0333663248013873,6,-0.011027943611123,-0.025672199315771273,0.004121955578479055,6,-0.13088235294117648,-0.1483357843137255,-0.11813725490196081,6,0.39696078431372545,0.37980392156862747,0.4140196078431373,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,6,-0.05954411764705884,-0.06227977941176472,-0.056970588235294155,6,0.0,0.0,0.0,6,0.0,0.0,0.0
0.0,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,-0.04647058823529412,-0.05950980392156865,-0.034509803921568605,6,-0.05647058823529411,-0.10284313725490196,-0.009509803921568624,1,0.0,0.0,0.0,0,nan,nan,nan,0,nan,nan,nan,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0
0.0,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,-0.03862745098039214,-0.04617892156862744,-0.03225490196078431,6,0.08333333333333333,0.06539215686274509,0.09705882352941175,1,0.0,0.0,0.0,0,nan,nan,nan,0,nan,nan,nan,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0
0.0,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,-0.08509803921568626,-0.09941421568627448,-0.07196078431372548,6,0.026862745098039213,-0.01901960784313726,0.08,1,0.0,0.0,0.0,0,nan,nan,nan,0,nan,nan,nan,6,0.0,0.0,0.0,6,0.0,0.0,0.0,6,0.0,0.0,0.0
0.08,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,-0.2889315290508073,-0.3292163189295954,-0.2598504025001506,6,-0.2993636394564933,-0.3570822736314147,-0.2371362116063085,6,-0.38840707290951576,-0.4620483444014621,-0.3257317357928681,6,-0.34800269237049136,-0.40926397613594734,-0.297069516990423,6,-0.4377045434650466,-0.5330530971191895,-0.33708842294448166,6,-0.36092447595332566,-0.4074230605966898,-0.3212831046118038,6,-0.09947554385870849,-0.19513127779704362,-0.0033895617588306504,6,-0.048639052913998095,-0.08958129289570678,-0.00410139903321345,6,0.10316623679789251,-0.0056588394153665,0.212218735009066,6,0.10480327577031139,0.04852321996822656,0.16179887960353817,6,0.009705882352941194,0.004509803921568634,0.01568627450980394,6,0.10676470588235294,0.05937254901960785,0.1505906862745098,6,13.833333333333334,4.0,26.5,0,nan,nan,nan,0,nan,nan,nan,6,0.008541176470588243,0.0046117647058823725,0.012062745098039208,6,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0
0.08,intervals_24_decimal6__minus__centers_24_standard,secondary_intervals_vs_centers,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,-0.3276281879180032,-0.4854965929180597,-0.1701227722383273,6,-0.2699905384781402,-0.31511892687515075,-0.22538527104985615,6,-0.09586896789090293,-0.316402687801127,0.12007291772681646,6,-0.03562151301444708,-0.1423915327384072,0.08209154855158789,6,-0.27018140572699506,-0.3983991557463997,-0.1561924527388884,6,-0.16912948790150525,-0.21298961660466273,-0.1152779689268399,6,0.23175922002710023,-0.11789524896845142,0.5902867196143431,6,0.23436902546369312,0.11226345356094443,0.3873499349171301,6,0.2270802519593301,-0.08328678547639189,0.5374803254548944,6,0.21221417579508084,0.11382034018112659,0.34257237500137294,6,-0.0357843137254902,-0.0523529411764706,-0.01990196078431372,6,0.032843137254901955,-0.03637254901960784,0.10205882352941176,3,38.333333333333336,26.0,46.0,0,nan,nan,nan,0,nan,nan,nan,6,0.0026274509803921576,-0.0027843137254901936,0.00816784313725488,6,0.0,0.0,0.0,6,0.0,0.0,0.0
0.08,intervals_24_decimal6__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,-0.6165597169688105,-0.7673688969094054,-0.4770248768403987,6,-0.5693541779346335,-0.6718571205800098,-0.4739252320642571,6,-0.4842760408004188,-0.6456843770215384,-0.3228677045792991,6,-0.3836242053849386,-0.45001761391708667,-0.3153571666430587,6,-0.7078859491920418,-0.7637796872298878,-0.6519643529013955,6,-0.530053963854831,-0.6046004360783331,-0.4583057969047748,6,0.13228367616839173,-0.13027886872540734,0.4116950947220931,6,0.18572997254969503,0.05052731225362266,0.31212366077604936,6,0.3302464887572227,0.11344959820212258,0.5807527969588593,6,0.31701745156539224,0.19380481227737545,0.44057672705380047,6,-0.026078431372549005,-0.039607843137254885,-0.012352941176470586,6,0.1396078431372549,0.03901960784313726,0.24156862745098037,3,43.0,31.0,50.0,0,nan,nan,nan,0,nan,nan,nan,6,0.011168627450980401,0.003121568627451002,0.019294901960784306,6,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0
0.15,centers_24_standard__minus__moments_m1_m3,primary_vs_moments,6,percentile bootstrap on finite paired deltas only; do not treat singleton uncensored first-passage CIs as primary,6,-0.26898953902286943,-0.3490873439552741,-0.20720484626079877,6,-0.2293630813036233,-0.2587493128922216,-0.19118139345922225,6,-0.36576001226503957,-0.4368089262542809,-0.3024138629507092,6,-0.3534337034978619,-0.39829099154946657,-0.30492781188591744,6,-0.45922650248778435,-0.5121660355580481,-0.3891330245594163,6,-0.3939041588113666,-0.4480065841233571,-0.33890303248961934,6,-0.09677047324217014,-0.1626644021689725,-0.05357951813919837,6,-0.1240706221942386,-0.15129197992459326,-0.0947921456460953,6,0.08874279300882053,0.005149349008720994,0.15423223679367654,6,0.025255971824817636,-0.004218489223377929,0.05509135988368816,6,0.015588235294117661,0.011862745098039251,0.019705882352941167,6,0.22303921568627452,0.18588235294117647,0.26166666666666666,6,5.166666666666667,1.3333333333333333,10.666666666666666,1,64.0,64.0,64.0,0,nan,nan,nan,6,0.0334558823529412,0.02829301470588238,0.03929411764705886,6,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0
