rank,bank_index,priority,occupancy_n,ood_n,disagreement_n,representation,source,init_kind,dynamics,n_agents,peer_count,t,abs_z1,abs_z2,abs_z3,estimated_eps,ood_combined,ood_peer,ood_canonical,near_zero_band
0,14834,2.7156871711139616,0.9874791318864775,0.919499238842082,0.45870880038540207,intervals_24_decimal6,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,12,0.9999999999999999,0.9999999999999999,1.0,0.5,True,False,True,False
1,15351,2.351765958336786,0.9874791318864775,0.6247965084378322,0.38949031801247586,intervals_24_decimal6,C_virtual,asymmetric_two_cluster,soft_polar,17,16,8,0.975707625152759,0.9129147796012361,0.8383883476483185,0.5,True,False,True,False
2,11349,2.392305362126911,0.9874791318864775,0.7243480502430422,0.33047817999739126,intervals_24_decimal6,C_virtual,unimodal_strong,polar_kernel,17,16,4,0.9947954690274029,0.9793771567764744,0.954336993620585,0.5,True,False,True,False
3,48409,2.3135601772462593,0.9874791318864775,0.5155034845050926,0.46057756085468904,centers_24_standard,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,4,0.9741785937893943,0.9061642966652905,0.821272468200814,0.5,True,False,True,False
4,739,2.5547589234953842,1.0,0.7994293421952208,0.4053295813001636,intervals_24_decimal6,C_virtual,unimodal_strong,second_harmonic_kernel,9,8,4,0.9962661664940416,0.9852375637773085,0.9674345499229172,0.5,True,False,True,False
5,36142,2.3631221463836845,1.0,0.6062353930759949,0.40688675330768953,centers_24_standard,C_virtual,unimodal_strong,second_harmonic_kernel,9,8,4,0.9914814565722669,0.9665063509461097,0.926776695296637,0.5,True,False,True,False
6,34473,2.363918740120584,1.0,0.67404794226585,0.3398707978547339,centers_24_standard,C_virtual,unimodal_strong,softmax_stump_boost,9,8,4,0.9794579840661172,0.9218892358681613,0.8391873655867315,0.5,True,False,True,False
7,1631,2.5528846771192204,1.0,0.762701556606101,0.44018312051311914,intervals_24_decimal6,C_virtual,cluster_plus_background,polar_kernel,9,8,12,0.9852375637773084,0.9437293044088437,0.8838834764831843,0.5,True,False,True,False
8,11496,2.316456024782011,0.9874791318864775,0.5544878403700872,0.42448905252544644,intervals_24_decimal6,C_virtual,unimodal_strong,soft_polar,17,16,4,0.9732476743683232,0.9040063509461096,0.8212724682008138,0.5,True,False,True,False
9,36369,2.3340273510974456,1.0,0.6159412328877494,0.3680861182096963,centers_24_standard,C_virtual,asymmetric_two_cluster,second_harmonic_kernel,9,8,4,0.991481456572267,0.9665063509461097,0.926776695296637,0.5,True,False,True,False
10,36115,2.390498221168938,1.0,0.6403788049034089,0.4001194162655287,centers_24_standard,C_virtual,unimodal_strong,polar_kernel,9,8,4,0.9794579840661172,0.9218892358681614,0.8391873655867315,0.5,True,False,True,False
11,15371,2.378061374193013,0.9874791318864775,0.5878920535301505,0.4526901887763846,intervals_24_decimal6,C_virtual,asymmetric_two_cluster,soft_polar,17,16,12,0.9914814565722669,0.9665063509461096,0.926776695296637,0.5,True,False,True,False
12,582,2.5670950414810916,1.0,0.8154086026272869,0.4016864388538047,intervals_24_decimal6,C_virtual,unimodal_moderate,soft_polar,9,8,8,0.9852375637773083,0.9437293044088438,0.8838834764831844,0.5,True,False,True,False
13,11417,2.5313239193997017,0.9874791318864775,0.7336635335809604,0.4601812539322638,intervals_24_decimal6,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,8,0.9962661664940418,0.9852375637773084,0.967434549922917,0.5,True,False,True,False
14,45417,2.635865933563502,0.9874791318864775,0.8492362857052025,0.449150515971822,centers_24_standard,C_virtual,asymmetric_two_cluster,polar_kernel,17,16,12,0.9826884429565143,0.9395810236483068,0.8943983587192575,0.5,True,False,True,False
15,44966,2.6235067482926175,0.9874791318864775,0.8579156525947234,0.42811196381141675,centers_24_standard,C_virtual,unimodal_strong,polar_kernel,17,16,8,0.9980014693216891,0.9921188698971453,0.9826884429565144,0.5,True,False,True,False
16,14744,2.3612689463662986,0.9874791318864775,0.5888527947822473,0.4349370196975736,intervals_24_decimal6,C_virtual,unimodal_strong,polar_kernel,17,16,4,0.9757076251527591,0.912914779601236,0.8383883476483185,0.5,True,False,True,False
17,15370,2.4166223145282877,0.9874791318864775,0.6333625466377469,0.4457806360040633,intervals_24_decimal6,C_virtual,asymmetric_two_cluster,soft_polar,17,16,12,0.9884623952393139,0.9551463841818023,0.9038855554730233,0.5,True,False,True,False
18,35682,2.55371677057599,1.0,0.8317078826174259,0.3720088879585639,centers_24_standard,C_virtual,unimodal_weak,polar_kernel,9,8,12,0.9962661664940419,0.9852375637773084,0.9674345499229171,0.5,True,False,True,False
19,48358,2.442268230659023,0.9874791318864775,0.6859863904096545,0.4188027083628908,centers_24_standard,C_virtual,unimodal_strong,polar_kernel,17,16,4,0.9812568823310748,0.9296519663502697,0.8578333360649134,0.5,True,False,True,False
20,14820,2.637603348562576,0.9874791318864775,0.8371554789845952,0.4629687376915034,intervals_24_decimal6,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,8,0.9921188698971453,0.9702609185162515,0.9395810236483068,0.5,True,False,True,False
21,34192,2.3476686833813134,1.0,0.5794151849623371,0.4182534984189764,centers_24_standard,C_virtual,unimodal_moderate,soft_polar,9,8,12,0.991481456572267,0.9665063509461097,0.9267766952966369,0.5,True,False,True,False
22,34539,2.327653451718809,1.0,0.64771655729568,0.329936894423129,centers_24_standard,C_virtual,asymmetric_two_cluster,polar_kernel,9,8,4,0.9914814565722672,0.9665063509461097,0.926776695296637,0.5,True,False,True,False
23,45000,2.38058777756258,0.9874791318864775,0.6422811232434092,0.40082752243269304,centers_24_standard,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,4,0.9884623952393139,0.9551463841818024,0.9038855554730236,0.5,True,False,True,False
24,11812,2.3690836782718034,0.9874791318864775,0.6947741267581025,0.33683041962722315,intervals_24_decimal6,C_virtual,asymmetric_two_cluster,polar_kernel,17,16,12,0.9804276428494646,0.9291993382174323,0.8668927456521127,0.5,True,False,True,False
25,2980,2.4023254982952995,1.0,0.6404992191621782,0.41182627913312103,intervals_24_decimal6,C_virtual,antipodal_two_cluster,polar_kernel,9,8,12,0.9794579840661171,0.9218892358681613,0.8391873655867311,0.5,True,False,True,False
26,11394,2.4670989595033603,0.9874791318864775,0.7103906877214873,0.41922913989539545,intervals_24_decimal6,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,4,0.9878617207128705,0.9535406302883901,0.9030537442082377,0.5,True,False,True,False
27,45025,2.5159297948728785,0.9874791318864775,0.7631429236074098,0.4153077393789913,centers_24_standard,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,8,0.9962661664940418,0.9852375637773083,0.9674345499229172,0.5,True,False,True,False
28,48413,2.587548755668949,0.9874791318864775,0.8336853510913498,0.41638427269112166,centers_24_standard,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,8,0.9921188698971453,0.9702609185162515,0.9395810236483068,0.5,True,False,True,False
29,44951,2.35359654217341,0.9874791318864775,0.6172959761463471,0.39882143414058563,centers_24_standard,C_virtual,unimodal_strong,polar_kernel,17,16,4,0.9853891796811305,0.9444612987382666,0.8853606423512719,0.5,True,False,True,False
30,45410,2.3621403339137728,0.9874791318864775,0.6333902204831541,0.39127098154414086,centers_24_standard,C_virtual,asymmetric_two_cluster,polar_kernel,17,16,12,0.9753148975484991,0.912914779601236,0.8430347095300869,0.5,True,False,True,False
31,14759,2.42273511219466,0.9874791318864775,0.7095720805527048,0.3756838997554776,intervals_24_decimal6,C_virtual,unimodal_strong,polar_kernel,17,16,4,0.9878617207128704,0.95354063028839,0.903053744208238,0.5,True,False,True,False
32,48798,2.394122939091702,0.9874791318864775,0.623832763088675,0.43281104411654936,centers_24_standard,C_virtual,asymmetric_two_cluster,polar_kernel,17,16,8,0.9920091507942849,0.9685250520348787,0.9309820314833983,0.5,True,False,True,False
33,11399,2.372501824240861,0.9874791318864775,0.5949499881153407,0.44007270423904293,intervals_24_decimal6,C_virtual,unimodal_strong,second_harmonic_kernel,17,16,4,0.985352985562355,0.9439070231126789,0.8827723435182463,0.5,True,False,True,False
34,48968,2.636558858396768,0.9874791318864775,0.8709433627282056,0.4281363637820846,centers_24_standard,C_virtual,asymmetric_two_cluster,soft_polar,17,16,12,0.9980014693216891,0.9921188698971454,0.9826884429565143,0.5,True,False,True,False
