rank,bank_index,priority,predicted_risk,disagreement,occupancy_n,d_shape,g_peer,representation,source,init_kind,dynamics,n_agents,peer_count,t,abs_z1,abs_z2,abs_z3,estimated_eps
0,31867,2.686886615194837,0.4914511445274745,0.4062407475623788,1.0,9.255331943493452,0,moments_m1_m3,C_virtual,unimodal_strong,softmax_stump_boost,17,16,8,0.9535479871473704,0.8621422090830706,0.8210334153497018,0.5
1,31863,2.6521204551247877,0.49330752787582255,0.41113562653772145,1.0,6.188555149537974,0,moments_m1_m3,C_virtual,unimodal_strong,softmax_stump_boost,17,16,4,0.9210158238098937,0.7824893517593507,0.7225162474027111,0.5
2,32516,2.5981483211111756,0.6341891301733826,0.5956096903827641,0.42028985507246375,4.399695576024505,0,moments_m1_m3,C_virtual,antipodal_two_cluster,negative_odd_kernel,17,16,8,0.04894732208251928,0.4983898185191921,0.34645482469173233,0.0
3,32941,2.538403892676573,0.6165494305501064,0.5622095056072608,0.4605475040257649,3.44338603914416,0,moments_m1_m3,C_virtual,three_cluster,negative_odd_kernel,17,16,8,0.042287259936048954,0.33459545324963647,0.20002578629781634,0.0
4,31864,2.4767143424915394,0.44790169154439413,0.3529181358943337,1.0,6.2354825496235895,0,moments_m1_m3,C_virtual,unimodal_strong,softmax_stump_boost,17,16,4,0.9215550099482283,0.7808395919018446,0.7141662055297745,0.5
5,31872,2.4356855647491176,0.4297651217236177,0.330061608435787,1.0,8.148031910828614,0,moments_m1_m3,C_virtual,unimodal_strong,softmax_stump_boost,17,16,8,0.949294900260749,0.8507396421248025,0.8066339746878977,0.5
6,29482,2.4326969298357257,0.6015426781997408,0.532583490583541,0.4605475040257649,1.3831482868759961,0,moments_m1_m3,C_virtual,three_cluster,second_harmonic_kernel,17,16,4,0.06121811484318292,0.5995874916504796,0.06341324202216114,0.0
7,31861,2.4231483365059816,0.434187959800737,0.33473928272691555,1.0,6.2739143982685235,0,moments_m1_m3,C_virtual,unimodal_strong,softmax_stump_boost,17,16,4,0.9208042122492669,0.7897644455690778,0.7481656331808987,0.5
8,29480,2.3957250876082683,0.59210756084541,0.5202503961017341,0.4605475040257649,1.383148286876,0,moments_m1_m3,C_virtual,three_cluster,second_harmonic_kernel,17,16,4,0.061218114843183,0.5995874916504799,0.06341324202216131,0.0
9,31858,2.3600613743285037,0.41607427848706696,0.3166923728371909,1.0,6.199755409649676,0,moments_m1_m3,C_virtual,unimodal_strong,softmax_stump_boost,17,16,4,0.9207654793811442,0.7854693221367508,0.7338954577764841,0.5
10,29477,2.353010625397821,0.5800998357476318,0.5043693482967472,0.4605475040257649,1.6921990359961128,0,moments_m1_m3,C_virtual,three_cluster,second_harmonic_kernel,17,16,4,0.06407796952459154,0.6315442314481626,0.09567085809127265,0.0
11,29257,2.347508397980588,0.5913174336056166,0.5131146471640456,0.42028985507246375,1.709716977616631,0,moments_m1_m3,C_virtual,antipodal_two_cluster,hurdle_multinomial,17,16,4,0.06872412125216665,0.49992484635791884,0.019814083472638733,0.0
12,32875,2.333111419590274,0.5662979392896231,0.49549874403686417,0.4605475040257649,2.993810211305235,0,moments_m1_m3,C_virtual,three_cluster,second_harmonic_kernel,17,16,4,0.0374340678034307,0.8169839961016557,0.26516504294495524,0.0
13,28709,2.329794514130761,0.6564143775657074,0.6253034015668542,0.06763285024154589,4.145355030610416,0,moments_m1_m3,C_virtual,asymmetric_two_cluster,negative_odd_kernel,17,16,12,0.038087774873016816,0.4183479766878312,0.29476315099425127,0.0
14,32884,2.3191026514004824,0.56596578217943,0.4942710130176196,0.4605475040257649,2.2310392363435656,0,moments_m1_m3,C_virtual,three_cluster,second_harmonic_kernel,17,16,4,0.03942589144121535,0.8733529015745158,0.18927877996215045,0.0
15,32528,2.3174915629822714,0.5730110581185317,0.5054150532214238,0.42028985507246375,2.760877148749273,0,moments_m1_m3,C_virtual,antipodal_two_cluster,negative_odd_kernel,17,16,8,0.05381316064059994,0.5509679441429012,0.23096988312782152,0.0
16,32871,2.302183440158045,0.562164288279323,0.5019044812123225,0.4605475040257649,0.7521105900042228,0,moments_m1_m3,C_virtual,three_cluster,second_harmonic_kernel,17,16,4,0.09072350142858893,0.8080127018922193,0.11548494156391081,-0.0625
17,19649,2.2937378742453687,0.5153869231218359,0.4288088582442808,0.4975845410628019,11.217116761603002,0,moments_m1_m3,C_virtual,asymmetric_two_cluster,kernel_nn,9,8,4,0.9437733728715172,0.8138671655802207,0.7188431223573041,0.5
18,32796,2.408020851999939,0.5927109284884508,0.5199689213557739,0.4605475040257649,2.1595733690584797,0,moments_m1_m3,B_k0_drift,three_cluster,k0,17,16,10,0.06321171308813935,0.49417173641544593,0.08838834764831835,0.0
19,29415,2.406273153508679,0.5849109768849361,0.5100761978038693,0.4605475040257649,4.048952153990116,0,moments_m1_m3,B_k0_drift,three_cluster,k0,17,16,12,0.04107721416282826,0.16932478455521602,0.11548494156391087,0.0
20,32751,2.403455100676172,0.5840810764758803,0.5171379423805389,0.4605475040257649,3.209086110397237,0,moments_m1_m3,A_init,three_cluster,none,17,16,0,0.043779210309103755,0.33740504184655057,0.17018158457371318,0.0
21,32335,2.3872822106090856,0.6023263602028424,0.5293598319875573,0.42028985507246375,1.2874943249551696,0,moments_m1_m3,A_init,antipodal_two_cluster,none,17,16,0,0.070099859501154,0.6156593296163992,0.019814083472638352,0.0
22,20189,2.3657475584873273,0.649517164680506,0.5944144985211689,0.09500805152979067,8.852434124460379,0,moments_m1_m3,B_k0_drift,cluster_plus_background,k0,9,8,5,0.04360418960825872,0.3213179683590973,0.23096988312782157,0.0
23,28974,2.3611964654787094,0.5941544894244619,0.5237014042569574,0.42028985507246375,1.1476159379017434,0,moments_m1_m3,B_k0_drift,antipodal_two_cluster,k0,17,16,10,0.04211841287702252,0.48166501928456,0.019814083472638105,0.0
24,17938,2.3361334860318217,0.6472297008729168,0.5836924725908904,0.1111111111111111,7.226047955020572,0,moments_m1_m3,B_k0_drift,antipodal_two_cluster,k0,9,8,5,0.03674418365517768,0.6191715531768819,0.16570678701779548,0.0
25,32334,2.32692624460631,0.5835414555672032,0.5096333274460567,0.42028985507246375,1.6564093869576586,0,moments_m1_m3,A_init,antipodal_two_cluster,none,17,16,0,0.03687174676934283,0.4840452995391948,0.07049152039657591,0.0
26,28969,2.319800525485183,0.5816759125443824,0.5096884806805261,0.42028985507246375,1.4027667935486814,0,moments_m1_m3,B_k0_drift,antipodal_two_cluster,k0,17,16,10,0.04008263427018061,0.5395189571014694,0.07049152039657595,0.0
