representation,n_agents,peer_count,matched_training,regime,q_ood_combined_t0,q_ood_combined_mean,q_ood_combined_final,q_ood_canonical_mean,q_ood_native_mean,q_ood_peer_count_mean,q_ood_near_zero_mean,training_peer_counts
intervals_24_decimal6,9,8,sparse_N8 / peer=8,t0_only,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"8,16,240"
intervals_24_decimal6,9,8,sparse_N8 / peer=8,k0_drift,1.0,0.9888888888888889,1.0,0.9833333333333334,0.9555555555555557,0.0,0.0,"8,16,240"
intervals_24_decimal6,9,8,sparse_N8 / peer=8,closed_loop,1.0,1.0,1.0,0.9444444444444444,1.0,0.0,0.0,"8,16,240"
intervals_24_decimal6,16,15,unmeasured (N-1=15),t0_only,1.0,1.0,1.0,0.3125,1.0,1.0,0.0,"8,16,240"
intervals_24_decimal6,16,15,unmeasured (N-1=15),k0_drift,1.0,1.0,1.0,0.19375,0.98125,1.0,0.0,"8,16,240"
intervals_24_decimal6,16,15,unmeasured (N-1=15),closed_loop,1.0,1.0,1.0,0.55625,0.9625,1.0,0.0,"8,16,240"
intervals_24_decimal6,17,16,sparse_peer16 / peer=16,t0_only,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"8,16,240"
intervals_24_decimal6,17,16,sparse_peer16 / peer=16,k0_drift,1.0,1.0,1.0,0.4676470588235294,0.9911764705882353,0.0,0.0,"8,16,240"
intervals_24_decimal6,17,16,sparse_peer16 / peer=16,closed_loop,1.0,0.973529411764706,1.0,0.5352941176470589,0.973529411764706,0.0,0.0,"8,16,240"
moments_m1_m3,9,8,sparse_N8 / peer=8,t0_only,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,"8,16,240"
moments_m1_m3,9,8,sparse_N8 / peer=8,k0_drift,1.0,0.9833333333333334,1.0,0.9833333333333334,0.07777777777777779,0.0,0.0,"8,16,240"
moments_m1_m3,9,8,sparse_N8 / peer=8,closed_loop,1.0,0.95,1.0,0.9444444444444444,0.5777777777777777,0.0,0.0,"8,16,240"
moments_m1_m3,16,15,unmeasured (N-1=15),t0_only,1.0,1.0,1.0,0.3125,0.0,1.0,0.0,"8,16,240"
moments_m1_m3,16,15,unmeasured (N-1=15),k0_drift,1.0,1.0,1.0,0.19375,0.0,1.0,0.0,"8,16,240"
moments_m1_m3,16,15,unmeasured (N-1=15),closed_loop,1.0,1.0,1.0,0.55625,0.153125,1.0,0.0,"8,16,240"
moments_m1_m3,17,16,sparse_peer16 / peer=16,t0_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,16,240"
moments_m1_m3,17,16,sparse_peer16 / peer=16,k0_drift,0.0,0.4676470588235294,0.9411764705882353,0.4676470588235294,0.0,0.0,0.0,"8,16,240"
moments_m1_m3,17,16,sparse_peer16 / peer=16,closed_loop,0.0,0.5647058823529412,0.6470588235294118,0.5352941176470589,0.047058823529411764,0.0,0.0,"8,16,240"
centers_24_standard,9,8,sparse_N8 / peer=8,t0_only,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"8,16,240"
centers_24_standard,9,8,sparse_N8 / peer=8,k0_drift,1.0,0.9888888888888889,1.0,0.9833333333333334,0.9555555555555557,0.0,0.0,"8,16,240"
centers_24_standard,9,8,sparse_N8 / peer=8,closed_loop,1.0,1.0,1.0,0.9444444444444444,1.0,0.0,0.0,"8,16,240"
centers_24_standard,16,15,unmeasured (N-1=15),t0_only,1.0,1.0,1.0,0.3125,1.0,1.0,0.0,"8,16,240"
centers_24_standard,16,15,unmeasured (N-1=15),k0_drift,1.0,1.0,1.0,0.19375,0.98125,1.0,0.0,"8,16,240"
centers_24_standard,16,15,unmeasured (N-1=15),closed_loop,1.0,1.0,1.0,0.55625,0.9625,1.0,0.0,"8,16,240"
centers_24_standard,17,16,sparse_peer16 / peer=16,t0_only,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"8,16,240"
centers_24_standard,17,16,sparse_peer16 / peer=16,k0_drift,1.0,1.0,1.0,0.4676470588235294,0.9911764705882353,0.0,0.0,"8,16,240"
centers_24_standard,17,16,sparse_peer16 / peer=16,closed_loop,1.0,0.973529411764706,1.0,0.5352941176470589,0.973529411764706,0.0,0.0,"8,16,240"
