n_agents,coupling,delta_p90,delta_mean_r1,delta_mean_t05,delta_mean_t09,delta_activity,delta_tau,v1_p90,v2_p90,v1_mean_r1,v2_mean_r1,v1_activity,v2_activity,v1_t05,v2_t05,v1_t09,v2_t09,v1_tau,v2_tau
9,-0.15,0.0,0.017439302114171967,0.0,nan,0.1727777777777778,-0.11203703703703705,0.0,0.0,0.13270492609108803,0.15014422820526,0.7875000000000001,0.9602777777777779,0.0,0.0,nan,nan,-0.1799074074074074,-0.29194444444444445
9,0.0,0.0,0.0,0.0,nan,0.13944444444444437,-0.10981481481481482,0.0,0.0,0.3051250630462113,0.3051250630462113,0.8430555555555556,0.9824999999999999,40.0,40.0,nan,nan,-0.09287037037037037,-0.2026851851851852
9,0.06,-0.08333333333333331,-0.010075218595687274,-0.18181818181818343,-13.733333333333341,0.08851851851851833,-0.006111111111111122,0.3333333333333333,0.25,0.8155774842157424,0.8055022656200551,0.8987962962962964,0.9873148148148148,19.545454545454547,19.363636363636363,64.4,50.666666666666664,-0.0002777777777777761,-0.006388888888888898
9,0.08,0.0,0.008379598488688078,0.25,0.1666666666666714,0.07018518518518524,0.03703703703703704,0.5,0.5,0.880131762792654,0.8885113612813421,0.9184259259259259,0.9886111111111111,17.083333333333332,17.333333333333332,48.666666666666664,48.833333333333336,-0.028981481481481483,0.00805555555555556
9,0.1,0.08333333333333337,0.0006839234644997472,3.333333333333332,0.8472222222222214,0.06379629629629635,0.03287037037037037,0.6666666666666666,0.75,0.9168098646023127,0.9174937880668125,0.924537037037037,0.9883333333333334,11.333333333333334,14.666666666666666,36.375,37.22222222222222,0.037129629629629624,0.06999999999999999
9,0.15,0.0,-0.008818903346259788,0.5833333333333339,12.999999999999996,0.07888888888888912,0.0387037037037037,0.75,0.75,0.9448111454447402,0.9359922420984804,0.9093518518518517,0.9882407407407409,9.5,10.083333333333334,19.88888888888889,32.888888888888886,-0.025648148148148146,0.013055555555555556
17,-0.15,0.0,-0.01756416716596146,nan,nan,0.061813725490195925,-0.008578431372548989,0.0,0.0,0.09183583678837416,0.0742716696224127,0.8700980392156863,0.9319117647058822,nan,nan,nan,nan,-0.09980392156862745,-0.10838235294117644
17,0.0,0.0,0.0,nan,nan,0.0762745098039217,-0.017352941176470592,0.0,0.0,0.27918815939864744,0.27918815939864744,0.8854901960784313,0.961764705882353,nan,nan,nan,nan,-0.060490196078431376,-0.07784313725490197
17,0.08,0.0,0.00913001918634504,-2.833333333333332,-3.3999999999999986,0.09730392156862722,0.018676470588235294,0.4166666666666667,0.4166666666666667,0.8850210138109494,0.8941510329972945,0.873529411764706,0.9708333333333332,27.25,24.416666666666668,66.8,63.4,-0.0026470588235294142,0.01602941176470588
17,0.1,0.16666666666666663,0.0347646961296153,0.08333333333333215,10.208333333333336,0.09274509803921571,0.04049019607843137,0.5,0.6666666666666666,0.9181808601647496,0.952945556294365,0.87,0.9627450980392157,18.0,18.083333333333332,34.666666666666664,44.875,0.002254901960784314,0.04274509803921569
17,0.12,-0.25,-0.018593551598077962,-1.083333333333334,-8.833333333333332,0.11578431372549036,0.05598039215686275,0.5,0.25,0.9237416476566654,0.9051480960585875,0.8660784313725488,0.9818627450980392,13.75,12.666666666666666,40.166666666666664,31.333333333333332,-0.01754901960784314,0.038431372549019606
17,0.15,-0.08333333333333326,-0.00709540742514303,-0.5833333333333339,-6.109090909090909,0.10534313725490196,0.06544117647058824,0.9166666666666666,0.8333333333333334,0.9807621479355974,0.9736667405104543,0.8705392156862746,0.9758823529411765,13.583333333333334,13.0,42.90909090909091,36.8,-0.01583333333333333,0.04960784313725491
