bundle,n_agents,coupling,seed_index,final_r,mean_r,t_r1_gt_0.5,t_r1_gt_0.9,mean_activity,mean_tau_social
v1,9,-0.15,0,0.0967703043891845,0.191057691545253,nan,nan,0.7633333333333333,-0.12777777777777777
v1,9,-0.15,1,0.12444503197447906,0.16194191053786916,nan,nan,0.8133333333333332,-0.21777777777777774
v1,9,-0.15,2,0.0845943621519075,0.09666683866786473,nan,nan,0.7666666666666666,-0.1288888888888889
v1,9,-0.15,3,0.07418704944566493,0.19019192016733977,nan,nan,0.8044444444444443,-0.1511111111111111
v1,9,-0.15,4,0.12111102488895989,0.1494124298358729,0.0,nan,0.7766666666666668,-0.15
v1,9,-0.15,5,0.18671706484520695,0.1749672111146072,nan,nan,0.808888888888889,-0.2
v1,9,-0.15,6,0.21000825851334104,0.1751683864456535,nan,nan,0.7911111111111111,-0.18666666666666665
v1,9,-0.15,7,0.17119195751332392,0.12627910161256714,nan,nan,0.7933333333333331,-0.15777777777777777
v1,9,-0.15,8,0.122575674121307,0.1235201473935712,nan,nan,0.7655555555555555,-0.19888888888888887
v1,9,-0.15,9,0.18055008702512804,0.15788780981702144,nan,nan,0.7966666666666667,-0.19666666666666666
v1,9,-0.15,10,0.1878217830298328,0.1353107583409976,nan,nan,0.7711111111111112,-0.22
v1,9,-0.15,11,0.03248651519472065,0.18190458056909822,0.0,nan,0.7988888888888889,-0.22333333333333327
v1,9,0.0,0,0.3309242386040626,0.35979775112717605,nan,nan,0.8777777777777779,-0.09555555555555557
v1,9,0.0,1,0.15206591804374137,0.19859889206313128,0.0,nan,0.791111111111111,-0.09555555555555556
v1,9,0.0,2,0.1830383842295744,0.2550119819374342,nan,nan,0.8244444444444443,-0.14444444444444443
v1,9,0.0,3,0.045993844612318376,0.4659600954712771,20.0,nan,0.8733333333333334,-0.09555555555555556
v1,9,0.0,4,0.4249715775642195,0.3970929055139272,17.0,nan,0.8544444444444443,-0.06555555555555556
v1,9,0.0,5,0.36422880820045356,0.37072926441592224,nan,nan,0.8333333333333331,-0.06
v1,9,0.0,6,0.3335897594402685,0.3815885777291131,30.0,nan,0.8655555555555559,-0.09
v1,9,0.0,7,0.10363824034795115,0.2480807326271207,nan,nan,0.8077777777777778,-0.1966666666666666
v1,9,0.0,8,0.43533892359809134,0.44635652059071723,55.0,nan,0.891111111111111,-0.06000000000000001
v1,9,0.0,9,0.48769875720964123,0.3853723887442411,63.0,nan,0.8722222222222222,-0.06555555555555555
v1,9,0.0,10,0.23999145717028392,0.2559591249412463,nan,nan,0.8111111111111111,-0.011111111111111112
v1,9,0.0,11,0.5600208475339293,0.278319568703055,95.0,nan,0.8144444444444443,-0.13444444444444445
v1,9,0.02,0,0.41675266793200927,0.3679701117648991,21.0,nan,0.841111111111111,-0.045555555555555564
v1,9,0.02,1,0.5912477854115046,0.3307946658557293,75.0,nan,0.8488888888888888,-0.06444444444444444
v1,9,0.02,2,0.3634389059004194,0.47612029155961655,18.0,nan,0.8922222222222222,0.05222222222222221
v1,9,0.02,3,0.1524708963804346,0.20960200702126092,nan,nan,0.811111111111111,-0.13333333333333333
v1,9,0.02,4,0.3776440160000133,0.45253127873350363,0.0,nan,0.8866666666666666,0.024444444444444446
v1,9,0.02,5,0.32099878551064714,0.5672611696391808,12.0,nan,0.9055555555555556,-0.06333333333333332
v1,9,0.02,6,0.32701120532015704,0.24350838637183447,nan,nan,0.811111111111111,-0.10222222222222221
v1,9,0.02,7,0.14147671903962783,0.11521419260687239,nan,nan,0.751111111111111,-0.19111111111111115
v1,9,0.02,8,0.18095802505845074,0.35026430326243974,38.0,nan,0.8666666666666667,-0.14444444444444446
v1,9,0.02,9,0.2862022056678394,0.44586541830332344,4.0,nan,0.8755555555555555,-0.024444444444444446
v1,9,0.02,10,0.48030447759400857,0.2789527522203592,nan,nan,0.8033333333333332,-0.04555555555555555
v1,9,0.02,11,0.22715438423579865,0.30440605069959975,nan,nan,0.8177777777777777,-0.16444444444444442
v1,9,0.04,0,0.8610953913862986,0.7576011352763576,10.0,64.0,0.93,0.03444444444444444
v1,9,0.04,1,0.45399478749678396,0.3688765685896462,nan,nan,0.8599999999999999,0.03111111111111111
v1,9,0.04,2,0.9717898144370348,0.5104507231395021,59.0,83.0,0.87,-0.10777777777777776
v1,9,0.04,3,0.6547513520906182,0.6702605950388708,11.0,nan,0.95,-0.003333333333333335
v1,9,0.04,4,0.20390820914452212,0.3313923281904123,nan,nan,0.8444444444444446,0.008888888888888885
v1,9,0.04,5,0.7068652485469468,0.6341793501495196,24.0,nan,0.9066666666666668,-0.1
v1,9,0.04,6,0.6162864237659699,0.4951769613956783,39.0,nan,0.9166666666666665,-0.01888888888888889
v1,9,0.04,7,0.45469401592819836,0.6638704151983258,9.0,nan,0.9088888888888889,0.14
v1,9,0.04,8,0.48556143763109755,0.39697566169404797,0.0,nan,0.8911111111111113,-0.08888888888888889
v1,9,0.04,9,0.5642680290951916,0.5186745151694828,51.0,nan,0.9088888888888889,-0.017777777777777785
v1,9,0.04,10,0.657911478787317,0.6053136946497993,30.0,nan,0.9222222222222223,-0.14
v1,9,0.04,11,0.8842505068745374,0.43329877120039945,71.0,nan,0.8533333333333333,-0.15333333333333335
v1,9,0.06,0,0.9720426518613918,0.6076430348889945,40.0,56.0,0.8522222222222223,-0.08555555555555557
v1,9,0.06,1,0.6840911182907069,0.5572682462199535,29.0,nan,0.91,0.03888888888888888
v1,9,0.06,2,0.9894219054682774,0.7390296245295128,14.0,84.0,0.93,0.036666666666666674
v1,9,0.06,3,0.8172225245622882,0.48307730900202367,52.0,nan,0.8677777777777778,-0.05222222222222221
v1,9,0.06,4,0.7827616871006273,0.7835865405507932,4.0,nan,0.92,-0.06888888888888889
v1,9,0.06,5,0.9842419176442514,0.5901524598942418,35.0,86.0,0.9088888888888889,0.06666666666666667
v1,9,0.06,6,0.7623579070221298,0.6098971131095481,19.0,nan,0.9322222222222223,-0.018888888888888882
v1,9,0.06,7,0.7671873502360149,0.7362367537287828,4.0,nan,0.9333333333333332,-0.0022222222222222227
v1,9,0.06,8,0.9656644818342363,0.8958225359342513,5.0,25.0,0.9133333333333331,0.04000000000000001
v1,9,0.06,9,0.7752162521323425,0.7587596982397743,13.0,71.0,0.9144444444444446,0.13
v1,9,0.06,10,0.40599095262291995,0.1439639830708524,nan,nan,0.7666666666666666,-0.14666666666666667
v1,9,0.06,11,0.8807310618137233,0.7771966325617364,0.0,nan,0.9366666666666668,0.05888888888888889
v1,9,0.08,0,0.6635074701800582,0.4426264147512612,53.0,nan,0.86,-0.18222222222222229
v1,9,0.08,1,0.999158681965702,0.7888695338405934,14.0,54.0,0.9277777777777777,0.10555555555555557
v1,9,0.08,2,0.9887104764018573,0.826986029006046,4.0,64.0,0.9266666666666667,-0.022222222222222213
v1,9,0.08,3,0.9955799493288633,0.938650549577261,1.0,17.0,0.9344444444444444,-0.021111111111111115
v1,9,0.08,4,0.9986727327098898,0.8494958086808915,5.0,53.0,0.9188888888888889,0.021111111111111115
v1,9,0.08,5,0.997271206128605,0.874057258301117,8.0,32.0,0.91,-0.03888888888888889
v1,9,0.08,6,0.7914173843339485,0.5958289094277962,39.0,nan,0.9,-0.04666666666666667
v1,9,0.08,7,0.7836697048254261,0.6474133406714395,24.0,nan,0.93,-0.054444444444444434
v1,9,0.08,8,0.7622889450302152,0.7311185332203121,7.0,nan,0.9366666666666665,-0.12999999999999998
v1,9,0.08,9,0.776228196072505,0.6267790996780714,6.0,nan,0.9466666666666668,-0.004444444444444439
v1,9,0.08,10,0.9961833820804856,0.7076347250249511,18.0,72.0,0.92,-0.10888888888888887
v1,9,0.08,11,0.8088930244542933,0.6303537442240902,26.0,nan,0.91,0.13444444444444442
v1,9,0.1,0,0.7756449025335904,0.637458599393301,12.0,nan,0.9255555555555557,0.21444444444444444
v1,9,0.1,1,0.7873298295651978,0.7049643437997899,9.0,nan,0.9522222222222223,0.09444444444444444
v1,9,0.1,2,0.9231143496812584,0.637050637978083,13.0,95.0,0.9377777777777778,-0.008888888888888889
v1,9,0.1,3,0.7781786906837302,0.6977106436086984,14.0,nan,0.93,-0.02333333333333333
v1,9,0.1,4,0.9893173827813014,0.7855023790001341,19.0,46.0,0.9155555555555556,0.04444444444444444
v1,9,0.1,5,0.989193209732112,0.918015917966281,0.0,29.0,0.9344444444444444,0.058888888888888886
v1,9,0.1,6,0.9975723773244558,0.8659966001453929,5.0,28.0,0.9166666666666665,0.08777777777777779
v1,9,0.1,7,0.9928692085058366,0.7565829502165762,24.0,44.0,0.89,-0.04333333333333335
v1,9,0.1,8,0.9971808230856656,0.8712501804353819,11.0,31.0,0.9099999999999997,-0.01222222222222222
v1,9,0.1,9,0.7826415817048795,0.538685102073672,29.0,nan,0.931111111111111,0.0711111111111111
v1,9,0.1,10,0.9951688024259716,0.9547562785438046,0.0,12.0,0.9211111111111111,-0.01
v1,9,0.1,11,0.9935072172037536,0.9782683627773884,0.0,6.0,0.93,-0.02777777777777778
v1,9,0.12,0,0.9870240492879083,0.6776784262563385,26.0,81.0,0.8933333333333333,-0.02444444444444445
v1,9,0.12,1,0.9769836868522584,0.9778539126582902,0.0,5.0,0.9366666666666665,-0.09444444444444443
v1,9,0.12,2,0.995310660529635,0.8938954749482976,1.0,34.0,0.9188888888888889,-0.10555555555555558
v1,9,0.12,3,0.7877405158985489,0.6184797902533067,26.0,nan,0.9144444444444446,-0.038888888888888896
v1,9,0.12,4,0.9964972045018785,0.9074891200745592,8.0,20.0,0.9144444444444444,-0.025555555555555554
v1,9,0.12,5,0.9955105481890965,0.8334145518419597,14.0,39.0,0.9133333333333334,-0.08888888888888889
