bundle,n_agents,coupling,p_final_r1_gt_0.9,mean_final_r1,median_final_r1,mean_t_r1_gt_0.5,mean_t_r1_gt_0.9,mean_activity,mean_tau_social,n_seeds
v1,9,-0.15,0.0,0.13270492609108803,0.12351035304789304,0.0,nan,0.7875000000000001,-0.1799074074074074,12
v1,9,0.0,0.0,0.3051250630462113,0.33225699902216554,40.0,nan,0.8430555555555556,-0.09287037037037037,12
v1,9,0.02,0.0,0.3221383395042426,0.32400499541540206,24.0,nan,0.8425925925925926,-0.07518518518518519,12
v1,9,0.04,0.08333333333333333,0.6262813912653763,0.635518887928294,30.4,73.5,0.8968518518518519,-0.03462962962962963,12
v1,9,0.06,0.3333333333333333,0.8155774842157424,0.7999921058314577,19.545454545454547,64.4,0.8987962962962964,-0.0002777777777777761,12
v1,9,0.08,0.5,0.880131762792654,0.8988017504280753,17.083333333333332,48.666666666666664,0.9184259259259259,-0.028981481481481483,12
v1,9,0.1,0.6666666666666666,0.9168098646023127,0.9892552962567067,11.333333333333334,36.375,0.924537037037037,0.037129629629629624,12
v1,9,0.12,0.9166666666666666,0.9753375618555699,0.9954106043593658,10.666666666666666,40.72727272727273,0.920925925925926,-0.03481481481481482,12
v1,9,0.14,0.8333333333333334,0.9578550877634231,0.9930045391999336,6.166666666666667,17.5,0.9186111111111112,-0.05564814814814815,12
v1,9,0.15,0.75,0.9448111454447402,0.989173375523331,9.5,19.88888888888889,0.9093518518518517,-0.025648148148148146,12
v1,9,0.16,0.75,0.9448425297465844,0.985336658636939,8.666666666666666,22.0,0.9183333333333334,-0.037592592592592594,12
v1,9,0.18,0.9166666666666666,0.9828544911163872,0.9909282568696955,8.083333333333334,24.363636363636363,0.9180555555555556,-0.036388888888888894,12
v1,9,0.2,0.9166666666666666,0.9722982398880294,0.9926141397374812,6.583333333333333,23.0,0.9157407407407407,-0.03425925925925925,12
v1,9,0.22,1.0,0.9808540602871076,0.9872849823648393,7.0,31.0,0.9196296296296297,-0.01833333333333333,12
v1,9,0.24,1.0,0.9840557724983873,0.9853683829125339,4.583333333333333,13.083333333333334,0.9157407407407407,-0.017407407407407406,12
v1,9,0.26,1.0,0.9846452530207447,0.9863330229315657,5.916666666666667,22.083333333333332,0.9163888888888887,-0.011203703703703704,12
v1,9,0.28,1.0,0.9791199086012651,0.9822796750949523,4.833333333333333,13.25,0.9207407407407406,0.0020370370370370356,12
v1,9,0.3,1.0,0.9761847734550054,0.9795851297445284,2.9166666666666665,17.333333333333332,0.9190740740740738,-0.002592592592592593,12
v1,17,-0.15,0.0,0.09183583678837416,0.08547307459660516,nan,nan,0.8700980392156863,-0.09980392156862745,12
v1,17,0.0,0.0,0.27918815939864744,0.27947737848070653,nan,nan,0.8854901960784313,-0.060490196078431376,12
v1,17,0.02,0.0,0.3094971473164481,0.2709743014849172,45.0,nan,0.8922058823529412,-0.02524509803921568,12
v1,17,0.04,0.0,0.5342627872844251,0.5700815632277728,63.5,nan,0.8965686274509804,0.004901960784313729,12
v1,17,0.06,0.25,0.822064841630473,0.8723101567816434,32.166666666666664,67.75,0.8798039215686272,0.030686274509803917,12
v1,17,0.08,0.4166666666666667,0.8850210138109494,0.8885504568553392,27.25,66.8,0.873529411764706,-0.0026470588235294142,12
v1,17,0.1,0.5,0.9181808601647496,0.9320772202617194,18.0,34.666666666666664,0.87,0.002254901960784314,12
v1,17,0.12,0.5,0.9237416476566654,0.9339483375974257,13.75,40.166666666666664,0.8660784313725488,-0.01754901960784314,12
