bundle,n_agents,coupling,final_r1_p50,p_final_r1_gt_0.9
v1,9,-0.15,0.12351035304789304,0.0
v1,9,0.0,0.33225699902216554,0.0
v1,9,0.02,0.32400499541540206,0.0
v1,9,0.04,0.635518887928294,0.08333333333333333
v1,9,0.06,0.7999921058314577,0.3333333333333333
v1,9,0.08,0.8988017504280753,0.5
v1,9,0.1,0.9892552962567067,0.6666666666666666
v1,9,0.12,0.9954106043593658,0.9166666666666666
v1,9,0.14,0.9930045391999336,0.8333333333333334
v1,9,0.16,0.985336658636939,0.75
v1,9,0.18,0.9909282568696955,0.9166666666666666
v1,9,0.2,0.9926141397374812,0.9166666666666666
v1,9,0.22,0.9872849823648393,1.0
v1,9,0.24,0.9853683829125339,1.0
v1,9,0.26,0.9863330229315657,1.0
v1,9,0.28,0.9822796750949523,1.0
v1,9,0.3,0.9795851297445284,1.0
v1,17,-0.15,0.08547307459660516,0.0
v1,17,0.0,0.27947737848070653,0.0
v1,17,0.02,0.2709743014849172,0.0
v1,17,0.04,0.5700815632277728,0.0
v1,17,0.06,0.8723101567816434,0.25
v1,17,0.08,0.8885504568553392,0.4166666666666667
v1,17,0.1,0.9320772202617194,0.5
v1,17,0.12,0.9339483375974257,0.5
v1,17,0.14,0.9927859095850184,1.0
v1,17,0.16,0.9877562526213293,0.8333333333333334
v1,17,0.18,0.9870825839438129,1.0
v1,17,0.2,0.9857608515239291,0.75
v1,17,0.22,0.9837325727926718,1.0
v1,17,0.24,0.9813595738653489,0.8333333333333334
v1,17,0.26,0.9827756139554886,1.0
v1,17,0.28,0.9789036717281483,1.0
v1,17,0.3,0.9806563092012176,1.0
v2,9,-0.15,0.1596619495829211,0.0
v2,9,0.0,0.33225699902216554,0.0
v2,9,0.02,0.3022116432033126,0.0
v2,9,0.04,0.5815926745650897,0.16666666666666666
v2,9,0.06,0.8039105694210162,0.25
v2,9,0.08,0.8947045090337273,0.5
v2,9,0.1,0.9944612184231088,0.75
v2,9,0.12,0.9939651052679325,0.9166666666666666
v2,9,0.14,0.994771737628676,0.75
v2,9,0.16,0.992934059276,0.9166666666666666
v2,9,0.18,0.9935651844070541,0.9166666666666666
v2,9,0.2,0.9922028393012601,1.0
v2,9,0.22,0.98821325058173,1.0
v2,9,0.24,0.9855518029782009,0.9166666666666666
v2,9,0.26,0.9856954111961639,1.0
v2,9,0.28,0.9773849122022459,1.0
v2,9,0.3,0.9787256536140998,1.0
v2,17,-0.15,0.07240128183519656,0.0
v2,17,0.0,0.27947737848070653,0.0
v2,17,0.02,0.2707742689896656,0.0
v2,17,0.04,0.6538948825262523,0.0
v2,17,0.06,0.8760044008037118,0.4166666666666667
v2,17,0.08,0.8836243359335647,0.4166666666666667
v2,17,0.1,0.9949727898858236,0.6666666666666666
v2,17,0.12,0.8801801146212413,0.25
v2,17,0.14,0.9923614643035459,0.75
v2,17,0.16,0.9899349203417724,0.75
v2,17,0.18,0.9909421468924229,1.0
v2,17,0.2,0.9895555367243785,0.8333333333333334
v2,17,0.22,0.9854188392402885,0.9166666666666666
v2,17,0.24,0.9828544013139573,0.9166666666666666
v2,17,0.26,0.9835935722646028,1.0
v2,17,0.28,0.9773636049732912,1.0
v2,17,0.3,0.9813592074766213,1.0
