representation,model,holdout_g_rmse,holdout_activity_rmse,holdout_mean_tv,holdout_mean_js,holdout_log_loss,holdout_brier,moments_stay_exact_balance,moments_stay_small_imbalance,moments_stay_gap,cv_g_rmse,cv_activity_rmse,cv_mean_tv,cv_mean_js,cv_log_loss,cv_brier
intervals_24_decimal6,global_empirical,0.5496537141637764,0.25887286236541956,0.3433504749397007,0.12191532075455326,0.9342260111570145,0.2515823410509154,0.09053736064498707,0.09053736064498707,0.0,0.5560446615055571,0.2572639328466697,0.34454384984741715,0.12268581906446449,0.933221371434494,0.2538942345952756
intervals_24_decimal6,kernel_nn,0.42433860446733596,0.19407621867451558,0.26457442171556733,0.08672128378541535,0.7699969344339606,0.14652999360314067,0.27595951253385986,0.20929897680663412,0.06666053572722574,0.43206685779097387,0.19213319283209584,0.2668128174792614,0.08726259532836447,0.7697194319453027,0.14874915645631942
intervals_24_decimal6,multinomial_logistic_l2,0.5058896979627864,0.24553853556154767,0.3256367784048211,0.11393498023774869,0.8755151415529117,0.2183959519210037,0.1605357273173097,0.15008514924299665,0.010450578074313044,0.5121904242859001,0.24412562965895795,0.3280576132346077,0.11464241151626339,0.8746571965547314,0.220588343980393
intervals_24_decimal6,hurdle_multinomial,0.5129611088253464,0.24841478367569442,0.33869615181408724,0.11995875071749054,0.8934477864239486,0.22412940670662754,0.1914729164198604,0.18120780932302896,0.010265107096831427,0.5194696893561872,0.24715550829828314,0.3406156250690754,0.12068178454105513,0.8929077681692918,0.22657670647515832
moments_m1_m3,global_empirical,0.7736312916414576,0.4207014729572017,0.5778645682194171,0.2654816273416922,1.0294531511254332,0.5647372817259537,0.16853759209967986,0.16853759209967986,0.0,0.7722127165669974,0.42028071083205953,0.5769103732971486,0.26453574575669336,1.0296494680072317,0.5631113253989127
moments_m1_m3,kernel_nn,0.4414574774822936,0.28420196915945267,0.3184255781087102,0.12835556183609734,0.49160404395641333,0.21859849112368063,0.6124393438081833,0.4036393948154995,0.20879994899268384,0.4379680400183238,0.2830078412853845,0.316847677775133,0.1272618490784872,0.4911214074588033,0.21605638638124303
moments_m1_m3,multinomial_logistic_l2,0.641921669858155,0.36750578956579427,0.48645562180823054,0.21035530379104195,0.7470455009599226,0.4086224731633079,0.323996333651095,0.2843606890446315,0.03963564460646346,0.6404505639964303,0.3668684223713613,0.4854140042823721,0.20941656449001456,0.7473356866593379,0.4069788128931892
moments_m1_m3,hurdle_multinomial,0.6703833807806673,0.3735207114659384,0.510271893923511,0.22204842497423058,0.7995001618984131,0.43398352145448976,0.32660968264717344,0.2943204573390186,0.03228922530815481,0.6689139848323447,0.37287830742576994,0.5090537845444557,0.22108718790591697,0.7996754764606914,0.4322820063618563
centers_24_standard,global_empirical,0.6413064923848169,0.28436270063972524,0.3995575868948453,0.1566372898221326,0.9440913800859275,0.3269302268601356,0.10519615785210046,0.10519615785210046,0.0,0.6421117725853125,0.28286650757774706,0.40046841302302183,0.15698452992449785,0.9426233916411807,0.3261776380387923
centers_24_standard,kernel_nn,0.45580018695024616,0.22294423124307897,0.2935556020735307,0.10478403137176957,0.7206892353606625,0.1784331005787909,0.2980692705364684,0.23239944286012218,0.06566982767634624,0.45809015562883665,0.22220527449136618,0.2951310469814582,0.10546854411784137,0.7209475691321398,0.17898951242359679
centers_24_standard,multinomial_logistic_l2,0.6093892359419882,0.26926297181196646,0.38749483259819306,0.14805912161545903,0.8880302763763628,0.29443144242449787,0.18548613728073626,0.16998556523219552,0.015500572048540745,0.6097956638632549,0.2677930879468242,0.3881291250762081,0.14831990218024727,0.886822837312956,0.2934984061910503
centers_24_standard,hurdle_multinomial,0.615182953178282,0.2723037336012223,0.39876591868645467,0.15378202775259203,0.903820866156071,0.3004490179403244,0.2127961309409885,0.19865260064826185,0.014143530292726664,0.6159801740284898,0.27099645319415483,0.39953612751163825,0.15410849745881547,0.9029549168532918,0.299877285117438
