representation,profile,profile_family,source_family,acquisition_block,run_dir,offset_index,offset_radians,epsilon_level,sparse_realization,offset_group,count_retard,count_stay,count_advance,estimated_eps,unresolved_near_zero
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,0,-3.060726315293831,na,na,g0,9,0,15,-0.42483909901078,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,1,-2.92640177655781,na,na,g0,9,0,15,-0.4192603470030778,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,2,-2.746279632217894,na,na,g0,9,0,15,-0.40327756096782363,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,3,-2.518873672395674,na,na,g0,4,0,20,-0.36723642676760804,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,4,-2.360717942934366,na,na,g0,17,0,7,-0.33016962810288003,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,5,-2.125472971056087,na,na,g0,24,0,0,-0.25506390955320984,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,6,-1.955683617054956,na,na,g1,20,0,4,-0.1864065554740868,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,7,-1.81130581486731,na,na,g1,17,0,7,-0.12009858277344748,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,8,-1.70513797996314,na,na,g1,23,0,1,-0.06801389530005408,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,9,-1.459132129739855,na,na,g1,22,0,2,0.05664294586019025,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,10,-1.326501968991361,na,na,g1,14,0,10,0.12191166440439616,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,11,-1.193267876314604,na,na,g1,14,0,10,0.18318536837903732,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,12,-1.01205578829373,na,na,g2,12,0,12,0.25656493942916014,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,13,-0.815390451126862,na,na,g2,20,0,4,0.3206640093457127,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,14,-0.582253411155328,na,na,g2,17,0,7,0.37507253346559266,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,15,-0.424110634258503,na,na,g2,19,0,5,0.39974627288989106,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,16,-0.252363301580937,na,na,g2,8,0,16,0.41678780723479725,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,17,-0.126277469898986,na,na,g2,10,5,9,0.4235295172030781,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,18,0.126277469898986,na,na,g3,1,7,16,0.42352951720307785,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,19,0.252363301580937,na,na,g3,5,2,17,0.41678780723479725,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,20,0.424110634258503,na,na,g3,17,0,7,0.39974627288989084,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,21,0.582253411155328,na,na,g3,2,0,22,0.3750725334655929,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,22,0.815390451126862,na,na,g3,6,0,18,0.3206640093457127,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,23,1.01205578829373,na,na,g3,1,0,23,0.2565649394291599,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,24,1.193267876314604,na,na,g4,0,0,24,0.1831853683790371,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,25,1.326501968991361,na,na,g4,1,0,23,0.12191166440439583,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,26,1.459132129739855,na,na,g4,0,0,24,0.05664294586019003,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,27,1.70513797996314,na,na,g4,0,0,24,-0.0680138953000543,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,28,1.81130581486731,na,na,g4,1,0,23,-0.12009858277344765,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,29,1.955683617054956,na,na,g4,3,0,21,-0.18640655547408697,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,30,2.125472971056087,na,na,g5,0,0,24,-0.25506390955320996,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,31,2.360717942934366,na,na,g5,3,0,21,-0.3301696281028802,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,32,2.518873672395674,na,na,g5,12,0,12,-0.36723642676760815,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,33,2.746279632217894,na,na,g5,12,0,12,-0.4032775609678237,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,34,2.92640177655781,na,na,g5,14,0,10,-0.41926034700307785,False
intervals_24_decimal6,kappa_2,kappa_2,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,35,3.060726315293831,na,na,g5,13,1,10,-0.42483909901078,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,0,-3.060726315293831,na,na,g0,22,0,2,-0.4923970394261312,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,1,-2.92640177655781,na,na,g0,1,0,23,-0.4901049621453646,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,2,-2.746279632217894,na,na,g0,7,3,14,-0.4825785465000188,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,3,-2.518873672395674,na,na,g0,16,0,8,-0.4607002756253143,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,4,-2.360717942934366,na,na,g0,17,0,7,-0.43177043816185057,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,5,-2.125472971056087,na,na,g0,22,0,2,-0.356303767681432,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,6,-1.955683617054956,na,na,g1,14,0,10,-0.2717003825795776,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,7,-1.81130581486731,na,na,g1,18,0,6,-0.17989256424468192,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,8,-1.70513797996314,na,na,g1,14,0,10,-0.10319109547302546,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,9,-1.459132129739855,na,na,g1,10,0,14,0.08609714645149846,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,10,-1.326501968991361,na,na,g1,14,0,10,0.18250260561086973,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,11,-1.193267876314604,na,na,g1,13,0,11,0.2674392107507173,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,12,-1.01205578829373,na,na,g2,19,0,5,0.3580040838719749,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,13,-0.815390451126862,na,na,g2,10,0,14,0.423395929918976,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,14,-0.582253411155328,na,na,g2,11,0,13,0.4660078761255715,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,15,-0.424110634258503,na,na,g2,11,0,13,0.48072889978417677,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,16,-0.252363301580937,na,na,g2,1,0,23,0.4890328398141893,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,17,-0.126277469898986,na,na,g2,18,1,5,0.491874903144104,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,18,0.126277469898986,na,na,g3,5,7,12,0.4918749031441042,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,19,0.252363301580937,na,na,g3,15,0,9,0.48903283981418944,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,20,0.424110634258503,na,na,g3,14,0,10,0.48072889978417677,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,21,0.582253411155328,na,na,g3,11,0,13,0.4660078761255716,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,22,0.815390451126862,na,na,g3,10,0,14,0.423395929918976,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,23,1.01205578829373,na,na,g3,0,0,24,0.3580040838719747,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,24,1.193267876314604,na,na,g4,5,0,19,0.2674392107507171,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,25,1.326501968991361,na,na,g4,9,0,15,0.18250260561086962,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,26,1.459132129739855,na,na,g4,0,0,24,0.08609714645149835,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,27,1.70513797996314,na,na,g4,3,0,21,-0.1031910954730258,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,28,1.81130581486731,na,na,g4,11,0,13,-0.17989256424468203,False
intervals_24_decimal6,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,29,1.955683617054956,na,na,g4,8,0,16,-0.27170038257957785,False
