representation,distance,mean_ood,mean_tv,mean_nll,n,bin_left,bin_right
intervals_24_decimal6,d_canonical,0.31917363693078815,0.310478772823284,1.0025810648173241,166.0,0.24458129634964068,0.39852103939090655
intervals_24_decimal6,d_canonical,0.48911005388028156,0.29687148687996423,0.8739561759045426,167.0,0.39951376111555026,0.5708279121173476
intervals_24_decimal6,d_canonical,0.6555086609458192,0.28712845723161323,0.8666150254229102,166.0,0.5708279121173476,0.7832304551846413
intervals_24_decimal6,d_canonical,0.8917074900715087,0.2960042550643766,0.883311184086925,167.0,0.7854694119595205,0.9763807891328768
intervals_24_decimal6,d_canonical,1.0517918364228653,0.3021239628530191,0.8759397848214635,166.0,0.9772063705103567,1.1269762813389912
intervals_24_decimal6,d_canonical,1.2780553464730546,0.2740505159452259,0.7895423331422687,167.0,1.1269762813389912,1.449923048977236
intervals_24_decimal6,d_canonical,1.6044684677667111,0.18661057653494212,0.6361314906111543,166.0,1.449923048977236,1.7866816187487786
intervals_24_decimal6,d_canonical,2.1554725091744786,0.16349527503032066,0.6320303326451058,167.0,1.7942709800279453,2.7430288187676197
intervals_24_decimal6,d_native,0.3313951491487208,0.30736165340733523,0.9984302740697721,166.0,0.19174324463203118,0.47569601740964224
intervals_24_decimal6,d_native,0.7837363745760452,0.2555144270145712,0.8208887186991219,167.0,0.4762788552661541,1.2253453471804814
intervals_24_decimal6,d_native,1.6699176452670297,0.20791019064061042,0.6900021719642332,166.0,1.254293998582231,1.9167358816074689
intervals_24_decimal6,d_native,2.1274667387868176,0.2215721334459291,0.7708869472273365,167.0,1.917227038698482,2.2906991569194073
intervals_24_decimal6,d_native,2.427593095850059,0.23382381751762044,0.7620617496675614,166.0,2.29070627674715,2.497371042601245
intervals_24_decimal6,d_native,2.6728696229456497,0.2947372215354135,0.841960837748668,167.0,2.49793553648289,2.8615577656994406
intervals_24_decimal6,d_native,2.982106895094074,0.3027591119419553,0.8338589636764245,166.0,2.8616041004225568,3.200773457209728
intervals_24_decimal6,d_native,3.4972537468956255,0.2928782379016141,0.8414374038099852,167.0,3.2017054526719697,4.91821300801685
intervals_24_decimal6,d_combined,0.1659886031478673,0.3066491946024903,0.976160097364765,166.0,0.10368962758290172,0.250999862558373
intervals_24_decimal6,d_combined,0.40838432273158615,0.2612493265526322,0.8309588532002136,167.0,0.25099986255837303,0.5757700022367429
intervals_24_decimal6,d_combined,0.6255716555122232,0.22771446023317893,0.7627595284262068,166.0,0.5761483901683767,0.6870783915416563
intervals_24_decimal6,d_combined,0.7065888891589965,0.26762712665295807,0.8057848277271414,167.0,0.6872432069987136,0.7284790875054827
intervals_24_decimal6,d_combined,0.7837501764264071,0.27011053147153585,0.8265805927508502,166.0,0.7285423550836061,0.8095976224885875
intervals_24_decimal6,d_combined,0.8458638926741077,0.269251227517782,0.7767787991993219,167.0,0.8097732823818529,0.8982362527994302
intervals_24_decimal6,d_combined,0.9348653226795045,0.26656425243054577,0.8018861114488954,166.0,0.8985152592712672,1.0
intervals_24_decimal6,d_combined,1.0499665690810795,0.2475055461908137,0.7791154613601557,167.0,1.0,1.385682265370203
intervals_24_decimal6,d_peer,0.0,0.16660235296781756,0.6478372031580133,166.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.19873566925788277,0.7480068697863131,167.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.24984788401224117,0.8161447191784953,166.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.2722431027555831,0.8851058019386654,167.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.3010051576966772,0.9019401243631632,166.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.3188788757280672,0.9111205337133003,167.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.32392940537303744,0.8659112493713366,166.0,0.0,0.0
intervals_24_decimal6,d_peer,0.0,0.2852516511619001,0.7831460751543725,167.0,0.0,0.0
moments_m1_m3,d_canonical,0.31917363693078815,0.4947248170165076,0.8845229894874166,166.0,0.24458129634964068,0.39852103939090655
moments_m1_m3,d_canonical,0.48911005388028156,0.3329214343970105,0.5303570449846028,167.0,0.39951376111555026,0.5708279121173476
moments_m1_m3,d_canonical,0.6555086609458192,0.3062178703355018,0.5008597648614862,166.0,0.5708279121173476,0.7832304551846413
moments_m1_m3,d_canonical,0.8917074900715087,0.45861057216556445,0.7968793278072163,167.0,0.7854694119595205,0.9763807891328768
moments_m1_m3,d_canonical,1.0517918364228653,0.39505290824679473,0.6733202915884899,166.0,0.9772063705103567,1.1269762813389912
moments_m1_m3,d_canonical,1.2780553464730546,0.2835640248228833,0.4929656319502382,167.0,1.1269762813389912,1.449923048977236
moments_m1_m3,d_canonical,1.6044684677667111,0.14756797024752924,0.354162763692085,166.0,1.449923048977236,1.7866816187487786
moments_m1_m3,d_canonical,2.1554725091744786,0.12916335849664157,0.28850865705059003,167.0,1.7942709800279453,2.7430288187676197
