field_id,role,constructible,peer_count,peer_ok,cross_encoding_identity,physical_hash,source,init_kind,dynamics,occupancy_n,predicted_risk,disagreement,abs_z1,abs_z2,match_score_vs_bank,pathology_flag,duplicate_key,nearest_training_note,review_status
al_f00_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,82a83b7dc0a63835,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.4914511445274745,0.4062407475623788,0.9699237264458844,0.8894581031288433,0.04369163334428672,ok,"('unimodal_strong', 16, 19, 17, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f01_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,477761836e2542fc,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.49330752787582255,0.41113562653772145,0.9386806707087391,0.7815095295736152,0.018644669084580956,ok,"('unimodal_strong', 16, 18, 15, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f02_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,0fce7aa924d1dd5a,C_virtual,antipodal_two_cluster,negative_odd_kernel,0.42028985507246375,0.6341891301733826,0.5956096903827641,0.036522183700047985,0.5132801369039336,0.027315456767212767,ok,"('antipodal_two_cluster', 16, 0, 9, 'C_virtual', 'negative_odd_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f03_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,7900327ca0552095,C_virtual,three_cluster,negative_odd_kernel,0.4605475040257649,0.6165494305501064,0.5622095056072608,0.04323114972147723,0.31944994016193146,0.016089402873133284,ok,"('three_cluster', 16, 0, 6, 'C_virtual', 'negative_odd_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f04_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,0ade13422af671c4,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.4297651217236177,0.330061608435787,0.9666834212384885,0.8775374786407499,0.044186357493686934,ok,"('unimodal_strong', 16, 18, 17, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f05_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,cfb6e94c699996b0,C_virtual,three_cluster,second_harmonic_kernel,0.4605475040257649,0.6015426781997408,0.532583490583541,0.11970906557350551,0.5875434390820687,0.0705350032987335,ok,"('three_cluster', 16, 1, 11, 'C_virtual', 'second_harmonic_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f06_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,f98c3f83bf92e298,B_k0_drift,three_cluster,k0,0.4605475040257649,0.5927109284884508,0.5199689213557739,0.05439149580532147,0.46680684614173246,0.03618510755653135,ok,"('three_cluster', 16, 1, 9, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f07_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,fa659cf8db206b5b,B_k0_drift,three_cluster,k0,0.4605475040257649,0.5849109768849361,0.5100761978038693,0.11548494156391087,0.17075317547305485,0.07583611831892145,ok,"('three_cluster', 16, 0, 3, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f08_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,8684db1d39cf6044,A_init,three_cluster,none,0.4605475040257649,0.5840810764758803,0.5171379423805389,0.11175791414249062,0.33615590708518533,0.0692278385947521,ok,"('three_cluster', 16, 0, 6, 'A_init', 'none')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f09_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,6c1a0d7d0737dc56,A_init,antipodal_two_cluster,none,0.42028985507246375,0.6023263602028424,0.5293598319875573,0.1157933547489864,0.6084219207184929,0.05293090414573877,ok,"('antipodal_two_cluster', 16, 1, 12, 'A_init', 'none')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f10_n9_p8,active_learning,yes_fixed_histogram,8,True,yes_shared_physical_hash,893cbe149e3c9986,B_k0_drift,cluster_plus_background,k0,0.09500805152979067,0.649517164680506,0.5944144985211689,0.12393194416739887,0.3386495691104323,0.09765935531047515,ok,"('cluster_plus_background', 8, 0, 6, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f11_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,01844539f71457f4,B_k0_drift,antipodal_two_cluster,k0,0.42028985507246375,0.5941544894244619,0.5237014042569574,0.0603885978925908,0.48756572658107067,0.02417089231207894,ok,"('antipodal_two_cluster', 16, 0, 9, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f12_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,25edd8073725b4fd,C_virtual,three_cluster,second_harmonic_kernel,0.4605475040257649,0.5800998357476318,0.5043693482967472,0.06707148486693247,0.7025451194153819,0.0739944033095602,ok,"('three_cluster', 16, 1, 12, 'C_virtual', 'second_harmonic_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f13_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,d54b5bdb56260be4,C_virtual,antipodal_two_cluster,hurdle_multinomial,0.42028985507246375,0.5913174336056166,0.5131146471640456,0.06182941538516063,0.5125331974993649,0.019503057008452056,ok,"('antipodal_two_cluster', 16, 1, 9, 'C_virtual', 'hurdle_multinomial')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f14_n9_p8,active_learning,yes_fixed_histogram,8,True,yes_shared_physical_hash,02eb6396b603fbbf,B_k0_drift,antipodal_two_cluster,k0,0.1111111111111111,0.6472297008729168,0.5836924725908904,0.043604189608258646,0.6298847221592077,0.017573174935406735,ok,"('antipodal_two_cluster', 8, 0, 12, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f15_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,dfdc5a9f25b76aed,C_virtual,three_cluster,second_harmonic_kernel,0.4605475040257649,0.5662979392896231,0.49549874403686417,0.024004294769235518,0.797149063528919,0.0332647056069319,ok,"('three_cluster', 16, 0, 16, 'C_virtual', 'second_harmonic_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f16_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,9bb3fc70fd8b91fc,C_virtual,asymmetric_two_cluster,negative_odd_kernel,0.06763285024154589,0.6564143775657074,0.6253034015668542,0.049879499299557595,0.38959316951985623,0.04054653159451574,ok,"('asymmetric_two_cluster', 16, 0, 8, 'C_virtual', 'negative_odd_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f17_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,891a8c5d5207891c,A_init,antipodal_two_cluster,none,0.42028985507246375,0.5835414555672032,0.5096333274460567,0.07723854534527437,0.4810824030651327,0.0433296950499936,ok,"('antipodal_two_cluster', 16, 0, 9, 'A_init', 'none')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f18_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,3039233f5054f380,B_k0_drift,antipodal_two_cluster,k0,0.42028985507246375,0.5816759125443824,0.5096884806805261,0.09250905666948403,0.5235728912073149,0.0683724882934579,ok,"('antipodal_two_cluster', 16, 0, 10, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f19_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,c9f4ae6cba732f45,C_virtual,three_cluster,second_harmonic_kernel,0.4605475040257649,0.56596578217943,0.4942710130176196,0.06048294729438922,0.8383910519667817,0.056018905460908056,ok,"('three_cluster', 16, 0, 17, 'C_virtual', 'second_harmonic_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f20_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,6205d8bed8244341,C_virtual,antipodal_two_cluster,negative_odd_kernel,0.42028985507246375,0.5730110581185317,0.5054150532214238,0.03938976293782074,0.5575772692673127,0.02103272282719068,ok,"('antipodal_two_cluster', 16, 1, 11, 'C_virtual', 'negative_odd_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f21_n9_p8,active_learning,yes_fixed_histogram,8,True,yes_shared_physical_hash,4efbffce5b0750b5,C_virtual,antipodal_two_cluster,second_harmonic_kernel,0.1111111111111111,0.6399377120847454,0.5791745049772087,0.036744183655177766,0.9218892358681612,0.07800959969643956,ok,"('antipodal_two_cluster', 8, 0, 17, 'C_virtual', 'second_harmonic_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f22_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,5373f05449493b03,C_virtual,three_cluster,second_harmonic_kernel,0.4605475040257649,0.562164288279323,0.5019044812123225,0.11735913613782116,0.7879996535608235,0.04664868304062807,ok,"('three_cluster', 16, 1, 16, 'C_virtual', 'second_harmonic_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
