representation,n_agents,peer_count,regime,mean_Q_risk,mean_q_high_risk,final_q_high_risk,mean_R,mean_q_unsupported_peer
intervals_24_decimal6,9,8,t0_only,0.0,0.0,0.0,0.3327889024848361,0.0
intervals_24_decimal6,9,8,k0_drift,0.07222222222222222,0.07222222222222222,0.1111111111111111,0.3346779084064624,0.0
intervals_24_decimal6,9,8,closed_loop,0.33333333333333326,0.33333333333333326,0.1111111111111111,0.34977424771173216,0.0
intervals_24_decimal6,17,16,t0_only,0.0,0.0,0.0,0.31173095423313235,0.0
intervals_24_decimal6,17,16,k0_drift,0.0029411764705882353,0.0029411764705882353,0.058823529411764705,0.3255716790049452,0.0
intervals_24_decimal6,17,16,closed_loop,0.11470588235294117,0.11470588235294117,0.058823529411764705,0.32920483794743366,0.0
moments_m1_m3,9,8,t0_only,0.0,0.0,0.0,0.3008949620449278,0.0
moments_m1_m3,9,8,k0_drift,0.016666666666666666,0.016666666666666666,0.0,0.2977316472755154,0.0
moments_m1_m3,9,8,closed_loop,0.061111111111111116,0.061111111111111116,0.0,0.2826147971935494,0.0
moments_m1_m3,17,16,t0_only,0.0,0.0,0.0,0.2296311329375654,0.0
moments_m1_m3,17,16,k0_drift,0.0,0.0,0.0,0.23711399585481865,0.0
moments_m1_m3,17,16,closed_loop,0.05,0.05,0.0,0.2825378012062781,0.0
centers_24_standard,9,8,t0_only,0.0,0.0,0.0,0.3552099799363768,0.0
centers_24_standard,9,8,k0_drift,0.02777777777777778,0.02777777777777778,0.1111111111111111,0.3480040021644743,0.0
centers_24_standard,9,8,closed_loop,0.04444444444444444,0.04444444444444444,0.0,0.35660084096388933,0.0
centers_24_standard,17,16,t0_only,0.0,0.0,0.0,0.31377969634886294,0.0
centers_24_standard,17,16,k0_drift,0.0,0.0,0.0,0.34157814512665297,0.0
centers_24_standard,17,16,closed_loop,0.0,0.0,0.0,0.32521848277831883,0.0
