profile,offset_radians,p_retard,p_stay,p_advance,g,activity
broad_kappa_2,-3.141592653589793,0.07,0.76,0.17,0.1,0.24000000000000002
broad_kappa_2,-3.0106929596902186,0.31,0.04,0.65,0.34,0.96
broad_kappa_2,-2.8797932657906435,0.46,0.02,0.52,0.06,0.98
broad_kappa_2,-2.748893571891069,0.74,0.0,0.26,-0.48,1.0
broad_kappa_2,-2.6179938779914944,0.7,0.0,0.3,-0.4,1.0
broad_kappa_2,-2.4870941840919194,0.42,0.0,0.58,0.16,1.0
broad_kappa_2,-2.356194490192345,0.2,0.0,0.8,0.6,1.0
broad_kappa_2,-2.2252947962927703,0.83,0.01,0.16,-0.67,0.99
broad_kappa_2,-2.0943951023931957,0.85,0.0,0.15,-0.7,1.0
broad_kappa_2,-1.9634954084936207,0.77,0.0,0.23,-0.54,1.0
broad_kappa_2,-1.832595714594046,0.86,0.0,0.14,-0.72,1.0
broad_kappa_2,-1.7016960206944713,0.91,0.0,0.09,-0.82,1.0
broad_kappa_2,-1.5707963267948966,0.97,0.0,0.03,-0.94,1.0
broad_kappa_2,-1.4398966328953218,0.97,0.0,0.03,-0.94,1.0
broad_kappa_2,-1.3089969389957472,0.76,0.0,0.24,-0.52,1.0
broad_kappa_2,-1.1780972450961726,0.52,0.0,0.48,-0.04,1.0
broad_kappa_2,-1.0471975511965979,0.59,0.0,0.41,-0.18,1.0
broad_kappa_2,-0.9162978572970228,0.64,0.0,0.36,-0.28,1.0
broad_kappa_2,-0.7853981633974483,0.61,0.02,0.37,-0.24,0.98
broad_kappa_2,-0.6544984694978737,0.32,0.01,0.67,0.35,0.99
broad_kappa_2,-0.5235987755982987,0.91,0.01,0.08,-0.83,0.99
broad_kappa_2,-0.39269908169872414,0.87,0.0,0.13,-0.74,1.0
broad_kappa_2,-0.2617993877991496,0.69,0.13,0.18,-0.51,0.8699999999999999
broad_kappa_2,-0.130899693899575,0.0,1.0,0.0,0.0,0.0
broad_kappa_2,0.0,0.01,0.98,0.01,0.0,0.02
broad_kappa_2,0.130899693899575,0.11,0.71,0.18,0.07,0.29
broad_kappa_2,0.2617993877991496,0.07,0.36,0.57,0.5,0.6399999999999999
broad_kappa_2,0.39269908169872414,0.29,0.16,0.55,0.26,0.8400000000000001
broad_kappa_2,0.5235987755982987,0.19,0.02,0.79,0.6,0.98
broad_kappa_2,0.6544984694978737,0.14,0.02,0.84,0.7,0.98
broad_kappa_2,0.7853981633974478,0.06,0.0,0.94,0.88,1.0
broad_kappa_2,0.9162978572970228,0.45,0.0,0.55,0.1,1.0
broad_kappa_2,1.0471975511965974,0.18,0.0,0.82,0.64,1.0
broad_kappa_2,1.1780972450961729,0.24,0.0,0.76,0.52,1.0
broad_kappa_2,1.3089969389957474,0.01,0.0,0.99,0.98,1.0
broad_kappa_2,1.439896632895322,0.39,0.0,0.61,0.22,1.0
broad_kappa_2,1.5707963267948966,0.09,0.0,0.91,0.82,1.0
broad_kappa_2,1.7016960206944711,0.12,0.0,0.88,0.76,1.0
broad_kappa_2,1.8325957145940457,0.02,0.0,0.98,0.96,1.0
broad_kappa_2,1.9634954084936203,0.41,0.0,0.59,0.18,1.0
broad_kappa_2,2.0943951023931957,0.32,0.0,0.68,0.36,1.0
broad_kappa_2,2.2252947962927694,0.66,0.0,0.34,-0.32,1.0
broad_kappa_2,2.356194490192345,0.25,0.0,0.75,0.5,1.0
broad_kappa_2,2.4870941840919194,0.35,0.0,0.65,0.3,1.0
broad_kappa_2,2.617993877991494,0.37,0.05,0.58,0.21,0.95
broad_kappa_2,2.7488935718910694,0.44,0.0,0.56,0.12,1.0
broad_kappa_2,2.879793265790643,0.55,0.0,0.45,-0.1,1.0
broad_kappa_2,3.0106929596902186,0.73,0.0,0.27,-0.46,1.0
