profile,representation_a,representation_b,mean_tv_across_blocks,comparison
unimodal_k9,intervals_24_decimal6,moments_m1_m3,0.4224537037037036,between_representation
unimodal_k9,intervals_24_decimal6,centers_24_standard,0.42013888888888884,between_representation
unimodal_k9,moments_m1_m3,centers_24_standard,0.49884259259259256,between_representation
bimodal_equal_sep2_k6,intervals_24_decimal6,moments_m1_m3,0.4039351851851852,between_representation
bimodal_equal_sep2_k6,intervals_24_decimal6,centers_24_standard,0.2569444444444444,between_representation
bimodal_equal_sep2_k6,moments_m1_m3,centers_24_standard,0.27083333333333337,between_representation
antipodal_equal_k6,intervals_24_decimal6,moments_m1_m3,0.5243055555555556,between_representation
antipodal_equal_k6,intervals_24_decimal6,centers_24_standard,0.3634259259259259,between_representation
antipodal_equal_k6,moments_m1_m3,centers_24_standard,0.3194444444444444,between_representation
asymmetric_w075_sep2_k6,intervals_24_decimal6,moments_m1_m3,0.3275462962962963,between_representation
asymmetric_w075_sep2_k6,intervals_24_decimal6,centers_24_standard,0.3159722222222222,between_representation
asymmetric_w075_sep2_k6,moments_m1_m3,centers_24_standard,0.31481481481481477,between_representation
sparse_N8_unimodal_k6,intervals_24_decimal6,moments_m1_m3,0.4375,between_representation
sparse_N8_unimodal_k6,intervals_24_decimal6,centers_24_standard,0.3692129629629629,between_representation
sparse_N8_unimodal_k6,moments_m1_m3,centers_24_standard,0.662037037037037,between_representation
sparse_N16_antipodal_k6,intervals_24_decimal6,moments_m1_m3,0.599537037037037,between_representation
sparse_N16_antipodal_k6,intervals_24_decimal6,centers_24_standard,0.34143518518518523,between_representation
sparse_N16_antipodal_k6,moments_m1_m3,centers_24_standard,0.5289351851851851,between_representation
