profile,representation,mean_tv_across_blocks,comparison
unimodal_k9,intervals_24_decimal6,0.1111111111111111,within_representation_across_blocks
unimodal_k9,moments_m1_m3,0.08101851851851853,within_representation_across_blocks
unimodal_k9,centers_24_standard,0.1412037037037037,within_representation_across_blocks
bimodal_equal_sep2_k6,intervals_24_decimal6,0.14351851851851852,within_representation_across_blocks
bimodal_equal_sep2_k6,moments_m1_m3,0.05092592592592592,within_representation_across_blocks
bimodal_equal_sep2_k6,centers_24_standard,0.12037037037037039,within_representation_across_blocks
antipodal_equal_k6,intervals_24_decimal6,0.21064814814814817,within_representation_across_blocks
antipodal_equal_k6,moments_m1_m3,0.02314814814814815,within_representation_across_blocks
antipodal_equal_k6,centers_24_standard,0.10648148148148147,within_representation_across_blocks
asymmetric_w075_sep2_k6,intervals_24_decimal6,0.12037037037037036,within_representation_across_blocks
asymmetric_w075_sep2_k6,moments_m1_m3,0.039351851851851846,within_representation_across_blocks
asymmetric_w075_sep2_k6,centers_24_standard,0.14583333333333331,within_representation_across_blocks
sparse_N8_unimodal_k6,intervals_24_decimal6,0.15277777777777776,within_representation_across_blocks
sparse_N8_unimodal_k6,moments_m1_m3,0.046296296296296294,within_representation_across_blocks
sparse_N8_unimodal_k6,centers_24_standard,0.12268518518518517,within_representation_across_blocks
sparse_N16_antipodal_k6,intervals_24_decimal6,0.16435185185185183,within_representation_across_blocks
sparse_N16_antipodal_k6,moments_m1_m3,0.04398148148148148,within_representation_across_blocks
sparse_N16_antipodal_k6,centers_24_standard,0.1597222222222222,within_representation_across_blocks
