representation,profile,a0,a1,b1,R1,R2,activity,mean_entropy
centers,antipodal_equal_k6,0.15355948415184462,0.05623508024371602,-0.037565263143203735,0.0677388895271844,0.05374749300156411,0.3402777777777778,0.52451632029087
centers,asymmetric_w075_sep2_k6,-0.3378250726324213,0.5366885242011368,-0.43156457053487735,0.6924334899653535,0.1556855181831274,0.9837962962962963,0.38411630636957633
centers,bimodal_equal_sep2_k6,-0.06473628554136801,0.7421337871962348,0.23720685307358325,0.779121919204595,0.28036152837674955,0.9837962962962963,0.3945260891528891
centers,sparse_N16_antipodal_k6,-0.12917107069418512,-0.0012228729284061522,0.030548773922797354,0.03855177234084865,0.26073438167132434,0.5520833333333333,0.6074443268198657
centers,sparse_N8_unimodal_k6,0.020574056527544994,-0.6542285415604586,0.17560679239523325,0.6783720410194181,0.12998728276723798,0.9097222222222222,0.41518300904310623
centers,unimodal_k9,-0.2781188303220687,-0.154816478446897,0.05459826125640241,0.1832495637674288,0.21198086516344322,0.9849537037037037,0.48382047613389423
intervals,antipodal_equal_k6,0.1884679633189374,-0.06011002650268839,-0.10453156675011707,0.12860927428487584,0.23059339541041732,0.5543981481481481,0.746816999307091
intervals,asymmetric_w075_sep2_k6,0.015874415753216492,0.251185672411281,-0.20326619980154298,0.3235674235609712,0.2534060390552858,0.9918981481481481,0.5261041539390936
intervals,bimodal_equal_sep2_k6,-0.1238621357543378,0.20126695865775585,-0.13745663552036344,0.2463531151968775,0.2852680148278098,0.9791666666666667,0.5050316338196011
intervals,sparse_N16_antipodal_k6,0.022127939276120733,0.01679141135283392,-0.06250272030119365,0.0779565520623112,0.04717389210832869,0.6342592592592593,0.7437361900059116
intervals,sparse_N8_unimodal_k6,0.3298170213570256,0.16859851551808214,0.019145303690440763,0.171995694574887,0.34122070731255855,0.8888888888888888,0.4800373389258489
intervals,unimodal_k9,0.1810761865778377,-0.07123484936467404,0.018422851163178947,0.07397238859776104,0.4401747705255554,0.96875,0.5430387069929966
moments,antipodal_equal_k6,0.015692012629466207,-0.011030173207172367,-0.018119489085432067,0.023312585618501903,0.1060660081211725,0.07523148148148148,0.14386531128560875
moments,asymmetric_w075_sep2_k6,0.022230342257717542,0.7349924500671556,-0.6715965694665986,0.9957478408332101,0.4520849943471513,1.0,0.17055586753439822
moments,bimodal_equal_sep2_k6,0.051032421396339935,1.1369607284004695,0.02201306682896373,1.1371814485353635,0.13848575981965555,1.0,0.15759252207863006
moments,sparse_N16_antipodal_k6,-0.005949921607540516,-2.0967648258569862e-05,-0.010677305824321153,0.01496594082404942,0.06177960236353147,0.039351851851851846,0.09408670820723654
moments,sparse_N8_unimodal_k6,0.1434925825002742,0.9717915823108818,-0.26523651918808994,1.0074350926459719,0.4923867172944342,1.0,0.14390785298621386
moments,unimodal_k9,-0.02818174918036328,0.9483356654087278,-0.010123960161517563,0.949181165789543,0.44384788956620513,1.0,0.194810126345494
