n_agents,coupling,n_seeds,n_steps,final_r1_mean,final_r1_p10,final_r1_p50,final_r1_p90,mean_r1_mean,p_final_r1_gt_0.5,p_final_r1_gt_0.9,envelope_note
9,-0.2,16,100,0.14507987790928806,0.08162321475270583,0.13165316420009443,0.23612870623950818,0.149157187407166,0.0,0.0,attenuated_v1_conservative
9,-0.15,16,100,0.1458218755685678,0.07939070579878621,0.1364727259238556,0.22309909815905665,0.15819815772230877,0.0,0.0,attenuated_v1_conservative
9,-0.1,16,100,0.1651536975595339,0.060816893547704504,0.17284001310329844,0.24000130559975894,0.16998869087009386,0.0,0.0,attenuated_v1_conservative
9,-0.05,16,100,0.1572407009225425,0.0710581854486185,0.14943455571860914,0.25145900427095325,0.1725573431666741,0.0,0.0,attenuated_v1_conservative
9,0.0,16,100,0.271477640112465,0.09394517968259157,0.23839457211167392,0.46151884040386626,0.3160452933221737,0.0625,0.0,attenuated_v1_conservative
9,0.02,16,100,0.36794781402680066,0.1513233244017236,0.3452250556102882,0.5750021981701166,0.3772305726867593,0.1875,0.0,attenuated_v1_conservative
9,0.04,16,100,0.601516781271481,0.45434440171249113,0.587195172547068,0.872672949130418,0.5078185050670115,0.625,0.0625,attenuated_v1_conservative
9,0.06,16,100,0.8423739835233751,0.7232245126564183,0.8541935876301499,0.9839736286721508,0.6821990698609404,0.9375,0.4375,attenuated_v1_conservative
9,0.08,16,100,0.9085114883665794,0.7692585705513602,0.9909938224674336,0.9979719694192474,0.7452985399154249,1.0,0.625,attenuated_v1_conservative
9,0.1,16,100,0.8959381965559519,0.7772911704182516,0.9561537797066852,0.9961748127558185,0.7621893958705875,1.0,0.5625,attenuated_v1_conservative
9,0.12,16,100,0.9660894246963487,0.8823621013754037,0.9940466795801496,0.9969276190132668,0.8226932120580501,1.0,0.875,attenuated_v1_conservative
9,0.14,16,100,0.9663490091027999,0.8933037250073157,0.9930045391999336,0.9955018951911373,0.8972687170921307,1.0,0.875,attenuated_v1_conservative
9,0.16,16,100,0.9274446133844445,0.7689297940335673,0.9834484527797502,0.9924584751157202,0.8171145391451646,1.0,0.6875,attenuated_v1_conservative
9,0.18,16,100,0.985017158001672,0.9854772836305243,0.9909282568696955,0.9955126906177312,0.8730358577861932,1.0,0.9375,attenuated_v1_conservative
9,0.2,16,100,0.9756117622487939,0.98106309150781,0.9901466979210438,0.9941257282041457,0.8920448156421463,1.0,0.9375,attenuated_v1_conservative
