run_id,n_agents,coupling,seed_index,init_seed,llm_final_r,llm_mean_r,surr_final_r,surr_mean_r,abs_err_final_r,abs_err_mean_r
N9_K-0.15_s0,9,-0.15,0,2026081567,0.08220369251499533,0.06421819327338812,0.08911939881656979,0.1082365881741453,0.0069157063015744535,0.04401839490075718
N9_K-0.15_s1,9,-0.15,1,2026081577,0.04860850748507522,0.0416481975494081,0.36362378393078726,0.2043831389984681,0.31501527644571203,0.16273494144906
N9_K+0_s0,9,0.0,0,2026081417,0.3466140920134394,0.35915076792229417,0.3466140920134394,0.35915076792229417,0.0,0.0
N9_K+0_s1,9,0.0,1,2026081427,0.10326093669981419,0.09154723500831204,0.10326093669981419,0.09154723500831204,0.0,0.0
N9_K+0.15_s0,9,0.15,0,2026081567,0.99280077472967,0.9504910509453902,0.9938290320423369,0.8822928392450844,0.0010282573126668693,0.06819821170030582
N9_K+0.15_s1,9,0.15,1,2026081577,0.9935885704238789,0.7969708207743674,0.744608837117938,0.3009701094323705,0.24897973330594092,0.4960007113419969
N17_K-0.15_s0,17,-0.15,0,2026089567,0.01137228137143183,0.04540359950474002,0.04849810652861408,0.0848873998981124,0.037125825157182255,0.03948380039337238
N17_K-0.15_s1,17,-0.15,1,2026089577,0.030497546512859533,0.03210316030474685,0.07821801632169273,0.10127126660000996,0.047720469808833196,0.0691681062952631
N17_K+0_s0,17,0.0,0,2026089417,0.27829020961992146,0.23644734486834765,0.27829020961992146,0.23644734486834765,0.0,0.0
N17_K+0_s1,17,0.0,1,2026089427,0.022070357598556533,0.08008349145433145,0.022070357598556533,0.08008349145433145,0.0,0.0
N17_K+0.15_s0,17,0.15,0,2026089567,0.9961807381863604,0.8933639912306728,0.9873565833336447,0.774182999172023,0.008824154852715704,0.11918099205864974
N17_K+0.15_s1,17,0.15,1,2026089577,0.9969523020680375,0.8120219856355849,0.8386564595457526,0.4191073591872369,0.1582958425222849,0.392914626448348
