run_id,n_agents,coupling,seed_index,n_agent_steps,mean_R,R_p50,R_p90,R_p99,Q_risk,q_peer_reject,teacher_log_loss,teacher_brier,pred_stay_frac,obs_stay_frac,pred_mean_action,obs_mean_action,mean_r1_run
N9_K-0.15_s0,9,-0.15,0,360,0.13239747611841096,0.1319583480850017,0.14611286797612605,0.156737310063629,0.0,0.0,0.8902701446287179,0.5215455039704253,0.2232433137460738,0.002777777777777778,-0.16137346184663004,-0.3472222222222222,0.08220369251499533
N9_K-0.15_s1,9,-0.15,1,360,0.1336749001970468,0.13355383175043822,0.14460771975010958,0.1511364093552365,0.0,0.0,0.897387039943414,0.5273752493352896,0.22730590630370737,0.0,-0.20328039270386222,-0.42777777777777776,0.04860850748507522
N9_K+0_s0,9,0.0,0,360,0.12462166543521659,0.1253026965588308,0.1337203120567001,0.13885202135582675,0.0,0.0,0.7618586997271785,0.4485153575517412,0.16652287825149,0.002777777777777778,-0.21094254889531025,0.09722222222222222,0.3466140920134394
N9_K+0_s1,9,0.0,1,360,0.13515996343822148,0.13461237007441326,0.14572122643332375,0.1535337149492182,0.0,0.0,0.9564295678382795,0.5721993427815273,0.2566166580017856,0.013888888888888888,-0.14124210670506815,-0.08611111111111111,0.10326093669981419
N9_K+0.15_s0,9,0.15,0,360,0.11997663946002887,0.11806832062676231,0.12916339842546376,0.13920802200221227,0.0,0.0,0.4839627376417659,0.23735061444127403,0.07550773306810944,0.06111111111111111,-0.04149008159953644,-0.08333333333333333,0.99280077472967
N9_K+0.15_s1,9,0.15,1,360,0.12334029802768111,0.12171806436241629,0.1351567152588258,0.1431268375205593,0.0,0.0,0.5395829229968766,0.2943111767689883,0.0848941648881514,0.030555555555555555,-0.02262163260873897,-0.11944444444444445,0.9935885704238789
N17_K-0.15_s0,17,-0.15,0,680,0.1281242824711256,0.12755272987911148,0.1370033044535308,0.1431069758619127,0.0,0.0,0.867060681059301,0.5444527448170273,0.14971503574812076,0.0058823529411764705,-0.07694452318217794,-0.20588235294117646,0.01137228137143183
N17_K-0.15_s1,17,-0.15,1,680,0.12992500562313417,0.12973812879260624,0.13923530576022639,0.143378422154209,0.0,0.0,0.8515200645408316,0.5360387862689058,0.15075262078812773,0.0029411764705882353,-0.07758768465386402,-0.3911764705882353,0.030497546512859533
N17_K+0_s0,17,0.0,0,680,0.1274684557604867,0.12765609440242653,0.13222940405152153,0.1381287523499592,0.0,0.0,0.6804928670587124,0.41026343377961344,0.09975389224212512,0.0,-0.04990294701075185,0.09411764705882353,0.27829020961992146
N17_K+0_s1,17,0.0,1,680,0.1269192793711395,0.12680444279956254,0.13457848593458427,0.1400712006180451,0.0,0.0,0.8510085066668646,0.5247768252780276,0.16447570376692364,0.016176470588235296,-0.07414520671052117,-0.13970588235294118,0.022070357598556533
N17_K+0.15_s0,17,0.15,0,680,0.11867045001752154,0.1154841179932051,0.13333182500930804,0.14184739393749665,0.0,0.0,0.4810068467528792,0.23686249181020877,0.137217597276052,0.01764705882352941,-0.042640753602775416,0.08529411764705883,0.9961807381863604
N17_K+0.15_s1,17,0.15,1,680,0.11954275905370222,0.11964355005834545,0.1310869421605234,0.13668986243812076,0.0,0.0,0.5608172789544243,0.298407711471942,0.1294988301659307,0.01911764705882353,0.01917779871954668,-0.09852941176470588,0.9969523020680375
