run_id,n_agents,coupling,seed_index,n_reps,surr_final_r1_mean,surr_final_r1_p05,surr_final_r1_p50,surr_final_r1_p95,surr_final_r2_mean,surr_final_r3_mean,surr_mean_activity,surr_mean_tau,llm_final_r1,llm_mean_r1,llm_in_p05_p95,llm_gt_p95,llm_lt_p05
N9_K-0.15_s0,9,-0.15,0,200,0.14616886758266287,0.03195682466238543,0.14461431191446888,0.2592173242001138,0.34187731936909754,0.3232768775492996,0.7897916666666667,-0.1403472222222222,0.08220369251499533,0.06421819327338812,True,False,False
N9_K-0.15_s1,9,-0.15,1,200,0.16611338491503214,0.05288029195178694,0.15875540044472536,0.2946739648287512,0.34678133124195176,0.35013573843370766,0.778125,-0.18348611111111113,0.04860850748507522,0.0416481975494081,False,False,True
N9_K+0_s0,9,0.0,0,200,0.34661409201343935,0.3466140920134394,0.3466140920134394,0.3466140920134394,0.12816032194560475,0.4058040612982491,0.8333055555555555,-0.2127777777777778,0.3466140920134394,0.35915076792229417,True,False,False
N9_K+0_s1,9,0.0,1,200,0.10326093669981422,0.10326093669981419,0.10326093669981419,0.10326093669981419,0.13795889920675836,0.1592985387665522,0.7442777777777778,-0.1401111111111111,0.10326093669981419,0.09154723500831204,True,False,False
N9_K+0.15_s0,9,0.15,0,200,0.9087523662768333,0.7696717166165158,0.9800167651149403,0.9960412773130504,0.928757108228625,0.8530740378116546,0.9285,0.030611111111111113,0.99280077472967,0.9504910509453902,True,False,False
N9_K+0.15_s1,9,0.15,1,200,0.8305556043376708,0.48017799709668585,0.8850552315999642,0.9943546027536274,0.7990535668373343,0.7297708661004414,0.8694166666666666,-0.06116666666666666,0.9935885704238789,0.7969708207743674,True,False,False
N17_K-0.15_s0,17,-0.15,0,200,0.10929631109376105,0.027196236066421898,0.10668521556902893,0.1974390843921456,0.2198054363886886,0.2523460251043749,0.8772132352941177,-0.09899264705882352,0.01137228137143183,0.04540359950474002,False,False,True
N17_K-0.15_s1,17,-0.15,1,200,0.10230895341366392,0.03181656382377715,0.09420868285918575,0.18600069365018768,0.2179513896620933,0.2376479458348146,0.8698970588235295,-0.10923529411764706,0.030497546512859533,0.03210316030474685,False,False,True
N17_K+0_s0,17,0.0,0,200,0.2782902096199215,0.27829020961992146,0.27829020961992146,0.27829020961992146,0.13368601336739022,0.16165647523109242,0.9003235294117647,-0.04960294117647059,0.27829020961992146,0.23644734486834765,True,False,False
N17_K+0_s1,17,0.0,1,200,0.022070357598556526,0.022070357598556533,0.022070357598556533,0.022070357598556533,0.2702100238269802,0.34748735826337496,0.8356764705882352,-0.0669264705882353,0.022070357598556533,0.08008349145433145,True,False,False
N17_K+0.15_s0,17,0.15,0,200,0.9308080307479193,0.7773593747721517,0.9761083877760987,0.9949774811668413,0.9324481614531936,0.8614220699881545,0.8718088235294118,0.0010441176470588243,0.9961807381863604,0.8933639912306728,False,True,False
N17_K+0.15_s1,17,0.15,1,200,0.7602332466305549,0.3209776991144643,0.7882952367971455,0.9873456837653207,0.7384054845781814,0.6250819295226715,0.8858382352941176,-0.021176470588235293,0.9969523020680375,0.8120219856355849,False,True,False
