field_id,source_bucket,source_run_id,n_agents,coupling,seed_index,t,agent,r1,r2,r3,peer_count,pred_p_retard,pred_p_stay,pred_p_advance,R,high_risk,prompt_sha256,physical_hash
replay_neg_N9_K-0.15_s1_t39_a05,neg,N9_K-0.15_s1,9,-0.15,1,39,5,0.03014836469008038,0.19578883558858096,0.29872709311591267,8,0.45021137288045027,0.2258671660839045,0.3239214610356453,0.13557744874661568,False,1a1049669e67afa2697d309a105fa88f86b9454fcf0f68d4a710a91e8a6acec2,727646a5a7ad37ed79b3d6d340fc78484c6dc6df9301be66d98d074d7a85104d
replay_neg_N17_K-0.15_s0_t02_a11,neg,N17_K-0.15_s0,17,-0.15,0,2,11,0.010716613609743469,0.47216133493818435,0.1433908210424519,16,0.5119653174179514,0.10068074785828206,0.38735393472376656,0.1308402080212327,False,c6c20dca4b6b83d7a5e988767adfcc27e7c78d59e12dca45e4e9cee1700485d2,c0428f9538f38c2aa68fa9f320be10c45ee0739b3c73737cbec3c3b9bda09f79
replay_neg_N17_K-0.15_s1_t39_a04,neg,N17_K-0.15_s1,17,-0.15,1,39,4,0.03434805253187962,0.1523096443485024,0.3602353967897324,16,0.4871315283706211,0.10971350853293092,0.403154963096448,0.11662617048276738,False,30f8902d42f4267a98f4b68a040de5cb027572ba4af93580a8e9f0fd83059f4a,0926d138cbf57e4b1ca7b8d2d8e550f23ba27bccf0cae3678b253900e3ecfc5d
replay_neg_N9_K-0.15_s0_t02_a06,neg,N9_K-0.15_s0,9,-0.15,0,2,6,0.19658884311050698,0.6744135308739323,0.300190563956566,8,0.12766695452552684,0.23532288408256688,0.6370101613919062,0.12864801128395068,False,873823751f96d573ddfe155c3c328d148bcd0c1c1f4e8b501dee2de45fd76fc4,d70f33f8b6f4f11ec6fe3322d9e7de0002b2dc1ef4aef37deea09a7ca1378b24
replay_neg_N9_K-0.15_s1_t02_a05,neg,N9_K-0.15_s1,9,-0.15,1,2,5,0.060738333747251946,0.2531235157782369,0.3003733686320261,8,0.6507003810543208,0.22318043627236717,0.126119182673312,0.13099765969699145,False,533aee71a746a55ab5454d1b88dd59fcaa4a6ec6ffbfa4cd2a2650acdef5300f,d91c79b969c61122d4136de1ae973b0a5ad12b776d269ec0749af80611e0105a
replay_neg_N17_K-0.15_s1_t20_a09,neg,N17_K-0.15_s1,17,-0.15,1,20,9,0.02781019623058385,0.10582073565193924,0.25410355376198185,16,0.4690968750947963,0.10000000000000003,0.4309031249052036,0.12578355537135819,False,7af1141fc27a6545716054f5c0c288f64dca7ced2825d248f160236989d89d11,79f47c13d629b8339459a65cc772cb8a5f35794d1da29bc5ae61aec2cb0bb981
replay_neg_N17_K-0.15_s0_t39_a11,neg,N17_K-0.15_s0,17,-0.15,0,39,11,0.04444971396224045,0.24995757708193167,0.14049951651957204,16,0.5190099344531576,0.09166065979821113,0.3893294057486313,0.1262898513431333,False,25f2f24f80586f29be537dddec7d079f3ee03a75c53147b6ea94b5e01da79f66,15e4f30f564399cb2cea6df1afc861aa87ac055a6a6abee2e317fcf2d827fbb9
replay_neg_N17_K-0.15_s1_t02_a15,neg,N17_K-0.15_s1,17,-0.15,1,2,15,0.045485472225297294,0.12460867338119948,0.0514892085339313,16,0.429268737776653,0.1097181489179652,0.46101311330538186,0.1381429932500279,False,a3b91c694444e71ec243e81056b601ea886a35071eb2b060a348b7e8e1254d6a,1b992bac7543a5d8a1bd883e79251fb03b6117832c240538570422e6a4d22821
replay_neg_N9_K-0.15_s0_t39_a03,neg,N9_K-0.15_s0,9,-0.15,0,39,3,0.10250851361778344,0.16572683090420692,0.39617868558499525,8,0.5707616952604212,0.23042160959338895,0.19881669514618985,0.12351660389470792,False,12133c4cb54edf2847163be95c81bf42b91f87e09fe61b8540789510a73eb630,5f15e6117d78691236b39533f5e6059aa1e23a3daa397f23237bc65b78bbedeb
replay_neg_N9_K-0.15_s1_t20_a03,neg,N9_K-0.15_s1,9,-0.15,1,20,3,0.05573632380160944,0.09543914154342927,0.04593749330633031,8,0.462120641611663,0.22515323545310859,0.3127261229352284,0.1401366075288353,False,5bb8bbedc0d9c9f9eefb28fc60bb626cf7b836a76a0e5394da557828dfbc6ead,4b3cc5095065f2a10d15cfc3cb4b11f253a5152cf5166f490f2e5044968dcc7c
replay_neg_N17_K-0.15_s0_t20_a14,neg,N17_K-0.15_s0,17,-0.15,0,20,14,0.044954273249514946,0.19254090549543057,0.22837547571973585,16,0.48804939780302053,0.10346838933650442,0.40848221286047504,0.13124758311732854,False,06033c38859577fb1eaf2d3b39ce983e6fb678e992d89d7c9bf3add52f8d7ba6,cd211d2a50abd74f31b5c55317ba73f89bb533314622a912fd4eb059242a28f3
replay_neg_N9_K-0.15_s0_t20_a07,neg,N9_K-0.15_s0,9,-0.15,0,20,7,0.03224055779641137,0.05574392866862998,0.22383432538501744,8,0.42423803796239706,0.23758886165183693,0.33817310038576603,0.13610484623966979,False,754fc9c5e9786f2e1c75cff3235c4453e78e5df0a7cc6ab57453147510b603eb,66327b6a8d6d8501a37f1d2b0d5be337b4dc30b8b7887eeda32f86d15989b8b2
