field_id,source_bucket,n_obs,p_stay_hat,p_stay_obs,delta_p_stay,p_retard_obs,p_advance_obs,e_tv,q_advance_obs,q_advance_hat,R,coupling,r1
replay_anchor_al_f00_n17_p16,stage_b_anchor,32,0.13958122331052483,0.0,-0.13958122331052483,0.0,1.0,0.2679981343677409,1.0,0.8507506872975161,0.13209091891697014,nan,nan
replay_anchor_al_f10_n9_p8,stage_b_anchor,32,0.23791210396958204,0.0,-0.23791210396958204,1.0,0.0,0.45773510510106763,0.0,0.2884483565170172,0.13214538601608766,nan,nan
replay_anchor_control_exact_antipodal_8_8_r00,stage_b_anchor,32,0.9009615384615379,1.0,0.09903846153846207,0.0,0.0,0.09903846153846207,nan,0.5082106988242542,0.1290320014418052,nan,nan
replay_anchor_control_lowrisk_sparse_N8_unimodal_k6,stage_b_anchor,32,0.09618161655934633,1.0,0.9038183834406537,0.0,0.0,0.9038183834406537,nan,0.49725933738692313,0.13129833203572766,nan,nan
replay_anchor_control_small_imbalance_9_7_r00,stage_b_anchor,32,0.12500000000000003,0.0,-0.12500000000000003,0.0,1.0,0.36283884525532323,1.0,0.7281841768510592,0.13344161744951719,nan,nan
replay_anchor_control_sparse_N16_antipodal_equal,stage_b_anchor,32,0.9018162393162388,1.0,0.09818376068376122,0.0,0.0,0.09818376068376122,nan,0.5078860614075779,0.15328856082464615,nan,nan
replay_neg_N17_K-0.15_s0_t02_a11,neg,32,0.10068074785828206,0.0,-0.10068074785828206,0.96875,0.03125,0.45678468258204863,0.03125,0.4307190508835298,0.1308402080212327,-0.15,0.010716613609743469
replay_neg_N17_K-0.15_s0_t20_a14,neg,32,0.10346838933650442,0.0,-0.10346838933650442,0.9375,0.0625,0.44945060219697947,0.0625,0.45562499749246976,0.13124758311732854,-0.15,0.044954273249514946
replay_neg_N17_K-0.15_s0_t39_a11,neg,32,0.09166065979821113,0.0,-0.09166065979821113,0.0625,0.9375,0.5481705942513687,0.9375,0.4286166947939756,0.1262898513431333,-0.15,0.04444971396224045
replay_neg_N17_K-0.15_s1_t02_a15,neg,32,0.1097181489179652,0.0,-0.1097181489179652,0.1875,0.8125,0.35148688669461814,0.8125,0.5178282728610873,0.1381429932500279,-0.15,0.045485472225297294
replay_neg_N17_K-0.15_s1_t20_a09,neg,32,0.10000000000000003,0.0,-0.10000000000000003,0.21875,0.78125,0.35034687509479634,0.78125,0.47878124989467075,0.12578355537135819,-0.15,0.02781019623058385
replay_neg_N17_K-0.15_s1_t39_a04,neg,32,0.10971350853293092,0.0,-0.10971350853293092,0.71875,0.28125,0.2316184716293789,0.28125,0.452837336026636,0.11662617048276738,-0.15,0.03434805253187962
replay_neg_N9_K-0.15_s0_t02_a06,neg,32,0.23532288408256688,0.0,-0.23532288408256688,0.90625,0.09375,0.7785830454744731,0.09375,0.8330446251522038,0.12864801128395068,-0.15,0.19658884311050698
replay_neg_N9_K-0.15_s0_t20_a07,neg,32,0.23758886165183693,0.0,-0.23758886165183693,0.71875,0.28125,0.294511962037603,0.28125,0.4435573975459626,0.13610484623966979,-0.15,0.03224055779641137
replay_neg_N9_K-0.15_s0_t39_a03,neg,32,0.23042160959338895,0.0,-0.23042160959338895,0.875,0.125,0.3042383047395788,0.125,0.25834495565960985,0.12351660389470792,-0.15,0.10250851361778344
replay_neg_N9_K-0.15_s1_t02_a05,neg,32,0.22318043627236717,0.0,-0.22318043627236717,1.0,0.0,0.3492996189456792,0.0,0.16235325236676418,0.13099765969699145,-0.15,0.060738333747251946
replay_neg_N9_K-0.15_s1_t20_a03,neg,32,0.22515323545310859,0.0,-0.22515323545310859,0.8125,0.1875,0.350379358388337,0.1875,0.40359737853213057,0.1401366075288353,-0.15,0.05573632380160944
replay_neg_N9_K-0.15_s1_t39_a05,neg,32,0.2258671660839045,0.0,-0.2258671660839045,0.625,0.375,0.22586716608390447,0.375,0.41843136842165457,0.13557744874661568,-0.15,0.03014836469008038
replay_pos_N17_K+0.15_s0_t02_a11,pos,32,0.09999999999999998,0.0,-0.09999999999999998,1.0,0.0,0.3217332214076083,0.0,0.2463702460084537,0.12586190476425174,0.15,0.4352408404734995
replay_pos_N17_K+0.15_s0_t10_a14,pos,32,0.13808310507025914,0.0,-0.13808310507025914,0.0,1.0,0.17057617925292423,1.0,0.962301383841288,0.12773605813342692,0.15,0.8794103184459698
replay_pos_N17_K+0.15_s0_t39_a11,pos,32,0.1396468860462463,0.0,-0.1396468860462463,0.0,1.0,0.3689356728287191,1.0,0.7334945581486003,0.10910784939904096,0.15,0.9952320115854595
replay_pos_N17_K+0.15_s1_t02_a15,pos,32,0.10000000000000002,0.0,-0.10000000000000002,1.0,0.0,0.29259816687338597,0.0,0.21399796319265108,0.12202417283235918,0.15,0.27216442142683134
replay_pos_N17_K+0.15_s1_t10_a09,pos,32,0.1314541035850831,0.0,-0.1314541035850831,0.40625,0.59375,0.17723742215808902,0.59375,0.7363264523070081,0.12553200307362689,0.15,0.6324252827510045
replay_pos_N17_K+0.15_s1_t39_a04,pos,32,0.13966523551280877,0.0,-0.13966523551280877,0.0,1.0,0.20935573103961258,1.0,0.9189960717577844,0.11277196385587991,0.15,0.9956459436750289
replay_pos_N9_K+0.15_s0_t02_a06,pos,32,0.03846153846153849,0.0,-0.03846153846153849,1.0,0.0,0.5549564611898494,0.0,0.5371547196374433,0.12467429798650065,0.15,0.5982823501728991
replay_pos_N9_K+0.15_s0_t10_a07,pos,32,0.09596002861888647,0.0,-0.09596002861888647,1.0,0.0,0.3290762713707108,0.0,0.25786054835129657,0.13267372108895753,0.15,0.9843735115531446
replay_pos_N9_K+0.15_s0_t39_a03,pos,32,0.03952497857375295,0.0,-0.03952497857375295,0.0,1.0,0.22000315110325513,1.0,0.8120948816956186,0.11928949649684287,0.15,0.9980864033281596
replay_pos_N9_K+0.15_s1_t02_a05,pos,32,0.20969151308383427,0.0,-0.20969151308383427,1.0,0.0,0.3097468152734993,0.0,0.1266028441375939,0.13121834751115852,0.15,0.20399962171581382
replay_pos_N9_K+0.15_s1_t10_a03,pos,32,0.03846153846153848,0.0,-0.03846153846153848,0.0,1.0,0.25130325580873036,1.0,0.7786446139589204,0.140066471724136,0.15,0.6718521348172926
replay_pos_N9_K+0.15_s1_t39_a05,pos,32,0.06767842877779018,0.0,-0.06767842877779018,0.0,1.0,0.3303114470167392,1.0,0.7183021112611874,0.11798935942986677,0.15,0.9983570620842015
replay_zero_N17_K+0_s0_t00_a07,zero,32,0.0805030334666047,0.0,-0.0805030334666047,0.96875,0.03125,0.5032843064866204,0.03125,0.49378224131805837,0.12225344449024661,0.0,0.10579512268812565
replay_zero_N17_K+0_s0_t20_a13,zero,32,0.09999999999999994,0.0,-0.09999999999999994,0.3125,0.6875,0.20473902509401762,0.6875,0.5364010832288693,0.12976954762098572,0.0,0.2571154617193153
replay_zero_N17_K+0_s1_t00_a09,zero,32,0.1,0.0,-0.1,0.0,1.0,0.61542546352391,1.0,0.4273050405289889,0.11712237444129359,0.0,0.12863468158967553
replay_zero_N17_K+0_s1_t20_a13,zero,32,0.11944442353187183,0.0,-0.11944442353187183,1.0,0.0,0.4449430607669116,0.0,0.36965144044695203,0.1315161110242644,0.0,0.08383023881386659
replay_zero_N17_K+0_s1_t39_a08,zero,32,0.10971798926982122,0.0,-0.10971798926982122,0.90625,0.09375,0.4705932418871721,0.09375,0.5106530819874512,0.11987062996959942,0.0,0.0252262061328397
replay_zero_N9_K+0_s1_t20_a00,zero,32,0.21721982901831394,0.0,-0.21721982901831394,0.59375,0.40625,0.21721982901831394,0.40625,0.2936049312297161,0.12644897676596623,0.0,0.08507007722523788
