run_id,coupling,seed_index,bundle,llm_final_r1,llm_mean_r1,llm_activity,llm_t05,llm_t09,llm_tau,llm_p_stay,surr_final_r1,surr_mean_r1,surr_activity,surr_t05,surr_t09,surr_tau,err_final_r1,err_activity,err_t09
N17_K+0.08_s0,0.08,0,v1,0.9988847527762105,0.9083741334909144,0.9705882352941176,7.0,24.0,-0.042352941176470586,0.029411764705882353,0.9027674479291641,0.6557826644960109,0.8730882352941176,29.625,60.75,0.002058823529411764,0.09611730484704639,0.09750000000000003,-36.75
N17_K+0.08_s0,0.08,0,v2,0.9988847527762105,0.9083741334909144,0.9705882352941176,7.0,24.0,-0.042352941176470586,0.029411764705882353,0.9228082523956362,0.6879614610142392,0.9701470588235295,25.625,65.2,0.04882352941176471,0.07607650038057423,0.0004411764705881671,-41.2
N17_K+0.08_s1,0.08,1,v1,0.9984584830449477,0.8357314158207763,0.9805882352941176,14.0,39.0,-0.06764705882352941,0.019411764705882354,0.9182888759540527,0.6280601652633948,0.8800735294117648,36.5,63.6,0.027279411764705885,0.08016960709089493,0.1005147058823529,-24.6
N17_K+0.08_s1,0.08,1,v2,0.9984584830449477,0.8357314158207763,0.9805882352941176,14.0,39.0,-0.06764705882352941,0.019411764705882354,0.9866560680752121,0.7080693372620398,0.93625,27.375,63.625,0.03198529411764706,0.011802414969735553,0.04433823529411762,-24.625
N17_K+0.08_s2,0.08,2,v1,0.9985248747761701,0.9242457705050865,0.9688235294117648,3.0,24.0,0.006470588235294118,0.031176470588235295,0.9271925313732148,0.7289932861083004,0.8717647058823529,22.75,50.166666666666664,0.039705882352941174,0.07133234340295536,0.09705882352941186,-26.166666666666664
N17_K+0.08_s2,0.08,2,v2,0.9985248747761701,0.9242457705050865,0.9688235294117648,3.0,24.0,0.006470588235294118,0.031176470588235295,0.9726764400002217,0.756415179352507,0.9547058823529413,21.75,51.714285714285715,0.045,0.025848434775948448,0.014117647058823457,-27.714285714285715
N17_K+0.08_s3,0.08,3,v1,0.9980949704155407,0.8832320831692461,0.9776470588235294,3.0,41.0,-0.13176470588235295,0.02235294117647059,0.9752480024179815,0.7546943980373977,0.8672794117647058,21.0,51.142857142857146,0.01007352941176471,0.022846967997559253,0.11036764705882363,-10.142857142857146
N17_K+0.08_s3,0.08,3,v2,0.9980949704155407,0.8832320831692461,0.9776470588235294,3.0,41.0,-0.13176470588235295,0.02235294117647059,0.9891212913602359,0.7847336342103711,0.9247058823529412,19.0,45.0,0.046764705882352944,0.008973679055304884,0.05294117647058827,-4.0
N17_K+0.1_s0,0.1,0,v1,0.9982727952266864,0.944771427488316,0.9658823529411765,3.0,18.0,-0.021176470588235293,0.03411764705882353,0.9046019024762366,0.738658291406753,0.8681617647058824,17.0,47.0,0.0021323529411764698,0.09367089275044982,0.09772058823529417,-29.0
N17_K+0.1_s0,0.1,0,v2,0.9982727952266864,0.944771427488316,0.9658823529411765,3.0,18.0,-0.021176470588235293,0.03411764705882353,0.9216200460611039,0.758998844503389,0.9702941176470589,16.375,27.75,0.06382352941176471,0.07665274916558251,-0.004411764705882337,-9.75
N17_K+0.1_s1,0.1,1,v1,0.9976788580695428,0.9519429119633575,0.9629411764705882,3.0,15.0,0.017058823529411765,0.03705882352941176,0.9651124947481744,0.7929316907653374,0.8670588235294117,16.875,42.5,-0.009264705882352942,0.03256636332136842,0.09588235294117653,-27.5
N17_K+0.1_s1,0.1,1,v2,0.9976788580695428,0.9519429119633575,0.9629411764705882,3.0,15.0,0.017058823529411765,0.03705882352941176,0.9531377665013718,0.8030183586395487,0.9702941176470588,15.625,36.8,0.05058823529411765,0.04454109156817099,-0.007352941176470562,-21.799999999999997
N17_K+0.1_s2,0.1,2,v1,0.9988511230458406,0.948614661894862,0.9652941176470589,3.0,15.0,0.01588235294117647,0.03470588235294118,0.9377929890845639,0.7872173125428332,0.8645588235294117,13.25,49.5,0.0023529411764705876,0.061058133961276684,0.10073529411764715,-34.5
N17_K+0.1_s2,0.1,2,v2,0.9988511230458406,0.948614661894862,0.9652941176470589,3.0,15.0,0.01588235294117647,0.03470588235294118,0.9681075847302865,0.8060665458529296,0.9711029411764707,13.875,48.666666666666664,0.046838235294117646,0.030743538315554098,-0.005808823529411811,-33.666666666666664
N17_K+0.1_s3,0.1,3,v1,0.9982972929376674,0.8576958895100956,0.9747058823529412,12.0,35.0,-0.018235294117647058,0.025294117647058825,0.9267894213314465,0.7259170382990785,0.8643382352941176,20.0,53.0,-0.01669117647058824,0.07150787160622096,0.11036764705882363,-18.0
N17_K+0.1_s3,0.1,3,v2,0.9982972929376674,0.8576958895100956,0.9747058823529412,12.0,35.0,-0.018235294117647058,0.025294117647058825,0.9801926482628118,0.7771683253516823,0.9580147058823529,17.125,52.42857142857143,0.04301470588235295,0.01810464467485562,0.016691176470588265,-17.42857142857143
N17_K+0.12_s0,0.12,0,v1,0.9972456439902788,0.9593314369588714,0.9647058823529412,3.0,12.0,-0.004705882352941176,0.03529411764705882,0.9221072070626553,0.7948412757706963,0.86375,11.375,39.6,-0.014632352941176471,0.07513843692762356,0.10095588235294117,-27.6
N17_K+0.12_s0,0.12,0,v2,0.9972456439902788,0.9593314369588714,0.9647058823529412,3.0,12.0,-0.004705882352941176,0.03529411764705882,0.934003880742559,0.8027583695231885,0.9751470588235294,11.875,49.4,0.04647058823529412,0.0632417632477198,-0.010441176470588176,-37.4
N17_K+0.12_s1,0.12,1,v1,0.9975681930290182,0.8967970336778278,0.9694117647058823,9.0,24.0,-0.011764705882352941,0.03058823529411765,0.948420407539918,0.7586561725101504,0.8675735294117646,18.0,47.0,-0.00860294117647059,0.04914778548910026,0.10183823529411773,-23.0
N17_K+0.12_s1,0.12,1,v2,0.9975681930290182,0.8967970336778278,0.9694117647058823,9.0,24.0,-0.011764705882352941,0.03058823529411765,0.9317751790965988,0.7606542574394117,0.9723529411764706,17.125,58.0,0.02308823529411765,0.06579301393241943,-0.002941176470588336,-34.0
N17_K+0.12_s2,0.12,2,v1,0.9973724286893942,0.9457738926712416,0.9658823529411765,1.0,19.0,-0.06,0.03411764705882353,0.9354371219953779,0.7642688726925071,0.869485294117647,18.5,48.25,-0.016544117647058824,0.06193530669401637,0.09639705882352956,-29.25
N17_K+0.12_s2,0.12,2,v2,0.9973724286893942,0.9457738926712416,0.9658823529411765,1.0,19.0,-0.06,0.03411764705882353,0.9337722033626908,0.7797093791400054,0.9795588235294117,16.0,53.25,0.03352941176470588,0.0636002253267034,-0.013676470588235179,-34.25
N17_K+0.12_s3,0.12,3,v1,0.9985987472767838,0.9277530091723217,0.9670588235294117,4.0,28.0,-0.06823529411764706,0.03294117647058824,0.9367098790547665,0.7384813780244253,0.8693382352941176,19.125,55.4,-0.020808823529411765,0.061888868222017224,0.09772058823529417,-27.4
N17_K+0.12_s3,0.12,3,v2,0.9985987472767838,0.9277530091723217,0.9670588235294117,4.0,28.0,-0.06823529411764706,0.03294117647058824,0.9378812504032478,0.7591094523541071,0.9766911764705881,17.375,43.75,0.035073529411764705,0.060717496873536,-0.00963235294117637,-15.75
N17_K+0.15_s0,0.15,0,v1,0.9958835222093487,0.9471376577039458,0.9641176470588235,4.0,15.0,-0.03,0.03588235294117647,0.96756956895001,0.79096881106646,0.8666176470588235,14.625,52.42857142857143,-0.012352941176470589,0.02831395325933872,0.09750000000000003,-37.42857142857143
N17_K+0.15_s0,0.15,0,v2,0.9958835222093487,0.9471376577039458,0.9641176470588235,4.0,15.0,-0.03,0.03588235294117647,0.9458926731053979,0.7973739723535761,0.9733088235294118,14.0,51.857142857142854,0.03125,0.049990849103950796,-0.009191176470588314,-36.857142857142854
