run_id,n_agents,coupling,seed_index,n_agent_steps,mean_R,R_p50,R_p90,R_p99,Q_risk,q_peer_reject,teacher_log_loss,teacher_brier,pred_stay_frac,obs_stay_frac,pred_mean_action,obs_mean_action,mean_r1_run
N17_K+0.08_s0,17,0.08,0,1700,0.24343457049061393,0.24027200639220123,0.2735344249850654,0.28455521852295457,0.0,0.0,0.41829466004243415,0.19753668968078486,0.03058282973453159,0.029411764705882353,0.09066358398346681,-0.042352941176470586,0.9988847527762105
N17_K+0.08_s1,17,0.08,1,1700,0.23904386578065828,0.23791134871259179,0.2620445293122693,0.28455521852295457,0.0,0.0,0.5268859289056199,0.29241069370219114,0.04111676777894395,0.019411764705882354,0.09473324744421224,-0.06764705882352941,0.9984584830449477
N17_K+0.08_s2,17,0.08,2,1700,0.24311436417760054,0.24027200639220123,0.27579257114903577,0.28630708437334373,0.0,0.0,0.431377211133754,0.19848363844369918,0.03593773072335429,0.031176470588235295,0.09202726480823054,0.006470588235294118,0.9985248747761701
N17_K+0.08_s3,17,0.08,3,1700,0.23952590634315732,0.23953869957014046,0.27139476395479845,0.28455521852295457,0.0,0.0,0.4781716771795664,0.25791058688526397,0.03619366339805891,0.02235294117647059,0.09240823378758879,-0.13176470588235295,0.9980949704155407
N17_K+0.1_s0,17,0.1,0,1700,0.24233565310426777,0.23881260422752748,0.27579257114903577,0.2858357852999223,0.0,0.0,0.4144780271250581,0.18757993731565717,0.028653409004080813,0.03411764705882353,0.0993736922686203,-0.021176470588235293,0.9982727952266864
N17_K+0.1_s1,17,0.1,1,1700,0.2439368660722406,0.24027200639220123,0.27579257114903577,0.2848104138437765,0.0,0.0,0.4381139636413469,0.1932864234072017,0.03359588186530437,0.03705882352941176,0.08061780420099798,0.017058823529411765,0.9976788580695428
N17_K+0.1_s2,17,0.1,2,1700,0.24169473320208698,0.23556966035972957,0.27505371339860446,0.28455521852295457,0.0,0.0,0.41790221741274297,0.18646785019826445,0.028523984905411637,0.03470588235294118,0.07821275323542255,0.01588235294117647,0.9988511230458406
N17_K+0.1_s3,17,0.1,3,1700,0.24085570480658502,0.2371632986039361,0.2683381200549657,0.28455521852295457,0.0,0.0,0.43093441240930225,0.2185327843787502,0.027705107078766087,0.025294117647058825,0.04824238689740446,-0.018235294117647058,0.9982972929376674
N17_K+0.12_s0,17,0.12,0,1700,0.24178830848648275,0.2351473574694936,0.271615653111853,0.28455521852295457,0.0,0.0,0.4082785139048499,0.17805980649255024,0.02570225444537883,0.03529411764705882,0.08025468889900128,-0.004705882352941176,0.9972456439902788
N17_K+0.12_s1,17,0.12,1,1700,0.24003790308917258,0.2351473574694936,0.26857036225668535,0.28455521852295457,0.0,0.0,0.4331562665230841,0.20489901012817455,0.02321657458394083,0.03058823529411765,0.08386973612394703,-0.011764705882352941,0.9975681930290182
N17_K+0.12_s2,17,0.12,2,1700,0.24105134249572577,0.2351473574694936,0.2686141731981332,0.28455521852295457,0.0,0.0,0.43884615740580407,0.2020451014083507,0.02809961199565011,0.03411764705882353,0.0952270952642471,-0.06,0.9973724286893942
N17_K+0.12_s3,17,0.12,3,1700,0.23893932827396727,0.2344099909271394,0.26977582940240263,0.28455521852295457,0.0,0.0,0.4357905409629532,0.20276577924180317,0.024083043392739117,0.03294117647058824,0.07272131689055364,-0.06823529411764706,0.9985987472767838
N17_K+0.15_s0,17,0.15,0,1700,0.23555457958320913,0.23191291586912666,0.2620445293122693,0.28455521852295457,0.0,0.0,0.42634269717932377,0.19267334720541238,0.022240335114833795,0.03588235294117647,0.08577764161455712,-0.03,0.9958835222093487
N17_K+0.15_s1,17,0.15,1,1700,0.2347811840833077,0.23191291586912666,0.2581606670886768,0.2758801976227749,0.0,0.0,0.43821354432310133,0.19359640329643438,0.019719849435671045,0.039411764705882354,0.0903829962207558,-0.03705882352941176,0.9942374506652428
N17_K+0.15_s2,17,0.15,2,1700,0.2374763238267099,0.23418914517901002,0.2620445293122693,0.27579257114903577,0.0,0.0,0.42559450853056363,0.1870640663142602,0.025581706027488844,0.03882352941176471,0.0785434526066641,-0.024705882352941175,0.9965099555910115
N17_K+0.15_s3,17,0.15,3,1700,0.23600636612242018,0.23418914517901002,0.2581606670886768,0.27579257114903577,0.0,0.0,0.4317278108618001,0.19885662763867173,0.0194270878304058,0.03411764705882353,0.07749052744095293,-0.04941176470588235,0.9955394529473633
