run_id,n_agents,coupling,seed_index,t,r1,r2,r3,activity,tau_social
N17_K+0.08_s0,17,0.08,0,0,0.23567496794925807,0.130069699336951,0.17555052808915564,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,1,0.28138487241141086,0.16073437309347718,0.12737974101318714,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,2,0.3256902698044839,0.19144462038127227,0.10729520377798722,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,3,0.3680650360678702,0.2256416273134042,0.17125150764228073,1.0,0.058823529411764705
N17_K+0.08_s0,17,0.08,0,4,0.3977388217676767,0.27499898659711486,0.22797566762996146,1.0,0.17647058823529413
N17_K+0.08_s0,17,0.08,0,5,0.4340078809399408,0.3116690649357836,0.2966785992191376,1.0,0.17647058823529413
N17_K+0.08_s0,17,0.08,0,6,0.4713840674435418,0.33449712021380756,0.35717555227764264,1.0,0.17647058823529413
N17_K+0.08_s0,17,0.08,0,7,0.5004010706662698,0.37134000848849635,0.36836478858426946,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,8,0.5277925217476646,0.38912026909148606,0.36023483998594974,1.0,0.058823529411764705
N17_K+0.08_s0,17,0.08,0,9,0.5592586283310323,0.3934559031122384,0.3754483920962881,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,10,0.587584003463776,0.423724471792069,0.3900295669451697,1.0,0.058823529411764705
N17_K+0.08_s0,17,0.08,0,11,0.6115681195137246,0.4500012256446455,0.3759610173201188,1.0,-0.29411764705882354
N17_K+0.08_s0,17,0.08,0,12,0.6388236224755233,0.46607050034291825,0.38938096950804124,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,13,0.6713647009449213,0.48393293724321607,0.4410781888434616,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,14,0.6962716633996232,0.5155391536277797,0.4585210665354292,1.0,-0.4117647058823529
N17_K+0.08_s0,17,0.08,0,15,0.7209083584178909,0.5411308686528482,0.4700652628213203,1.0,0.058823529411764705
N17_K+0.08_s0,17,0.08,0,16,0.7489518072678092,0.5701850597394513,0.522333802323704,1.0,-0.4117647058823529
N17_K+0.08_s0,17,0.08,0,17,0.7694375422460703,0.6016361337288314,0.5266908352039044,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,18,0.7933171625631029,0.6228086417034723,0.5611496471103679,1.0,-0.29411764705882354
N17_K+0.08_s0,17,0.08,0,19,0.8165432542583648,0.637545859233686,0.5833655964112963,1.0,-0.29411764705882354
N17_K+0.08_s0,17,0.08,0,20,0.8388191873147641,0.6570267160770273,0.6096041515668484,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,21,0.859688475116788,0.6831856963383338,0.6432596360823333,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,22,0.8784027011277878,0.70853946449057,0.6698245213893808,1.0,-0.29411764705882354
N17_K+0.08_s0,17,0.08,0,23,0.895502399487245,0.7327710856164656,0.6886212678061476,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,24,0.9110683689166615,0.7601363782150922,0.7106041327021909,1.0,-0.29411764705882354
N17_K+0.08_s0,17,0.08,0,25,0.924870676689777,0.7853066434118612,0.7243830926372837,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,26,0.93618228606267,0.8073698461086721,0.7320416662753088,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,27,0.9459348190071665,0.8285413312008186,0.7411369526282354,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,28,0.9556092142286075,0.8532591644364379,0.7624401091353321,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,29,0.9647351027995497,0.8792143266582196,0.7922109728333866,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,30,0.9712397630387005,0.8976084447781749,0.8111957739057823,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,31,0.9773440602074891,0.9168104641534653,0.8380724126411205,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,32,0.9831684384093173,0.9366909740029433,0.8715741682784292,1.0,-0.17647058823529413
N17_K+0.08_s0,17,0.08,0,33,0.9882684027080039,0.9550435350329576,0.905877269897349,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,34,0.9924282882478799,0.9705752210454256,0.9369260729987814,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,35,0.9944233811603307,0.9780344158818236,0.9518344916801617,1.0,0.058823529411764705
N17_K+0.08_s0,17,0.08,0,36,0.995936670762754,0.9838672800044209,0.9641496862181318,1.0,0.058823529411764705
N17_K+0.08_s0,17,0.08,0,37,0.9974301153026183,0.9897617041041232,0.9771176056835988,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,38,0.9981550123610204,0.9926349299919218,0.9834842576007392,1.0,-0.058823529411764705
N17_K+0.08_s0,17,0.08,0,39,0.9982715111735202,0.9930981997543615,0.9845164361771647,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,40,0.9989970303671779,0.9959969545996321,0.9910262073964887,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,41,0.9984186661995996,0.9936857952026049,0.9858347015039363,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,42,0.9981837098121931,0.9927491505007188,0.9837391460837673,0.9411764705882353,0.0
N17_K+0.08_s0,17,0.08,0,43,0.9987176910390337,0.9948781386286426,0.9885034718788706,0.9411764705882353,0.0
