run_id,n_agents,coupling,seed_index,bundle,llm_final_r1,llm_mean_r1,llm_activity,llm_t05,llm_t09,llm_tau,llm_p_stay,surr_final_r1,surr_mean_r1,surr_activity,surr_t05,surr_t09,surr_tau,err_final_r1,err_activity,err_t09
N9_K-0.15_s0,9,-0.15,0,v1,0.045355170185673074,0.04336133193223558,1.0,nan,nan,-0.4777777777777778,0.0,0.12842215283650446,0.13096431315011037,0.7744444444444444,nan,nan,-0.17555555555555558,-0.08306698265083139,0.22555555555555562,nan
N9_K-0.15_s0,9,-0.15,0,v2,0.045355170185673074,0.04336133193223558,1.0,nan,nan,-0.4777777777777778,0.0,0.11493360082897996,0.13075843811706367,0.9516666666666667,nan,nan,-0.2866666666666667,-0.06957843064330689,0.04833333333333334,nan
N9_K-0.15_s1,9,-0.15,1,v1,0.03723346554743894,0.045857553929657985,0.9977777777777778,nan,nan,-0.4222222222222222,0.0022222222222222222,0.11318926902926646,0.1588357576399958,0.7895833333333332,0.0,nan,-0.18763888888888888,-0.07595580348182751,0.20819444444444457,nan
N9_K-0.15_s1,9,-0.15,1,v2,0.03723346554743894,0.045857553929657985,0.9977777777777778,nan,nan,-0.4222222222222222,0.0022222222222222222,0.12915702406087717,0.14794829084643585,0.9625000000000001,0.0,nan,-0.2886111111111111,-0.09192355851343822,0.03527777777777763,nan
N9_K-0.15_s2,9,-0.15,2,v1,0.027202036827738765,0.04312305919282032,1.0,nan,nan,-0.42,0.0,0.1379479586167522,0.1341613480209108,0.7790277777777777,0.0,nan,-0.17708333333333331,-0.11074592178901342,0.22097222222222235,nan
N9_K-0.15_s2,9,-0.15,2,v2,0.027202036827738765,0.04312305919282032,1.0,nan,nan,-0.42,0.0,0.12370232489392391,0.1464455358216731,0.9569444444444444,0.0,nan,-0.305,-0.09650028806618514,0.043055555555555625,nan
N9_K-0.15_s3,9,-0.15,3,v1,0.03554848749895111,0.038510637746457424,0.9988888888888889,nan,nan,-0.46111111111111114,0.0011111111111111111,0.09671167831419378,0.14451865176172446,0.7856944444444445,nan,nan,-0.1745833333333333,-0.061163190815242664,0.21319444444444446,nan
N9_K-0.15_s3,9,-0.15,3,v2,0.03554848749895111,0.038510637746457424,0.9988888888888889,nan,nan,-0.46111111111111114,0.0011111111111111111,0.14438600602011178,0.14648570721612306,0.9561111111111111,2.0,nan,-0.3222222222222222,-0.10883751852116066,0.0427777777777778,nan
N9_K+0_s0,9,0.0,0,v1,0.1620334474965275,0.3041256421696512,1.0,0.0,nan,0.1,0.0,0.27993389885336,0.306911504664932,0.84,32.5,nan,-0.0886111111111111,-0.1179004513568325,0.16000000000000003,nan
N9_K+0_s0,9,0.0,0,v2,0.1620334474965275,0.3041256421696512,1.0,0.0,nan,0.1,0.0,0.27993389885336,0.306911504664932,0.98125,32.5,nan,-0.19069444444444444,-0.1179004513568325,0.018750000000000044,nan
