run_id,n_agents,coupling,seed_index,t_bin,log_loss,brier,pred_stay,obs_stay,mean_r1_bin
N9_K-0.15_s0,9,-0.15,0,t0_9,0.8686914233398016,0.5113612546093563,0.22033156758234326,0.0,0.104432465558658
N9_K-0.15_s0,9,-0.15,0,t10_19,0.8550690334006275,0.49908491633726015,0.23240575716478878,0.0,0.05095437943154489
N9_K-0.15_s0,9,-0.15,0,t20_29,0.8294593213370768,0.47924120353944244,0.22528326681379107,0.0,0.036997357625511484
N9_K-0.15_s0,9,-0.15,0,t30_39,0.8202335733510121,0.4715477330488539,0.22796757930408343,0.0,0.043438583427256296
N9_K-0.15_s1,9,-0.15,1,t0_9,0.9372662560484497,0.568600047974398,0.20119533449437838,0.0,0.14429194364670953
N9_K-0.15_s1,9,-0.15,1,t10_19,0.8906809094261626,0.5238504524862014,0.22515209795792315,0.011111111111111112,0.044113111612134756
N9_K-0.15_s1,9,-0.15,1,t20_29,0.8346400175116255,0.48140786097980254,0.22863923627155208,0.011111111111111112,0.02721765868641149
N9_K-0.15_s1,9,-0.15,1,t30_39,0.8632462975641395,0.5054432033127488,0.2282123811469577,0.0,0.04402641737758457
N9_K-0.15_s2,9,-0.15,2,t0_9,0.7970080915575173,0.4578343921873754,0.2142402312503443,0.0,0.13472558042193375
N9_K-0.15_s2,9,-0.15,2,t10_19,0.8951126472582471,0.524724188820671,0.2269094241617266,0.0,0.043322495023019186
N9_K-0.15_s2,9,-0.15,2,t20_29,0.8402931703880518,0.4864755049067277,0.22506488019363166,0.0,0.032139691930590866
N9_K-0.15_s2,9,-0.15,2,t30_39,0.8918507751685407,0.5256320186543161,0.2280396390711972,0.0,0.03808324975014712
N9_K-0.15_s3,9,-0.15,3,t0_9,0.9326468621285616,0.550913140130632,0.22953962626452773,0.0,0.05726720930252448
N9_K-0.15_s3,9,-0.15,3,t10_19,0.8639458251077825,0.5025900204527707,0.22565125425559962,0.0,0.022227752031537713
N9_K-0.15_s3,9,-0.15,3,t20_29,0.8550250071730452,0.49969197609337446,0.23043729731107238,0.0,0.04466393333936798
N9_K-0.15_s3,9,-0.15,3,t30_39,0.8565517500551181,0.4977558416467291,0.2301442305019397,0.0,0.036884940820352624
N9_K+0_s0,9,0.0,0,t0_9,0.5791458276761614,0.32656033510923593,0.108158048221825,0.0,0.46768903306150883
N9_K+0_s0,9,0.0,0,t10_19,0.7337938872348795,0.4236382232093649,0.1717094099560455,0.0,0.3594480795681011
N9_K+0_s0,9,0.0,0,t20_29,0.78365974790681,0.45227646758496654,0.19943086538494165,0.0,0.24352295133859428
N9_K+0_s0,9,0.0,0,t30_39,0.8224281114282307,0.47242399084948783,0.20590316323827068,0.0,0.18255041413346812
N9_K+0_s1,9,0.0,1,t0_9,0.9361919864106386,0.5530223906138566,0.21494671180185349,0.0,0.10005299140081939
N9_K+0_s1,9,0.0,1,t10_19,1.0036788278719122,0.6082657605938789,0.23156744036433138,0.0,0.12030268161254791
N9_K+0_s1,9,0.0,1,t20_29,0.8260102318331404,0.482964754788067,0.2219689202144095,0.0,0.18425948486035856
N9_K+0_s1,9,0.0,1,t30_39,0.837144506427131,0.49547877179216077,0.19699800897348113,0.0,0.23874502505566428
N9_K+0_s2,9,0.0,2,t0_9,0.7826850781099495,0.45302295578953455,0.2086730052941179,0.0,0.22689768087076484
N9_K+0_s2,9,0.0,2,t10_19,0.6854742767847694,0.38596340061820167,0.17579731678352392,0.0,0.3348605803745515
N9_K+0_s2,9,0.0,2,t20_29,0.5177906474499815,0.26646362863783385,0.13205274544871742,0.0,0.4180475186858638
N9_K+0_s2,9,0.0,2,t30_39,0.5044611982816176,0.2581994365190668,0.11588566899373005,0.0,0.4537405754678624
N9_K+0_s3,9,0.0,3,t0_9,0.9530096539578415,0.573475561939357,0.20253435856434462,0.0,0.2286712657552675
N9_K+0_s3,9,0.0,3,t10_19,0.8760807628824911,0.5238601834439371,0.1893736198597407,0.0,0.2712280133157211
N9_K+0_s3,9,0.0,3,t20_29,0.8664740381493851,0.5070801712294999,0.1950904357851745,0.0,0.26488796207064547
N9_K+0_s3,9,0.0,3,t30_39,0.8080894056344065,0.472578090466037,0.21410637955440007,0.0,0.2175140866953817
N9_K+0.06_s0,9,0.06,0,t0_9,0.592703570830846,0.3399300722429548,0.09639817257154751,0.0,0.5259552343830886
N9_K+0.06_s0,9,0.06,0,t10_19,0.3247295920471502,0.16583826868406412,0.050795413619023067,0.0,0.76747670350041
N9_K+0.06_s0,9,0.06,0,t20_29,0.48459166735636783,0.2910641886430559,0.06928987167243518,0.0,0.8317160552504028
N9_K+0.06_s0,9,0.06,0,t30_39,0.44078197477487924,0.23664783918181195,0.08855027833191495,0.0,0.8698221450359924
N9_K+0.06_s1,9,0.06,1,t0_9,0.6662664998204284,0.38319608459356835,0.16711232696165684,0.011111111111111112,0.2905864425474364
N9_K+0.06_s1,9,0.06,1,t10_19,0.49983136556637625,0.3041319085494857,0.05209860969087629,0.0,0.5140364103901129
N9_K+0.06_s1,9,0.06,1,t20_29,0.8108569459259213,0.5213194108556832,0.04548090170013101,0.0,0.7015847752251456
N9_K+0.06_s1,9,0.06,1,t30_39,0.4297009308707135,0.23676187971667678,0.08465319494856788,0.0,0.8832951101732686
N9_K+0.06_s2,9,0.06,2,t0_9,0.621593926222301,0.3960059720803007,0.05729597372574482,0.0,0.5992114874691252
N9_K+0.06_s2,9,0.06,2,t10_19,0.34520806104877844,0.180005625858353,0.05205871061987775,0.0,0.7433552189215953
N9_K+0.06_s2,9,0.06,2,t20_29,0.4531742767145611,0.21737202527429472,0.054516436845178595,0.044444444444444446,0.7720617584200015
N9_K+0.06_s2,9,0.06,2,t30_39,0.5779933076653896,0.260765409030761,0.05189070074641378,0.1111111111111111,0.7754202344976541
N9_K+0.06_s3,9,0.06,3,t0_9,0.8229789039729585,0.48694425401565805,0.19890847228319386,0.0,0.256659678281878
N9_K+0.06_s3,9,0.06,3,t10_19,0.37800512243475737,0.20606626675013306,0.0512007181518044,0.0,0.6336998694638998
N9_K+0.06_s3,9,0.06,3,t20_29,0.4350052125190815,0.23944385169243848,0.0797563817539581,0.0,0.8483091686575672
N9_K+0.06_s3,9,0.06,3,t30_39,0.5695879634163985,0.33974295544620575,0.08373923248929017,0.0,0.9356728764214832
N9_K+0.08_s0,9,0.08,0,t0_9,0.5355296213912156,0.3223220187560326,0.05748799350062836,0.0,0.628653312601482
N9_K+0.08_s0,9,0.08,0,t10_19,0.40852860598697827,0.22291700584384588,0.05282732626869249,0.0,0.7674601542529962
N9_K+0.08_s0,9,0.08,0,t20_29,0.6243502064278109,0.35072845369358835,0.05407042475433059,0.022222222222222223,0.7927137195811198
N9_K+0.08_s0,9,0.08,0,t30_39,0.6978923383200774,0.4289135652537923,0.07621448243109118,0.011111111111111112,0.9014196020785274
N9_K+0.08_s1,9,0.08,1,t0_9,0.5593817180570939,0.29644301128485273,0.14488051653139353,0.0,0.40972636631623177
N9_K+0.08_s1,9,0.08,1,t10_19,0.39683550449674565,0.18671527609464078,0.079360612225767,0.044444444444444446,0.8866559114678747
N9_K+0.08_s1,9,0.08,1,t20_29,0.4948639206538276,0.22706234047259316,0.0739687003461061,0.07777777777777778,0.9897520479439968
N9_K+0.08_s1,9,0.08,1,t30_39,0.45497242624278633,0.21167644264919838,0.07080578831410694,0.06666666666666667,0.99855243251953
N9_K+0.08_s2,9,0.08,2,t0_9,0.7064782035304599,0.4175189858912897,0.1299342935839296,0.0,0.35996133614332504
N9_K+0.08_s2,9,0.08,2,t10_19,0.7682582443803815,0.49753191447360884,0.041291565636872925,0.0,0.6310207640116776
N9_K+0.08_s2,9,0.08,2,t20_29,0.5852222257534679,0.35389448138239643,0.05040539896915194,0.0,0.7207603945712664
N9_K+0.08_s2,9,0.08,2,t30_39,0.45714217830081916,0.2223724977300832,0.05354270671292083,0.022222222222222223,0.7664626213694719
N9_K+0.08_s3,9,0.08,3,t0_9,0.32452444035594336,0.15963419938416742,0.05950394013306954,0.0,0.6647358059217489
N9_K+0.08_s3,9,0.08,3,t10_19,0.6871253856039813,0.4098788892467991,0.07885594330129023,0.011111111111111112,0.9230650157374376
N9_K+0.08_s3,9,0.08,3,t20_29,0.478227819585563,0.22243739234864546,0.07143426126753241,0.07777777777777778,0.9976498432682416
N9_K+0.08_s3,9,0.08,3,t30_39,0.508084731435347,0.23711397128841608,0.07080578831410696,0.1,0.9986681657770449
N9_K+0.1_s0,9,0.1,0,t0_9,0.7621393936567222,0.4540560941916331,0.13206382582550094,0.011111111111111112,0.3487735435719938
N9_K+0.1_s0,9,0.1,0,t10_19,0.7150458597126631,0.430498159521922,0.04322659248523156,0.0,0.6505519589953289
N9_K+0.1_s0,9,0.1,0,t20_29,0.4889231043506517,0.24970384020122577,0.07902051938214569,0.03333333333333333,0.9526356761272009
N9_K+0.1_s0,9,0.1,0,t30_39,0.48799067848632566,0.22708153915870147,0.07018056837092261,0.08888888888888889,0.9978905441660615
N9_K+0.1_s1,9,0.1,1,t0_9,0.38621664801140193,0.19950747973517374,0.05760051335302459,0.011111111111111112,0.6574784920154835
N9_K+0.1_s1,9,0.1,1,t10_19,0.7475300813152495,0.468941552650116,0.07231311130870403,0.0,0.8783297881644903
N9_K+0.1_s1,9,0.1,1,t20_29,0.42740042816663315,0.19377625382550745,0.07522025111770157,0.05555555555555555,0.9895994280889212
N9_K+0.1_s1,9,0.1,1,t30_39,0.5270458141465751,0.2467188699734543,0.07080578831410697,0.1111111111111111,0.998175076384587
N9_K+0.1_s2,9,0.1,2,t0_9,0.480035363635473,0.24455215950432152,0.11274482881914585,0.0,0.559599998502496
N9_K+0.1_s2,9,0.1,2,t10_19,0.37264278199004697,0.19158641659620557,0.08316498080730522,0.0,0.9161421352656056
N9_K+0.1_s2,9,0.1,2,t20_29,0.5026469545610067,0.23263259451409052,0.0758460591130219,0.08888888888888889,0.9887073384778153
