n_agents,peer_count,n_steps,coupling,omega_halfwidth,seed,final_r,mean_r,q_high_risk,q_peer_reject,mean_R_proxy_note
9,8,40,-0.15,0.05,2026081417,0.11052483985986619,0.1636253479362811,0.0,0.0,u_ensemble=0 single-model
9,8,40,-0.15,0.05,2026081427,0.166524756247446,0.11511471250241487,0.0,0.0,u_ensemble=0 single-model
9,8,40,0.0,0.05,2026081417,0.3466140920134394,0.35915076792229417,0.0,0.0,u_ensemble=0 single-model
9,8,40,0.0,0.05,2026081427,0.10326093669981419,0.09154723500831204,0.0,0.0,u_ensemble=0 single-model
9,8,40,0.15,0.05,2026081417,0.9919803751456512,0.7417099377482232,0.0,0.0,u_ensemble=0 single-model
9,8,40,0.15,0.05,2026081427,0.8650098293326124,0.5554402745560465,0.0,0.0,u_ensemble=0 single-model
17,16,40,-0.15,0.05,2026089417,0.03104928206771792,0.08445460157419274,0.0,0.0,u_ensemble=0 single-model
17,16,40,-0.15,0.05,2026089427,0.12697175225989166,0.07519996341772053,0.0,0.0,u_ensemble=0 single-model
17,16,40,0.0,0.05,2026089417,0.27829020961992146,0.23644734486834765,0.0,0.0,u_ensemble=0 single-model
17,16,40,0.0,0.05,2026089427,0.022070357598556533,0.08008349145433145,0.0,0.0,u_ensemble=0 single-model
17,16,40,0.15,0.05,2026089417,0.9375864016353809,0.7046759085168123,0.0,0.0,u_ensemble=0 single-model
17,16,40,0.15,0.05,2026089427,0.8308314544065271,0.47554925397748926,0.0,0.0,u_ensemble=0 single-model
