kappa,representation,a1,a2,a0,note
2,intervals_24_decimal6,0.665,0.066,0.08,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
2,moments_m1_m3,0.981,0.0,0.0,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
2,centers_24_standard,0.682,-0.052,-0.368,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
4,intervals_24_decimal6,0.421,-0.038,0.12,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
4,moments_m1_m3,0.984,0.0,0.0,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
4,centers_24_standard,0.235,-0.189,-0.34,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
6,intervals_24_decimal6,0.251,0.008,0.16,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
6,moments_m1_m3,0.856,0.0,0.05,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
6,centers_24_standard,-0.045,-0.181,-0.31,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
9,intervals_24_decimal6,-0.026,0.432,0.2,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
9,moments_m1_m3,0.977,0.0,0.0,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
9,centers_24_standard,-0.142,-0.035,-0.28,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
12,intervals_24_decimal6,0.082,0.365,0.249,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
12,moments_m1_m3,0.998,0.0,0.0,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
12,centers_24_standard,-0.392,-0.057,-0.253,from STAGE_B_TRANSMUTATION_MAP (a0 intervals/moments approximate span)
