block,representation,profile,concentration,estimator,a0
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M2,-0.019784637446658215
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M4,-0.016110732845560107
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M6,-0.013256147177792665
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M8,-0.013342430008724485
block_1,intervals_24_decimal6,kappa_2,2.0,fourier_M12,-0.004758008680063383
block_1,intervals_24_decimal6,kappa_2,2.0,unweighted_mean_g,-0.01967592592592593
block_1,intervals_24_decimal6,kappa_2,2.0,density_weighted_mean_g,-0.009649789300611599
block_1,intervals_24_decimal6,kappa_2,2.0,mirror_even_mean_g,-0.01967592592592593
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M2,-0.07651755134132657
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M4,-0.0692164012382658
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M6,-0.06594461679832445
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M8,-0.06295474776305995
block_1,intervals_24_decimal6,kappa_4,4.0,fourier_M12,-0.05229641043711547
block_1,intervals_24_decimal6,kappa_4,4.0,unweighted_mean_g,-0.07523148148148148
block_1,intervals_24_decimal6,kappa_4,4.0,density_weighted_mean_g,-0.060161921639224056
block_1,intervals_24_decimal6,kappa_4,4.0,mirror_even_mean_g,-0.07523148148148148
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M2,-0.08867295294052696
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M4,-0.07968002195715009
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M6,-0.07606687154618795
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M8,-0.07495030228954655
block_1,intervals_24_decimal6,kappa_6,6.0,fourier_M12,-0.06775896885960292
block_1,intervals_24_decimal6,kappa_6,6.0,unweighted_mean_g,-0.08680555555555555
block_1,intervals_24_decimal6,kappa_6,6.0,density_weighted_mean_g,-0.073034633964944
block_1,intervals_24_decimal6,kappa_6,6.0,mirror_even_mean_g,-0.08680555555555555
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M2,-0.0968679759102162
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M4,-0.0866347087311692
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M6,-0.08295224764234799
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M8,-0.08493034939699914
block_1,intervals_24_decimal6,kappa_9,9.0,fourier_M12,-0.08223758581628746
block_1,intervals_24_decimal6,kappa_9,9.0,unweighted_mean_g,-0.0949074074074074
block_1,intervals_24_decimal6,kappa_9,9.0,density_weighted_mean_g,-0.08306381106883781
block_1,intervals_24_decimal6,kappa_9,9.0,mirror_even_mean_g,-0.0949074074074074
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M2,-0.05498833659119324
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M4,-0.0486068625755925
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M6,-0.0447918094254713
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M8,-0.043533455994720235
block_1,intervals_24_decimal6,kappa_12,12.0,fourier_M12,-0.03989834106675642
block_1,intervals_24_decimal6,kappa_12,12.0,unweighted_mean_g,-0.054398148148148154
block_1,intervals_24_decimal6,kappa_12,12.0,density_weighted_mean_g,-0.04235098263414805
block_1,intervals_24_decimal6,kappa_12,12.0,mirror_even_mean_g,-0.054398148148148154
block_1,moments_m1_m3,kappa_2,2.0,fourier_M2,0.046518284713249716
block_1,moments_m1_m3,kappa_2,2.0,fourier_M4,0.05308099043559171
block_1,moments_m1_m3,kappa_2,2.0,fourier_M6,0.05466599016265409
block_1,moments_m1_m3,kappa_2,2.0,fourier_M8,0.051082323585979916
block_1,moments_m1_m3,kappa_2,2.0,fourier_M12,0.04943390277991233
block_1,moments_m1_m3,kappa_2,2.0,unweighted_mean_g,0.043981481481481476
block_1,moments_m1_m3,kappa_2,2.0,density_weighted_mean_g,0.047632927114232726
block_1,moments_m1_m3,kappa_2,2.0,mirror_even_mean_g,0.043981481481481476
block_1,moments_m1_m3,kappa_4,4.0,fourier_M2,0.006966126629944095
block_1,moments_m1_m3,kappa_4,4.0,fourier_M4,0.008715591427378457
block_1,moments_m1_m3,kappa_4,4.0,fourier_M6,0.007432551290007236
block_1,moments_m1_m3,kappa_4,4.0,fourier_M8,0.002441286909186951
block_1,moments_m1_m3,kappa_4,4.0,fourier_M12,0.005505263907209919
block_1,moments_m1_m3,kappa_4,4.0,unweighted_mean_g,0.004629629629629638
block_1,moments_m1_m3,kappa_4,4.0,density_weighted_mean_g,0.004753486286652893
block_1,moments_m1_m3,kappa_4,4.0,mirror_even_mean_g,0.004629629629629638
block_1,moments_m1_m3,kappa_6,6.0,fourier_M2,-0.006903956025831424
block_1,moments_m1_m3,kappa_6,6.0,fourier_M4,-0.007231089402811638
block_1,moments_m1_m3,kappa_6,6.0,fourier_M6,-0.008596309762550389
block_1,moments_m1_m3,kappa_6,6.0,fourier_M8,-0.015358162443478665
block_1,moments_m1_m3,kappa_6,6.0,fourier_M12,-0.009512825483514429
block_1,moments_m1_m3,kappa_6,6.0,unweighted_mean_g,-0.009259259259259252
block_1,moments_m1_m3,kappa_6,6.0,density_weighted_mean_g,-0.011382222491868042
block_1,moments_m1_m3,kappa_6,6.0,mirror_even_mean_g,-0.009259259259259252
block_1,moments_m1_m3,kappa_9,9.0,fourier_M2,0.023223021584564678
block_1,moments_m1_m3,kappa_9,9.0,fourier_M4,0.027173689507964983
block_1,moments_m1_m3,kappa_9,9.0,fourier_M6,0.025833402104264755
block_1,moments_m1_m3,kappa_9,9.0,fourier_M8,0.023422516242516973
block_1,moments_m1_m3,kappa_9,9.0,fourier_M12,0.023926178662562293
block_1,moments_m1_m3,kappa_9,9.0,unweighted_mean_g,0.020833333333333332
block_1,moments_m1_m3,kappa_9,9.0,density_weighted_mean_g,0.02411823469514408
block_1,moments_m1_m3,kappa_9,9.0,mirror_even_mean_g,0.020833333333333332
block_1,moments_m1_m3,kappa_12,12.0,fourier_M2,0.048819144496611545
block_1,moments_m1_m3,kappa_12,12.0,fourier_M4,0.055857682988769794
block_1,moments_m1_m3,kappa_12,12.0,fourier_M6,0.056523271522866236
block_1,moments_m1_m3,kappa_12,12.0,fourier_M8,0.05478066552230239
block_1,moments_m1_m3,kappa_12,12.0,fourier_M12,0.05231027063379709
block_1,moments_m1_m3,kappa_12,12.0,unweighted_mean_g,0.04629629629629631
block_1,moments_m1_m3,kappa_12,12.0,density_weighted_mean_g,0.05165666334364019
block_1,moments_m1_m3,kappa_12,12.0,mirror_even_mean_g,0.04629629629629631
block_1,centers_24_standard,kappa_2,2.0,fourier_M2,-0.029301960933587196
block_1,centers_24_standard,kappa_2,2.0,fourier_M4,-0.025395012530873534
block_1,centers_24_standard,kappa_2,2.0,fourier_M6,-0.02261754570987782
block_1,centers_24_standard,kappa_2,2.0,fourier_M8,-0.02187596780658517
block_1,centers_24_standard,kappa_2,2.0,fourier_M12,-0.012424910171653827
block_1,centers_24_standard,kappa_2,2.0,unweighted_mean_g,-0.028935185185185182
block_1,centers_24_standard,kappa_2,2.0,density_weighted_mean_g,-0.018243163839659054
block_1,centers_24_standard,kappa_2,2.0,mirror_even_mean_g,-0.028935185185185182
block_1,centers_24_standard,kappa_4,4.0,fourier_M2,-0.11351050422396469
block_1,centers_24_standard,kappa_4,4.0,fourier_M4,-0.10214037001913434
block_1,centers_24_standard,kappa_4,4.0,fourier_M6,-0.09843622786204166
block_1,centers_24_standard,kappa_4,4.0,fourier_M8,-0.09973074541132544
block_1,centers_24_standard,kappa_4,4.0,fourier_M12,-0.09404769084205475
block_1,centers_24_standard,kappa_4,4.0,unweighted_mean_g,-0.1111111111111111
block_1,centers_24_standard,kappa_4,4.0,density_weighted_mean_g,-0.09716471320785017
block_1,centers_24_standard,kappa_4,4.0,mirror_even_mean_g,-0.1111111111111111
block_1,centers_24_standard,kappa_6,6.0,fourier_M2,-0.11351050422396469
block_1,centers_24_standard,kappa_6,6.0,fourier_M4,-0.10214037001913434
block_1,centers_24_standard,kappa_6,6.0,fourier_M6,-0.09843622786204166
block_1,centers_24_standard,kappa_6,6.0,fourier_M8,-0.09973074541132544
block_1,centers_24_standard,kappa_6,6.0,fourier_M12,-0.09404769084205475
block_1,centers_24_standard,kappa_6,6.0,unweighted_mean_g,-0.1111111111111111
block_1,centers_24_standard,kappa_6,6.0,density_weighted_mean_g,-0.09716471320785017
