profile,offset_radians,n_planned,n_valid,p_retard,p_stay,p_advance,g_mean,g_standard_error,g_odd,g_even
broad_kappa_2,-3.141592653589793,50,50,0.42,0.16,0.42,0.0,0.13093073414159542,0.0,0.0
broad_kappa_2,-3.0106929596902186,50,50,0.6,0.12,0.28,-0.32,0.12597375820027773,-0.29000000000000004,-0.03
broad_kappa_2,-2.8797932657906435,50,50,0.56,0.18,0.26,-0.3,0.12205719636167903,-0.31,0.010000000000000009
broad_kappa_2,-2.748893571891069,50,50,0.64,0.12,0.24,-0.4,0.12121830534626526,-0.41000000000000003,0.009999999999999981
broad_kappa_2,-2.6179938779914944,50,50,0.64,0.16,0.2,-0.44,0.11485572138423873,-0.43,-0.010000000000000009
broad_kappa_2,-2.4870941840919194,50,50,0.7,0.12,0.18,-0.52,0.11153840740538934,-0.5700000000000001,0.04999999999999999
broad_kappa_2,-2.356194490192345,50,50,0.72,0.14,0.14,-0.58,0.10337172865786026,-0.5,-0.07999999999999999
broad_kappa_2,-2.2252947962927703,50,50,0.7,0.2,0.1,-0.6,0.09476070829586855,-0.61,0.010000000000000009
broad_kappa_2,-2.0943951023931957,50,50,0.82,0.12,0.06,-0.76,0.07855844048495726,-0.69,-0.07
broad_kappa_2,-1.9634954084936207,50,50,0.76,0.12,0.12,-0.64,0.09797958971132711,-0.65,0.010000000000000009
broad_kappa_2,-1.832595714594046,50,50,0.78,0.08,0.14,-0.64,0.10206040628281002,-0.61,-0.030000000000000027
broad_kappa_2,-1.7016960206944713,50,50,0.78,0.06,0.16,-0.62,0.10648368659190986,-0.63,0.010000000000000009
broad_kappa_2,-1.5707963267948966,50,50,0.78,0.08,0.14,-0.64,0.10206040628281002,-0.5800000000000001,-0.06
broad_kappa_2,-1.4398966328953218,50,50,0.78,0.04,0.18,-0.6,0.11065666703449763,-0.6,0.0
broad_kappa_2,-1.3089969389957472,50,50,0.72,0.16,0.12,-0.6,0.09897433186107872,-0.6,0.0
broad_kappa_2,-1.1780972450961726,50,50,0.64,0.22,0.14,-0.5,0.10400156984686454,-0.5,0.0
broad_kappa_2,-1.0471975511965979,50,50,0.58,0.24,0.18,-0.4,0.11065666703449761,-0.43000000000000005,0.03
broad_kappa_2,-0.9162978572970228,50,50,0.74,0.18,0.08,-0.66,0.08857142857142858,-0.54,-0.12000000000000002
broad_kappa_2,-0.7853981633974483,50,50,0.76,0.1,0.14,-0.62,0.10257898897723568,-0.53,-0.09
broad_kappa_2,-0.6544984694978737,50,50,0.6,0.24,0.16,-0.44,0.10751364412701016,-0.37,-0.07
broad_kappa_2,-0.5235987755982987,50,50,0.64,0.1,0.26,-0.38,0.12417893606914703,-0.49,0.10999999999999999
broad_kappa_2,-0.39269908169872414,50,50,0.62,0.1,0.28,-0.34,0.12652337043134015,-0.38,0.03999999999999998
broad_kappa_2,-0.2617993877991496,50,50,0.52,0.1,0.38,-0.14,0.13404233263702744,-0.24000000000000002,0.1
broad_kappa_2,-0.130899693899575,50,50,0.62,0.06,0.32,-0.3,0.13170777796132696,-0.21,-0.09
broad_kappa_2,0.0,50,50,0.42,0.2,0.38,-0.04,0.12764747373536386,0.0,-0.04
broad_kappa_2,0.130899693899575,50,50,0.42,0.04,0.54,0.12,0.1389170946416368,0.21,-0.09
broad_kappa_2,0.2617993877991496,50,50,0.22,0.22,0.56,0.34,0.11644390784179905,0.24000000000000002,0.1
broad_kappa_2,0.39269908169872414,50,50,0.24,0.1,0.66,0.42,0.12152097324649563,0.38,0.03999999999999998
broad_kappa_2,0.5235987755982987,50,50,0.16,0.08,0.76,0.6,0.10690449676496977,0.49,0.10999999999999999
broad_kappa_2,0.6544984694978737,50,50,0.3,0.1,0.6,0.3,0.1285714285714286,0.37,-0.07
